t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06,C07,C08
14,2025-01-15,,0.23816363856949946,0.1690497947680318,0.21391281550674868,0.0,,0.2617042735283477,0.13434271641548154,4.085055253709351,4.6422533024044,4.070850343098955,4.181451947540181,5.101851324736625,2.9985222818021455,3.197213927156694,
15,2025-01-16,0.029535537754231928,0.2620443482328764,0.27161153586371534,0.3386870165852158,0.0,,0.3087159571629595,0.1888854199185575,4.260862443501839,,3.499625287034911,4.749920333936914,4.083836659874902,3.021360162117732,3.2028916854652216,
16,2025-01-17,0.0615899275290621,0.19969487840892236,0.26585503454908677,0.30313126368441884,0.0,,0.24722342410651676,0.2212199150618749,4.180246086538387,3.976340811371438,,0.4498041299737787,3.423728231822848,2.7361383296373636,2.8150518668538975,3.5995930428205685
17,2025-01-18,0.0,0.19509500841412605,,0.3725525770883368,0.0,0.30945546716949857,0.356574127272265,,3.273096497539707,3.6622564240547693,2.9792145843225635,,2.954005419237591,2.7558921314795293,2.7219119637758613,3.920391950180595
18,2025-01-19,0.03536976573892904,0.18249199625543225,0.3227793828768715,0.5170677432131625,0.0,0.21163380114097494,0.39715981231643793,0.05304957238024856,3.372611239011285,4.566369174907705,2.9227765699139376,4.897749409978922,,3.026593640332408,2.714647234426963,3.5657394301507033
19,2025-01-20,0.0,0.11204678068033859,0.23828034723517205,,0.0,0.1795386150384014,0.3706988841952483,0.09099953022684093,3.0356830107371886,4.434699412535272,3.2041297347541087,3.9033506507799762,3.6781080955992085,3.1527456987756524,3.1839992873916674,2.8402042519050994
20,2025-01-21,0.0,0.1356936765551956,0.31701485615567565,0.4586150911752106,0.0,0.3102098951980703,0.42714887032475285,0.11755592416841378,2.7248855508916257,3.7905874266435275,3.078411463747215,4.2301630053885075,3.5512171503516625,3.230925195369686,2.4115893643045787,2.4319135770450617
21,2025-01-22,0.0,,0.29428572644514106,0.4211823043683937,0.0,,0.4792993795149658,0.04894436194681083,2.914463193270861,3.01930973267181,2.762769688434824,4.096044608687401,4.164827495306415,3.301301556274106,2.4940706130081405,1.7014908150142678
22,2025-01-23,0.07429292937618234,0.2646201861823026,0.2790363395223198,,0.0,0.43306358255132976,,0.0,2.4853835849565025,3.036265656455887,,3.2333624576624893,4.223030728855967,3.9865661458443484,2.4108001264180854,1.2913348216735632
23,2025-01-24,,0.2263743282758638,0.2801486652545421,0.2680679611861127,0.0,0.44418376664791237,,0.0,1.9440887000073845,2.999954434781203,2.207936997522152,3.1819202044266897,3.9969879515253663,4.187409539484773,2.3111345193687383,1.4159984140004456
24,2025-01-25,0.09481167294390438,0.13985709833418797,0.4469112875983312,0.2956174934340113,0.0,0.3964368917813398,,0.007524416477879929,1.6375125808943722,2.755669255130099,1.74373737411173,2.4525450832277613,3.962342286200103,4.11030613474073,2.8193966789528266,
25,2025-01-26,0.014204753168491166,0.13116777724037812,0.3556244346513998,0.09731244640570152,0.0,0.28562392941674375,0.47425477702427143,,,3.450630285059066,2.3516888963987124,2.944813133226797,4.482820208293637,4.659928187999105,3.1900836408927704,2.136457680260774
26,2025-01-27,0.0,,0.376291045290697,0.26431234297035144,0.0,0.25362093006069136,0.48325123452788177,0.0,0.6212450023341323,4.022480037093906,2.655291165351033,,,3.57742156018145,3.7460430410047345,2.6157174520585404
27,2025-01-28,0.0,0.26095262270765,0.29859547500545375,0.42959674276928417,0.0,0.10698022321398828,0.40184047732320527,0.09484337745177207,1.1479537522966623,,,,4.766868886879363,3.4960480256657487,3.74315389365063,2.8262610229671887
28,2025-01-29,0.013251554702450572,0.3010271817613236,0.3012036455495743,0.5460862387978394,0.0,0.029426961532279472,0.390323961574981,0.2503447017214676,,,3.646245119707389,,4.50995380486889,2.3057077439643825,4.720195297652312,
29,2025-01-30,0.0,0.3338765925453692,0.15161814264996432,0.6634579935685087,0.07179870080414685,0.19016563435692904,0.34595296993406494,0.31661125457417005,,4.3801138055718685,3.3908432639734927,6.437992861186996,2.5681625870424236,2.6576368255348357,3.9301591158323563,2.6203305769524112
30,2025-01-31,0.1740306097433758,0.408717539995335,0.26347323086345664,0.7042770567820567,0.052050225377171154,0.29136412321586264,0.33118465048671375,0.4283719468098457,0.5472296715999558,,,3.9929373031599313,,3.5887691606495666,3.80968537541489,
31,2025-02-01,0.26117520078999307,0.2445528632723872,0.37596271138338794,0.6894984286923154,0.09434988761969179,,0.1754824615783208,0.31648855621928346,0.6341277073557147,3.5539193453205935,2.959229116519591,,3.89646629725643,3.2694917609154155,3.7052417307498073,1.9541295311259979
32,2025-02-02,0.22009275941886408,0.3000665017082872,0.37452282867891074,0.5713194654915138,0.03452717819591651,0.21766072819270937,0.18624807834379298,0.3440258445639245,,3.2885494580277683,2.329169205079931,3.8409616294800717,,3.0361984934318054,3.8970198623471406,1.7702310226050413
33,2025-02-03,0.07563040789828823,0.15811131354165398,0.2383706263190068,0.65718842565899,0.10852856099066009,0.08184017054460313,0.22101233009614413,0.46589603225673004,2.1257114678638214,3.442517931195785,2.72615060682079,3.873892326192413,,3.670700604213505,3.703443598975652,2.805338342246798
34,2025-02-04,0.07626588277647087,0.0,0.27356593981072963,0.6400080907665723,0.24106590027944907,0.07514706278394835,0.061541860013283406,,2.421416950494548,3.7266033292033622,2.6387453967994072,4.011151728788956,,3.0797679727181144,3.6362003359814965,2.716723066593893
35,2025-02-05,0.12965083783083775,0.09308837643067462,0.21077077056627103,0.6161906857556977,0.24902031821998974,,0.25541606427117436,0.24476453178508087,2.3992193833625604,3.060756689615201,2.850036399762966,3.2304266556201604,2.704816287823883,2.4982211160092973,3.4643423961341653,2.418639816406795
36,2025-02-06,0.1666062688823234,0.09160594807559719,0.3350799366628244,0.5313304098836558,0.23311228791998612,0.06902482253320193,0.24658295607056335,0.3445543010664682,2.0607258987739874,3.946863774443496,2.372557941316712,2.3006939394262322,2.672100533828289,2.704443365643318,2.513936054097254,
37,2025-02-07,0.18364518354180345,0.301918437223755,0.30015095862402236,0.5078085588514373,0.3465373772955413,0.0,0.1843580350915223,0.32551217713008673,2.301532072672583,3.6250483028705736,,3.2132605960456684,2.8674515862748557,2.5534797255546633,3.197527829391277,2.571490442517237
38,2025-02-08,0.3070137883114057,0.23071303315543173,0.2944064296984779,0.31811968395556567,0.3655378509452047,0.0,0.1625235813266371,0.22254894353796834,2.5210848548435396,3.939601713482398,2.549332633073684,2.1388415490707207,2.85637836800393,2.0010601538190946,2.3332317538484517,
39,2025-02-09,0.28411723320090704,0.18167980662772326,0.2043814275965653,,0.35283276920471973,0.0,0.135941908547423,0.08869880024769168,2.789337700371565,4.029884028796936,3.4128294577392353,1.8131789510487795,1.646029072572453,2.287842048860609,2.720598475975533,1.7125007502007448
40,2025-02-10,0.3539568185010986,0.26617131442632136,0.435082047488142,0.3008259505672177,0.3139348844767181,0.0,0.21113240413186207,0.0009638522426358986,,3.6814482521426575,3.532511550341677,2.379805161588951,1.2661039337462516,2.658854621407588,1.8167560009461177,2.4684462453573937
41,2025-02-11,0.4221942758716112,0.3322719807676566,0.33088846122457677,0.2671733790137446,0.2657465738752918,0.017271061342798544,0.2537313270876948,0.08935194157853187,4.266129667818405,3.906455372103182,3.1049325635761007,2.3993162359180573,1.6433990021198923,2.352154558218897,2.0799437622089663,2.3279503803785278
42,2025-02-12,0.44359097957955984,0.15723515171247962,0.35023530836898487,0.2821330073153412,0.23919176548979912,0.0008626071171670482,0.24124982737352235,0.14810426750567354,4.809328810760073,3.5805287815006714,,,1.4813207268822142,3.0171865749362055,2.626293429231161,
43,2025-02-13,0.3142003037728345,0.226407427669166,,0.14510633987037835,0.27062419618863176,0.06475207830503305,0.32095998608203885,0.31599526140951534,,3.600402708281666,2.844006719483432,3.1966386665610784,1.4851610711227428,2.83481327813905,3.795569928965956,
44,2025-02-14,0.33455431294751664,0.16134333050291755,0.5280214488311166,0.034345819295621804,,0.17754261489365694,0.17843681070248726,0.17484515816904317,3.3791258061917406,3.722444340632878,2.6651242203855943,3.8917773981007318,0.0,2.741866121883534,2.485016668240469,2.059806128028734
45,2025-02-15,0.21321328912715432,0.2135071416665915,,,0.30774126310402955,0.020273821122974822,0.11264746918714917,0.06994980389202698,,3.2267577977606123,1.9071395441617787,3.913585213818403,0.0,2.686798427129891,2.8114697737375387,2.4897074100681507
46,2025-02-16,0.14892062079482943,0.12337453646477475,0.5060972557803902,0.4174440854131637,0.29136104861724776,0.20813086653438168,0.16027112447099684,0.04147235742375677,3.3669660600734703,,2.3018293614276417,3.8235371768713553,0.0,,2.4314561467618008,3.3448645570368325
47,2025-02-17,0.21282563635957835,0.13519203287251658,0.45136342859660317,0.4775794622975059,0.2990352274835128,0.3083747328077384,0.21945929006427256,0.0,4.001432387131361,3.326272082681502,2.657093987155441,3.465492517031662,0.0,3.4104406701415835,2.275666922679735,
48,2025-02-18,0.22958803337425499,0.18523282777265682,,0.3153024725551854,0.2220626336562886,0.28586494805862445,0.39755147749685044,0.0,4.374133897294144,3.896213242115713,2.914871422529591,2.883257094772851,0.0,,3.0918659959191945,3.6034353266809993
49,2025-02-19,0.29577525044520214,,,0.4187412219324323,0.2333547359835824,0.4476548351140151,0.35501674512110953,0.0,3.0469969007518083,3.856527648199209,2.6935224165226517,3.1776677054821976,0.0,,2.5784654072174837,3.5544697490426986
50,2025-02-20,0.4609350519126806,0.16556259601071366,0.48599300852120575,0.2962846793172004,0.1909233259471401,,0.4038820237472949,0.11418688901113666,3.040991076048494,3.8898153989528295,2.8141793306225145,3.106533829231947,,4.418456884465233,2.483953334623607,2.7867373196207526
51,2025-02-21,,0.24018377754846199,0.5225819175219667,,0.1970524195500091,,0.3898006201663434,,1.9089925910537129,,1.8065381868233557,3.421356096616809,0.0,3.3996467392527445,2.5559268936806796,1.8875724137966077
52,2025-02-22,0.5452497952351931,0.42224946246430395,0.46334463067380316,0.4311973917356605,0.011601093874941154,0.29086822889393205,0.4682846894081399,0.0,2.3864502435437447,2.7701341198233838,2.566248861650768,,0.0,3.2311370997801236,2.2823640176424655,2.848978141722362
53,2025-02-23,0.5000179016940427,0.24251281761049634,0.525955172015522,0.39931089202524683,0.06816397172721755,0.28119396741778124,0.47415994506886566,0.0,3.287316332087455,,,2.871978057933229,0.0,3.3998061881285087,3.2081751558783376,3.063893585338736
54,2025-02-24,0.5731431472150545,,0.40947145331507045,0.4639927515121999,0.036702875894864845,0.26683090803120574,0.4026136312710675,0.0,3.0135444187665326,2.93785720668024,,,,2.918561906138487,3.0138031992521355,3.079652447268309
55,2025-02-25,0.48729518723451076,0.15089972959105172,0.3194438349023716,0.45456211722883255,0.014029244969150092,0.36661844597690907,0.4434323469650168,0.0,3.4205019903394325,2.981383226278561,,,0.25890898913276394,3.695014865012363,,2.5769117884631414
56,2025-02-26,0.3652787044786871,0.3274987335037862,0.18433897455782508,0.29591828368620754,0.0,,0.4912823515513543,0.0,3.721675665994883,,,,0.00313443995193613,,2.876171997345819,2.458860288524319
57,2025-02-27,0.4337118307069402,0.2648140872078332,0.13156811637589855,0.2188685475617998,,,0.3938544711101592,0.0,2.8607408584997396,3.524842148252832,,,0.0,2.246852448623426,3.665067660520948,2.2306090200714745
58,2025-02-28,0.5285905718737637,0.2342270107269979,0.25123939953041063,0.21169052956483764,0.0,,0.21294857862213631,0.10229437795334084,,3.701097986747993,,,0.0,2.1512232614869116,4.414595563215747,1.4426821198364994
59,2025-03-01,0.6477489127820798,0.47653782892417595,0.25078122963772354,0.39783965202722427,0.0,,0.32719324736506666,0.0,,3.3904883458562467,,,,2.7276281537558074,3.9458036807882393,1.2403554693790289
60,2025-03-02,0.5662386664220753,0.2979184281730919,0.22658890840363172,0.4880910544597108,0.0,,0.41393440714429675,,2.887396849848577,,,,0.0,4.162659793933058,,1.288467946702076
61,2025-03-03,0.3997189710484068,0.20822005558269277,0.2538220051341297,0.419387560010847,0.0,0.0,0.38741103747840194,0.0,5.6447992994614475,3.341530648307593,,,0.3595598530277564,,4.604177615148813,
62,2025-03-04,0.35524053884964363,0.13481476619694763,0.39270276496077383,0.2803271749456525,0.0,0.004668753492551735,0.5762533423576267,0.02737276069754857,2.466894600567251,,,,0.44041102228770673,3.7354024140698607,4.75590493230904,2.7011986992126533
63,2025-03-05,0.2955791796538132,0.1823422487196989,0.356728114383314,0.31929055001944306,,0.047610851430357065,0.5023743048478058,0.0,2.521295881580213,,3.269206173330605,2.5535789222351033,0.5452094220349122,3.254719085631325,3.819233941421656,2.6553980060731353
64,2025-03-06,,0.4164745231302537,0.1575499986203653,0.3297067557784965,0.0,0.10430760536602003,0.5051236856498942,0.0,2.793620367469052,2.917639089714232,,2.6507817821679396,1.4632997358170345,2.5851619891041357,3.1675436557729353,3.0873630263671745
65,2025-03-07,0.46587505252790484,0.5869535794847353,0.14462347668983638,0.3789275625649964,0.0,0.054197653046975186,0.6959229928052183,0.0,3.1057721552295194,2.959844031195105,,2.786008710177248,,2.274405544697202,2.3367008875859234,
66,2025-03-08,0.5254482512333083,0.6081726559095968,0.26475279881153263,0.3107648699076478,0.0,0.09149216256366616,0.5047599759451448,0.0,2.5971890610238177,2.7705721535404924,3.0592444030735586,3.2473905277446184,,3.0578242690463795,2.5796691628253545,2.345852643542821
67,2025-03-09,0.35446791147585505,0.41815680046889975,0.2525898120166875,0.4212206676274134,0.0,0.2379370735190912,0.5845333333517189,0.0,,3.0961307941965988,4.653411544858666,3.5705919633952234,3.125857565508526,3.4930214699977293,2.0024568472018016,2.3952183888965832
68,2025-03-10,0.3381667808320993,0.5734376442052587,0.29982265308601164,0.4235597248593652,0.0,0.15089728537447533,0.6017782889869612,0.0,,2.834912277804715,4.419708989851117,3.5504821838916034,2.932589810970879,3.7438794108396123,2.175399177986734,2.4775865131908774
69,2025-03-11,0.34464071595454515,0.4093457696439888,0.28468218026968906,0.3630517056480598,0.0,0.0560115245672964,0.5325330175928286,0.0,,2.8222412339592235,3.260818580211274,4.0802285335418365,3.7778083521310544,3.4210401058800226,2.934123126170813,3.1233354242023474
70,2025-03-12,0.3109315156400573,0.3965049254662393,0.2836041484176792,0.28974871553119796,0.0,0.0068031249930124715,0.7316039706224182,0.0,,2.420700173986942,3.235505690671883,4.168451051664212,,2.530939665974465,2.595595521406899,2.5699919158011015
71,2025-03-13,0.34117605922820854,0.2996483792916083,0.396083575207147,0.26999502322402047,,0.0,0.7535549198356982,0.0,,2.363160034700575,2.374140010027909,3.624754591302222,3.280322868735019,2.2278308485384755,1.7759000639069722,4.923672051889131
72,2025-03-14,0.229991763552615,0.33039665937910606,0.461775123582024,,0.18003490182823634,0.0,0.8949805440739813,0.019828689812362896,3.385222656816329,2.3670118153041972,,3.0771532768930108,2.854089076753708,2.3866427938774444,1.6715591951336022,1.6537407056687132
73,2025-03-15,0.27129143698003444,0.22735828891336862,,0.3759470533055954,0.060883360644879356,,1.0,0.08003424879631152,2.7995045158445193,1.8965374422198873,2.738628597151232,3.532074744600834,,2.166620152080891,1.9186576413370793,2.8241642543489442
74,2025-03-16,0.25820351028205013,0.15837746617420068,0.6532425852712984,0.32477613262244787,0.21160360719470028,0.0,0.9705292120310546,0.04353975986318494,2.995379206249276,1.8151410836951196,3.172906441428347,,2.096445260582972,1.1435074235228584,2.081527880533061,3.440707728542469
75,2025-03-17,0.18984154052241456,0.22071618738560617,0.6109884669128657,0.3751042368745636,0.2813241673600298,0.0,1.0,0.02713363406064294,3.046258733716833,2.445055607220534,2.847961839866189,3.083915447773314,,1.6945827843874433,2.0675435409992016,4.518734504088783
76,2025-03-18,0.11128847454383134,0.33454418010939524,0.5596952575638479,0.4007244072472402,0.22210637220321755,0.0,1.0,0.0,,1.6348480209176333,2.776884762329887,2.54987606560848,1.2821167992934894,1.6975719241424176,2.3785337703912224,3.649801520711872
77,2025-03-19,0.10530568839365695,0.3145624820542275,0.5589529328412985,0.6285950536899394,0.09177962673403076,0.0,1.0,0.0,2.9146778432230196,2.7573438344112504,2.1215601530046335,2.4633419749504535,0.9224585979795122,,,3.4223108276932668
78,2025-03-20,0.17260808724208587,0.2676730908731974,0.5517430810953416,0.7414372798834079,0.19323817935974724,0.0,0.7742954014299064,0.038000523272073324,2.3382789233573344,1.8029272877561304,1.8011681465627407,2.1532361961333217,,1.4712454697941784,2.061230123796985,2.6330659181963325
79,2025-03-21,,0.33351463794212616,0.5696242854146899,0.7620226539539416,0.17151649322100268,0.0,0.8043739752400811,,3.0368724464131813,1.8331356873771194,1.9794586004292996,1.5769836392619359,1.1817308483645332,1.8377950157306329,1.98974131378275,1.7972488950639582
80,2025-03-22,0.24644958309796863,,0.4455283228777237,0.7886079245021389,0.18280752588397398,0.0,0.6400512735646151,,3.178067239805549,1.6278773069655799,2.2397110187730878,1.7337429958656998,0.9117811052078351,,1.9186899069055812,1.6094295177132854
81,2025-03-23,0.1323699909026049,0.3990666530977777,0.5932037417045328,0.760251609229104,0.21748480194631298,0.0,0.6563044583651011,,3.149266315068342,2.1698202767547388,2.2769544561716653,1.441391193953967,0.2866450901557398,2.0284262496467376,1.9688134990200152,
82,2025-03-24,0.11018477448232139,0.30610693884560547,0.6024703755221423,0.6824318435055896,0.16488750974324656,0.0,0.4798767019111771,,,1.884288632391153,2.312939704735358,1.589550641800233,0.13408237285358704,2.359802040307713,2.3926294917528237,
83,2025-03-25,0.06674516997560787,0.27401756503141433,0.6344603907124851,,,0.0,0.3348018971531809,,4.60922858885192,2.119201744903234,2.556430610235803,2.1866528401997853,0.04182658591722466,2.5107161358451155,2.5435041254678,
84,2025-03-26,0.05314335817861523,0.22631363949007777,0.5878002426330048,0.5345718783574255,0.08644943987017586,0.0,0.32827848816175254,,5.03212835266929,,2.496098355749582,1.9492570721658278,0.37623378266795393,2.355431022902316,3.4245267940538175,3.389709255127992
85,2025-03-27,0.11952472870990863,0.1727574101300875,0.7856603933958395,0.6215800375120364,0.04197561457837446,,0.2257028816387829,0.016882372001888413,,2.8873797684969196,2.0478828604131247,1.5330289398703418,0.0447360162737207,2.372584484333116,3.1445626065545302,2.6242941036438836
86,2025-03-28,,0.1438038775861315,0.7582065154221024,0.6751419024780055,0.022479443808214226,0.0,0.14112918590313211,0.09349583351303015,,2.3452988728901754,2.147761853242893,1.8014254034053638,0.09553783082360662,,2.620568011965113,1.7619128406366253
87,2025-03-29,,0.22892699786974413,0.6679994446619507,0.127868566863341,0.05853839061802692,0.0,0.16863936492378534,0.13935157602024695,2.728816828160725,2.3374067507909824,,1.3594259464270115,,,2.0084469698843646,1.712515859803995
88,2025-03-30,,,0.6786304004113574,0.1470042509775225,0.0,0.0,0.10314082314322712,0.06722925459479459,2.653820713851448,2.0786869092723688,,2.0541814998523,1.0126270247152709,2.1279690206869217,2.642189210569679,2.215321882068621
89,2025-03-31,,0.25335854543298575,0.8125687093277958,0.5107896038824163,0.0,0.0,0.0790951074261729,0.03489843876541843,2.8077141430924764,2.909891599648459,2.605077162681334,2.261979134699723,0.941814723829597,2.035639561302269,2.4218821889707733,2.5054880993994266
90,2025-04-01,,0.21798607557146568,,0.5296644165661178,0.0,0.0,0.0,0.12608084351959953,2.6319510162411355,3.2868622361587074,3.262171359555409,2.215123321172268,,2.4455913749322162,2.715205057633773,2.5644760195005825
91,2025-04-02,,0.2329316779346611,0.6373941612979923,0.4170023290200163,0.0,0.0,0.05173562739849172,0.06864199432192536,2.9168361207847657,3.32550586702864,3.6378439162079026,2.718795984958967,2.132560876350033,1.548799861168072,2.331735988215436,1.7325849629776338
92,2025-04-03,,0.13485441486610733,0.7730235505173177,0.4485459763713721,0.0,0.0,0.06504195374386926,0.055467446305762946,,3.9564557338329074,3.7770089203559523,3.7814193815903576,2.830903135650599,1.7264091236463561,2.736382347732834,2.886387556004797
93,2025-04-04,,0.07013221189580031,,0.43279039486199256,0.05250958558736195,0.0,,0.13035698504238283,3.239995936414112,4.45136343042828,3.5692116214653513,4.062174777332604,,2.5856092974578324,2.4823509551697973,2.387371198401903
94,2025-04-05,0.3071115815988808,0.16508727635416576,0.4517286513036187,0.5041582126347633,0.1206001541376415,0.0,0.16798629810524743,0.1236663331535589,3.0514645991889084,,3.846163540242643,3.667967779435885,3.2143170626497004,2.6774447566616595,2.4629177332263135,
95,2025-04-06,0.4215708676085516,0.03237599436425659,0.4572526597829157,0.5584348225669965,,0.0,,0.18926292485857998,3.2563020397096505,5.2186798435418895,4.445977293290105,3.6933365844853063,3.302689214938211,3.304778507612165,3.268445206045206,2.941571222114632
96,2025-04-07,0.17848294616738555,0.06870066147820611,0.4103358435367116,,0.07073937597817904,0.0,0.0,0.15527333660842713,3.814856579162109,5.213654901211686,4.594517396441091,4.276573093247558,4.21800544747803,3.316867728133853,3.767178050895437,
97,2025-04-08,0.07055371658992,0.03599782809654353,0.5275135999998118,0.5220243241918819,0.1072843118789161,0.07374944590779561,0.004037877593047327,0.044752140319751,3.836377699868563,4.81929590375542,5.544416923396119,4.3316646672456205,4.734473640042157,3.4713784466074,3.929142882961408,4.737131930164851
98,2025-04-09,0.12448519023620119,0.1601097343036954,,0.5730317721850566,0.1377631789679436,0.007598609729747935,0.0070922248401979054,0.13464315399834426,4.7194764170240875,4.179748583282414,5.336278596068851,3.530240880961805,5.612126101597575,3.4358255996756433,3.9388378093652694,4.017642050823493
99,2025-04-10,0.08239832432490103,0.2599761289521289,0.5300408450153746,0.6022942463603824,0.31211962596932835,0.005905609977846629,0.0,0.23294220829087603,4.46699734631255,5.161854768948553,4.7104985352216815,3.530432140920485,5.826219544045183,4.107446793948369,3.16778017849401,3.7273219212727056
100,2025-04-11,0.09690186150507848,0.2784033432315308,,0.5623313800550854,0.2542458008424626,0.046554917626609335,0.15773952939582253,0.0,,5.427438956381913,5.636658542274797,4.06813757238391,6.164948983072103,,3.7224672364212186,
101,2025-04-12,0.0,0.4407423578792825,,0.48517854124082205,0.25472990233017384,0.02955294813697911,0.37471829594326966,0.004529837673347903,,5.749889961806362,5.451937971554127,3.5015570595324377,6.395589019178184,4.352731082768277,4.408444515239356,
102,2025-04-13,,0.40039904778025864,,0.39091122812906637,0.37779861440463103,0.09330613584316251,0.2321894163492714,0.08595539853935291,4.314477840511219,5.404580573728201,6.404394067572129,4.026909446332011,5.822856986108434,5.142710555047547,4.292723867645308,5.395694984948363
103,2025-04-14,0.08798885202517998,0.5790354100792279,,0.48866008986069703,0.0794755682376506,0.11252670449098381,0.0,0.0,4.654029864218282,4.933402227513158,6.1232288220852,5.215735503189792,5.774418040890078,5.282885621664638,4.920659746512824,5.208618546721604
104,2025-04-15,0.07059740322866026,,0.23812804116982733,,0.14353078162116184,0.0,0.017580713596703407,0.04055541531195948,4.1264304746856135,,6.490138508742511,5.700813140921579,5.8074546498356,5.610530147502765,4.550014660753198,
105,2025-04-16,0.431850416323765,,0.21443937937696417,0.6264486682219585,,0.21089551681860114,0.009078875899147448,0.24594429026083542,5.390384430147576,5.051753327298331,6.505858083614969,6.514194029963826,5.810466385530916,4.947413601375881,4.489540331358126,5.847415688069847
106,2025-04-17,,,,0.7663471891968041,0.2077464443396074,0.37466746612815505,0.17758280145120214,0.270137263318489,3.815692408879696,,6.4421636903557635,5.475172062806598,,,,4.730436332956059
107,2025-04-18,0.588356018299447,,0.17876431387403693,0.6011988982334038,0.3595928585956696,0.17249131478690147,0.153678578677165,0.0,5.455044689591478,4.8129307290877055,6.208876003037547,5.5181574746949655,5.243812570564455,5.811728431982994,5.034287906721088,4.511227349389568
108,2025-04-19,0.6406776993976551,,0.32278712374067936,0.3425005117968304,0.21040877310638184,0.1064919953956205,0.31840266063121936,0.07239254719863608,,,7.677657040778953,,,6.890012117891736,5.011631043077801,
109,2025-04-20,0.5115443100033044,,,0.3426270542205591,0.39988753012179734,0.17517632503789735,,0.1630571509433053,,5.03768262770995,,4.5863728311015945,,7.280063463267403,5.711055873381055,
110,2025-04-21,0.42114143547328137,,,,0.1565190447378785,0.4009326928246013,0.6432424131928712,0.10658370027967998,,5.564766853368562,7.197865867650175,3.516383093870755,6.045400149607729,6.591405422564354,5.040010915893484,6.155454214562362
111,2025-04-22,0.47012919049953983,,0.07399116635578612,0.3028612696074187,0.0,0.4185970968284446,0.7633612546221036,0.0,,4.966100824447679,,3.85236111259675,5.665612623259877,,4.32585534377584,5.545993638060937
112,2025-04-23,0.3727192823620591,,0.08149763732262875,0.5223646576757259,0.0,,0.9530514573903045,,,,,4.128966576414742,5.993612548885443,5.095516985747826,3.8917658483179007,
