pseudoprofile_id,role,var_id,source_variable_id,label,ontology_path,domain,priority,polarity,measurement_mode,measurement_channel,assessment_type,measurement_item_or_signal,measurement_scale_or_unit,sampling_per_day,recall_window,expected_variability
pseudoprofile_FTC_ID002,predictor,P05,,Micro-activation (5-minute energizers / small wins),PSYCHO / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation / skill_shaping_and_routine,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you do a short energizing activity (5 minutes) and how energizing was it? (1 = not at all, 9 = very energizing)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID002,predictor,P06,,Sleep quality / last-night restoration (morning diary),BIO / Sleep_Circadian_and_Restoration / Sleep_Routines_and_Practices,BIO,HIGH,,EMA_self_report,smartphone morning diary,morning_diary,"How well did you sleep last night / how restorative was your sleep? (1 = very poor, 9 = very restorative)",1-9 Likert,1,last night,medium
pseudoprofile_FTC_ID002,predictor,P07,,Social connection / brief social contact,SOCIAL / Social_Support_and_Belonging / Network_Building_And_Maintenance,SOCIAL,MED,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how connected did you feel to others or did you have meaningful social contact? (1 = not at all, 9 = very connected)",1-9 Likert,5,since last prompt,medium
pseudoprofile_FTC_ID002,predictor,P08,,Phone screen-time minutes (passive) — proxy for autopilot/distracted behavior,BIO / Personalization_Monitoring_and_Data_Feedback / Wearables_and_Home_Monitoring,BIOxSOCIAL,MED,,passive_phone_sensor,phone OS usage API (minutes screen ON/unlocked) aggregated in-app,passive_aggregated_per_prompt,Total phone screen time minutes since previous prompt (auto-logged via OS usage API),minutes (continuous),5,since last prompt,high
pseudoprofile_FTC_ID009,criterion,C01,custom,Social avoidance behavior,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,"Today, to what extent did you avoid or withdraw from social activities (declined, did not attend, or withdrew) because of worries about how others saw you?","1-9 Likert (1 = Not at all, 9 = Very much)",1,today,high
pseudoprofile_FTC_ID009,criterion,C02,custom,Belief 'I am annoying',,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,"Today, how strongly did you hold the belief 'I am annoying' or expect others to react unfavorably?","1-9 Likert (1 = Not at all, 9 = Extremely strongly)",1,today,medium
pseudoprofile_FTC_ID009,criterion,C03,custom,Post-event rumination about social remarks,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,"How much did you replay or get stuck on things you said in social situations (e.g., 'why did I say that?') today?","1-9 Likert (1 = Not at all, 9 = A great deal)",1,today (captures episodes lasting up to ~48h),high
pseudoprofile_FTC_ID009,criterion,C04,custom,Plan cancellation frequency/impact,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,"Today, how much did you cancel or withdraw from planned social engagements (and how impactful was it for you)?","1-9 Likert (1 = None/not impactful, 9 = Many cancellations/high impact)",1,today,medium
pseudoprofile_FTC_ID009,criterion,C05,custom,Experienced loneliness from reduced social contact,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,How lonely did you feel today as a result of reduced social contact?,"1-9 Likert (1 = Not at all lonely, 9 = Extremely lonely)",1,today,high
pseudoprofile_FTC_ID009,criterion,C06,custom,Self-critical reaction to loneliness,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (end-of-day diary),end_of_day,"When you felt lonely today, how much did you respond with self-criticism or calling yourself 'dumb' for being lonely?","1-9 Likert (1 = Not at all, 9 = Extremely self-critical)",1,today,medium
pseudoprofile_FTC_ID009,predictor,P01,,Behavioral activation / social exposure (behavioral experiments),PSYCHO / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you purposefully attempt to engage with others or accept/attend social opportunities (graded steps/exposures)?","1-9 Likert (1 = Not at all, 9 = A great deal)",5,since last prompt,high
pseudoprofile_FTC_ID009,predictor,P02,,Cognitive restructuring / thought-challenging for 'I'm annoying',PSYCHO / Cognitive_Behavioral_Therapies / Cognitive_Restructuring,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you actively challenge or reframe thoughts like 'I'm annoying'?","1-9 Likert (1 = Not at all, 9 = A great deal)",5,since last prompt,medium
pseudoprofile_FTC_ID009,predictor,P03,,Rumination-interruption / mindfulness-decentering (post-event decompression),PSYCHO / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how often were you able to step out of replaying social interactions (interrupt or let go of ruminative thoughts)?","1-9 Likert (1 = Not at all, 9 = Very often/successfully)",5,since last prompt,high
pseudoprofile_FTC_ID009,predictor,P04,,Micro-connection planning (stepwise reengagement / social-prescribing micro-contacts),SOCIAL / Social_Support_and_Belonging / belonging_isolation_and_meaning / micro_connection_opportunities_plan,SOCIAL,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you attempt small, intentional social connections (texts, short calls, brief in-person micro-interactions)?","1-9 Likert (1 = Not at all, 9 = Many/very engaged)",5,since last prompt,high
pseudoprofile_FTC_ID009,predictor,P05,,Self-compassion practice (response to self-criticism),PSYCHO / Core_Psychological_Skills_Toolkits / Compassionate_Self_Relating_and_Inner_Support,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you respond to self-critical thoughts with compassionate statements or soothing actions?","1-9 Likert (1 = Not at all, 9 = Very much)",5,since last prompt,medium
pseudoprofile_FTC_ID009,predictor,P06,,Sleep quality / circadian alignment (last night),BIO / Sleep_Circadian_and_Restoration / Circadian_Entrainment,BIO,MED,,EMA_self_report,smartphone EMA app (morning diary),morning_diary,How well did you sleep last night overall?,"1-9 Likert (1 = Very poorly, 9 = Very well)",1,last night,medium
pseudoprofile_FTC_ID009,predictor,P07,,Social support mobilization (asking for help / confiding),PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / social_support_mobilization_plan,SOCIAL,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you seek support or confide in someone about how you were feeling?","1-9 Likert (1 = Not at all, 9 = A great deal)",5,since last prompt,high
pseudoprofile_FTC_ID009,predictor,P08,,Passive social-activity (outgoing contacts / social app minutes) — daily aggregate,SOCIAL / Digital_Social_Environment / digital_social_environment_solutions / prosocial_online_participation_plan,SOCIAL,MED,,platform_api,smartphone (permissioned activity logs or aggregate counts) / behavioral_log,passive_daily_aggregate,Daily count of outgoing social interactions (calls + distinct addressed messages) and minutes spent in social communication apps (24h aggregate).,counts and minutes per day (numeric),1,past 24 hours,medium
pseudoprofile_FTC_ID035,criterion,C01,custom,Baseline health-related worry frequency/intensity,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much have you worried about your health? (1 = Not at all, 9 = Extremely)",1-9 Likert (anchored),6,since last prompt,high
pseudoprofile_FTC_ID035,criterion,C02,custom,Catastrophic interpretation of minor bodily symptoms,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, if you noticed bodily sensations, to what extent did you interpret them as indicating something very serious (e.g., convinced you might be dying)? (1 = Not at all, 9 = Completely)",1-9 Likert (anchored) plus conditional event flag if no sensation,6,since last prompt,high
pseudoprofile_FTC_ID035,criterion,C03,custom,Compulsive online health-checking (duration),,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app + optional passive phone sensor,since_last_prompt,"Since the last prompt, did you search for health information online? If yes, how many minutes did you spend? (enter minutes). Also rate how strong the urge was on a 1-9 scale (1 = No urge, 9 = Very strong urge).","minutes (self-reported, continuous) + 1-9 urge Likert",6,since last prompt (minutes aggregated),high
pseudoprofile_FTC_ID035,criterion,C04,custom,Failure to inhibit checking despite recognizing irrationality,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you try and fail to resist checking/searching even though you knew it was irrational? (1 = Not at all, 9 = Completely)",1-9 Likert,6,since last prompt,high
pseudoprofile_FTC_ID035,criterion,C05,custom,Subjective sense of loss of control and distress about it,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much did you feel that your health worries were out of control and how distressed did that make you? (1 = Not at all, 9 = Extremely)",1-9 Likert,6,since last prompt,high
pseudoprofile_FTC_ID035,criterion,C06,custom,Acute panic-level fear when a symptom appears,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"If you noticed a bodily symptom since the last prompt, how intense was your immediate fear/panic? (1 = Not at all, 9 = Extreme panic). Also mark event_flag if a symptom occurred.",1-9 Likert + event_flag boolean,6,since last prompt,high
pseudoprofile_FTC_ID035,predictor,P01,,Cognitive restructuring / probabilistic thinking practice,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you use a cognitive reappraisal/probability-checking strategy? If yes, rate how effective it was (1=Not at all,9=Very effective) and record minutes spent practicing.",binary + 1-9 Likert for effectiveness + minutes practiced,6,since last prompt,high
pseudoprofile_FTC_ID035,predictor,P02,,Scheduled checking & digital hygiene (if-then plans and limits),PSYCHO / lifestyle_philosophies / digital_minimalism_and_intentional_tech,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app + optional passive phone sensor,since_last_prompt,"Since the last prompt, did you check health information outside scheduled windows? (Y/N). Self-reported minutes spent searching and perceived adherence to schedule on 1-9 scale. Passive proxy: browser_time_minutes_since_last_prompt and screen_unlock_count.",binary + minutes + 1-9 adherence Likert; passive minutes if available,6,since last prompt,high
pseudoprofile_FTC_ID035,predictor,P03,,Interoceptive exposure to feared bodily sensations,PSYCHO / cognitive_behavioral_therapies / exposure_and_inhibitory_learning,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you practice interoceptive exposure exercises? (Y/N). If yes, minutes practiced and peak fear during exercise (1-9).",binary + minutes practiced + 1-9 fear intensity,6,since last prompt,medium
pseudoprofile_FTC_ID035,predictor,P04,,Mindfulness/acceptance & distress-tolerance skills,PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you use a mindfulness/acceptance or breathing exercise? If yes, how many minutes and rate immediate relief (1-9).",binary + minutes practiced + 1-9 relief Likert,6,since last prompt,high
pseudoprofile_FTC_ID035,predictor,P05,,Executive function / inhibition training (urge pause & response prevention),PSYCHO / cognitive_capacity_enhancement_and_stimulation / executive_function_training,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you use an urge-pause/inhibition exercise when you felt the urge to check? (Y/N). If yes, rate success resisting (1-9) and minutes practiced.",binary + 1-9 success Likert + minutes,6,since last prompt,high
pseudoprofile_FTC_ID035,predictor,P06,,Sleep and circadian stabilization,BIO / Sleep_Circadian_and_Glymphatic_Support / Sleep_Routines_and_Practices,BIOxPSYCHO,MED,,EMA_self_report,smartphone EMA app + morning diary,morning_diary,"Morning diary: last night's sleep onset time, wake time, sleep quality (1-9). Also nightly adherence to sleep routine (1-9). Optional passive: sleep_duration_minutes via wearable / phone (if available).",times + 1-9 Likert + minutes if passive,1,last night,medium
pseudoprofile_FTC_ID035,predictor,P07,,Social support & accountability mechanisms,SOCIAL / Social_Support_and_Belonging / Support_Network_Development,SOCIAL,MED,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you reach out to or receive a supportive/check-in message from your accountability partner? (Y/N). Rate perceived helpfulness 1-9 and whether they reminded you of your plan (Y/N).",binary + 1-9 Likert,6,since last prompt,medium
pseudoprofile_FTC_ID008,criterion,C01,custom,Elevated resting muscle tension in shoulders and jaw,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how tense were your shoulders and jaw? (1 = not at all tense, 9 = extremely tense)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID008,criterion,C02,custom,Low moment-to-moment awareness of bodily tension,,,HIGH,higher_is_better,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how aware were you of bodily tension or tightness (shoulders, jaw or neck)? (1 = not at all aware, 9 = very aware)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID008,criterion,C03,custom,Headaches triggered by muscular tension,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you have a headache? (Yes/No). If yes, rate intensity: 1 = very mild, 9 = very severe.",event flag (binary) + intensity 1-9 (if event),5,since last prompt,medium
pseudoprofile_FTC_ID008,criterion,C04,custom,Persistent anticipatory threat expectation,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Right now / Since the last prompt, how much did you expect something bad to happen? (1 = not at all, 9 = extremely)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID008,criterion,C05,custom,Difficulty relaxing on low-stress days,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how hard was it for you to relax (physically or mentally)? (1 = not at all hard, 9 = extremely hard)",1-9 Likert,5,since last prompt,medium
pseudoprofile_FTC_ID008,criterion,C06,custom,Habitual anticipatory muscle bracing in absence of immediate threat,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how much did you notice automatic bracing/tensing (muscles activating without a clear reason)? (1 = none, 9 = constant unintended bracing)",1-9 Likert,5,since last prompt,high
pseudoprofile_FTC_ID008,predictor,P01,,Progressive muscle relaxation (PMR) practice (shoulders/jaw-focused),PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / breath_and_relaxation_skills / progressive_muscle_relaxation_practice,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you do a PMR/targeted muscle relaxation practice? If yes, estimate total minutes and rate how fully you engaged (1-9).",binary flag + minutes + engagement 1-9,5,since last prompt,high
pseudoprofile_FTC_ID008,predictor,P02,,Interoceptive body-scan / mindful-body awareness check-ins,PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_scan_with_breath_integration,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you do a body awareness or body-scan check-in? If yes, how long (minutes) and how attentive did you feel (1-9)?",binary flag + minutes + attention 1-9,5,since last prompt,high
pseudoprofile_FTC_ID008,predictor,P03,,Hourly micro-breaks with gentle movement + diaphragmatic breathing,PSYCHO / third_wave_and_contextual_therapies / stress_inoculation_and_coping_skills / arousal_management_skills,BIOxPSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you take a micro-break (movement + breathing)? If yes, how many times and rate effectiveness (1-9).",count + effectiveness 1-9,5,since last prompt,high
pseudoprofile_FTC_ID008,predictor,P04,,Threat reappraisal / cognitive reframing practice,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / threat_and_anxiety / threat_appraisal_reframe,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you try a reappraisal/cognitive reframing exercise? If yes, rate how helpful it felt (1-9).",binary flag + helpfulness 1-9,5,since last prompt,medium
pseudoprofile_FTC_ID008,predictor,P05,,Ergonomic / posture cueing and adjustments,BIO / Movement_Physical_Function_and_Somatic_Care / Ergonomics_Posture_and_Work_Capacity,BIOxPSYCHO,MED,,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, did you adjust posture or follow an ergonomic cue (yes/no)? If yes, rate how well you implemented it (1-9).",binary flag + implementation quality 1-9,5,since last prompt,medium
pseudoprofile_FTC_ID008,predictor,P06,,Sleep protection / circadian routine adherence,BIO / Sleep_Circadian_and_Restoration / Sleep_Routines_and_Practices,BIO,MED,,EMA_self_report,morning diary (smartphone),morning_diary,"Last night: total sleep time (hrs), sleep quality (1-9), time to fall asleep in minutes. Also capture adherence to planned sleep routine (yes/no).",hours + 1-9 Likert + minutes + flag,1,last night,medium
pseudoprofile_FTC_ID008,predictor,P07,,Wearable jaw-clench/bruxism sensor (passive) — episodes & intensity,BIO / Personalization_Monitoring_and_Data_Feedback / Wearables_and_Home_Monitoring / muscle_tension / jaw_clench_bruxism_sensor,BIO,MED,,wearable_sensor,wearable device with jaw-clench or EMG proxy (or night bruxism sensor); phone-connected wearable,passive_aggregated_per_prompt,Number of clench/bracing episodes and average intensity in the 'since last prompt' window; daily total episodes and mean intensity.,count of episodes; mean intensity (device-specific units),5,since last prompt,high
pseudoprofile_FTC_ID008,predictor,P08,,Structured social support (brief weekly check-ins / encouraging cues),SOCIAL / Social_Support_and_Belonging / Support_Network_Development,SOCIAL,MED,,EMA_self_report,smartphone EMA app (weekly check-in + momentary prompts),since_last_prompt,"In the last day(s), did you have a supportive check-in (yes/no)? Rate how supported you felt (1-9).",binary flag + support 1-9,5,since last prompt,low
pseudoprofile_FTC_ID018,criterion,C01,custom,Evening-onset persistent bleak/empty mood,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, how empty, heavy, or bleak did you feel? (1 = Not at all, 9 = Extremely)",1-9 Likert anchored,5,since last prompt,high
pseudoprofile_FTC_ID018,criterion,C02,custom,Low outward emotional expression (non-crying distress),,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, to what extent did you feel distressed but not show outward emotion (e.g., not crying)? (1 = Not at all, 9 = Very much)",1-9 Likert anchored,5,since last prompt,medium
pseudoprofile_FTC_ID018,criterion,C03,custom,Prolonged passive smartphone use in evenings,,,HIGH,higher_is_worse,passive_phone_sensor,platform API (Android/Apple screen-time/unlock logs) aggregated in-app,passive_aggregated_per_prompt,screen_time_minutes_past_3h (minutes of screen-on/unlocked active time in the 3 hours before the prompt),minutes,5,past 3 hours,high
pseudoprofile_FTC_ID018,criterion,C04,custom,Perceived low energy / high effort barrier to other activities,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, how effortful did it feel to start or do other activities? (1 = Not at all effortful/easy, 9 = Extremely effortful)",1-9 Likert anchored,5,since last prompt,high
pseudoprofile_FTC_ID018,criterion,C05,custom,Avoidant coping function of phone use,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, to what extent did you use your phone to avoid, distract from, or escape unpleasant feelings? (1 = Not at all, 9 = Completely)",1-9 Likert anchored,5,since last prompt,high
pseudoprofile_FTC_ID018,predictor,P01,,Evening Behavioral Activation (small planned activities),PSYCHO / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, how much did you engage in a planned small activity (pleasant or active)? (1 = Not at all, 9 = A lot)",1-9 Likert anchored,5,since last prompt,high
pseudoprofile_FTC_ID018,predictor,P02,,Objective screen-time (past 3 hours),SOCIAL / Digital_Social_Environment / Digital_Life_Assessment_and_Guardrails,SOCIAL,HIGH,,passive_phone_sensor,"platform API (screen-time, unlock logs) aggregated in-app",passive_aggregated_per_prompt,screen_time_minutes_past_3h (minutes of active screen-on/unlocked time in the prior 3 hours); unlock_count_past_3h,"minutes (continuous), counts",5,past 3 hours,high
pseudoprofile_FTC_ID018,predictor,P03,,Sleep / circadian routine (prior night's timing & quality),BIO / Sleep_Circadian_and_Restoration / Sleep_Routines_and_Practices,BIO,HIGH,,EMA_self_report,morning diary (smartphone),morning_diary,"What time did you fall asleep and wake up last night? How would you rate your sleep quality last night? (1 = Very poor, 9 = Very good)",clock times + 1-9 Likert,1,last night,medium
pseudoprofile_FTC_ID018,predictor,P04,,Evening Social Engagement (supportive contact),SOCIAL / Social_Support_and_Belonging / Network_Building_And_Maintenance,SOCIAL,MED,,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, did you have a meaningful or supportive social interaction? (1 = Not at all, 9 = A lot)",1-9 Likert anchored,5,since last prompt,medium
pseudoprofile_FTC_ID018,predictor,P05,,Mindfulness / acceptance coping use,PSYCHO / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions,PSYCHO,MED,,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Since the last prompt, to what extent did you use a coping or mindfulness strategy (e.g., deep breaths, grounding)? (1 = Not at all, 9 = A lot)",1-9 Likert anchored,5,since last prompt,medium
pseudoprofile_FTC_ID018,predictor,P06,,Perceived initiation self-efficacy / momentary ability to start activities,PSYCHO / Change_Process_and_Therapeutic_Phases / Readiness_and_Engagement,PSYCHO,HIGH,,EMA_self_report,smartphone EMA app (momentary prompt),since_last_prompt,"Right now / since the last prompt, how able do you feel to start a different (non-phone) activity? (1 = Not at all able, 9 = Completely able)",1-9 Likert anchored,5,since last prompt,high
pseudoprofile_FTC_ID018,predictor,P07,,Measurement-feedback engagement (viewed personalized plan/feedback),BIO / Personalization_Monitoring_and_Data_Feedback / Self_Assessment_and_Logs,BIOxPSYCHO,MED,,platform_api,app usage log (feedback-view events),passive_aggregated_per_prompt,feedback_viewed_flag_since_last_prompt (binary); feedback_view_count_past_3h,binary / counts,5,past 3 hours,medium
pseudoprofile_FTC_ID015,criterion,C01,custom,Altered sense of self since childbirth,,,HIGH,higher_is_worse,EMA_self_report,smartphone morning diary,morning_diary,"Thinking about the period since having your baby, how much do you feel like 'yourself' compared to before the baby? (1 = completely like myself, 9 = not at all like myself)",1-9 Likert (higher = more altered),1,since childbirth / last night (trait-like),low
pseudoprofile_FTC_ID015,criterion,C02,custom,Positive emotional bond with the baby,,,HIGH,higher_is_better,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how strongly did you feel affectionate/connected to your baby? (1 = not at all, 9 = extremely)",1-9 Likert (higher = stronger bond),6,since last prompt,medium
pseudoprofile_FTC_ID015,criterion,C03,custom,Perceived entrapment / loss of autonomy,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you feel trapped or limited by your caregiving role? (1 = not at all, 9 = extremely)",1-9 Likert (higher = more trapped),6,since last prompt,high
pseudoprofile_FTC_ID015,criterion,C04,custom,Excessive guilt about feelings/parenting,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how guilty did you feel about your feelings or parenting? (1 = not at all, 9 = extremely)",1-9 Likert (higher = more guilt),6,since last prompt,high
pseudoprofile_FTC_ID015,criterion,C05,custom,Subjective overwhelm / low coping capacity,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how overwhelmed or unable to cope did you feel? (1 = not at all, 9 = completely overwhelmed)",1-9 Likert (higher = more overwhelmed),6,since last prompt,high
pseudoprofile_FTC_ID015,criterion,C06,custom,Low frustration tolerance / frequent tearfulness,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, how tearful or emotionally reactive were you to small triggers? (1 = not at all, 9 = extremely)",1-9 Likert (higher = more tearful),6,since last prompt,high
pseudoprofile_FTC_ID015,criterion,C07,custom,Self-criticism after emotional episodes,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, after feeling upset, how much did you judge yourself negatively (e.g., 'bad parent')? (1 = not at all, 9 = extremely)",1-9 Likert (higher = more self-criticism),6,since last prompt,high
pseudoprofile_FTC_ID015,criterion,C08,custom,Perceived minimization / lack of validation from others,,,HIGH,higher_is_worse,EMA_self_report,smartphone EMA app,since_last_prompt,"Since the last prompt, to what extent did you feel that others dismissed or minimized how you feel? (1 = not at all, 9 = extremely)",1-9 Likert (higher = more invalidation),6,since last prompt,medium
