t_index,date,P01,P02,P03,P04,P05,P06,C01,C02,C03,C04,C05
66,2025-03-08,0.4464715756208402,,0.2757699601237143,0.8892081959094112,,0.35603216755611533,,,,4.440251240879343,5.290379562573901
67,2025-03-09,0.47749742242681703,0.2302137463192712,0.09166920657233901,0.957842577431185,0.5393517516284709,0.5020666149081292,,7.049061806243842,3.546095642651882,,4.130014061303276
68,2025-03-10,0.5567207262410028,,0.0014078156433616346,0.6411505550135081,0.4438832109053954,0.6262464216161041,,,,,3.3754682463385905
69,2025-03-11,0.5776088455047034,0.14977078009259442,0.16731708253608565,0.8827063284583987,0.5498331840810456,,,6.493327988926733,1.2452508725300278,6.270987012129843,3.460104836400328
70,2025-03-12,0.6927447406961327,,0.20974247536093316,0.7142838501295209,0.5166951820622232,0.6053974688319073,,6.4905416838908305,4.118306434039381,,3.0948893801325656
71,2025-03-13,0.4146660055861141,0.4900280501897186,0.15634390650126867,,0.5983319253017281,,,,3.359807672350054,,3.0631929199882464
72,2025-03-14,0.5059724578633442,0.5540533982689891,0.06082329636454309,,0.5391277879998944,,,,3.3469165277664885,6.328913496833876,2.628733685295437
73,2025-03-15,0.5959390976961794,0.5382163615619229,0.2805458927625189,0.6490102262668387,,,,6.483641603282113,3.206506024510448,5.268802134079826,
74,2025-03-16,0.6152070428113191,0.5498315165771055,0.4342943777994973,0.6387608778055403,0.40321653464935764,,5.800375198250493,5.704757270485376,3.8371394468869107,6.15218873338735,3.116427194525099
75,2025-03-17,0.4993911139895663,0.7077793987236907,,0.5698726960689837,0.6637038722913063,,6.310786938514429,6.649271124750443,,5.734647376537721,3.7153282551223734
76,2025-03-18,0.5683641304678893,0.7073557543121316,0.3571249622486422,0.731867512809038,,0.9302405998137038,5.6544612111308,6.111985799450981,,,3.2669856494307834
77,2025-03-19,0.5945432885778097,0.7628962747513232,0.35709406507361097,0.6050798249442142,0.6312605591043109,0.8027572552612103,5.666949634826415,,,,3.499146722524666
78,2025-03-20,0.8805097275895652,0.7403373121364648,0.47321775345738915,0.6587773508330373,0.6363758626354684,0.7584669650563418,5.640626750934567,5.817266446224657,,4.494388679778566,4.2519615801383415
79,2025-03-21,,,0.3395752948558971,0.5579188715079367,0.6964892774328024,0.7659992012374094,4.659727225964592,5.3030839185387215,0.04622452708151581,,3.2968409908174254
80,2025-03-22,0.9721724524273039,,0.4369576301018667,,0.6143496903297324,,3.763655861180758,5.259122531139414,,,3.0789983782439343
81,2025-03-23,,1.0,0.4368633929474327,,0.18998584997751983,0.8694039134945541,4.085400184818773,5.52029175467361,3.392872182233679,3.8136693810437707,3.404842313236336
82,2025-03-24,0.8691029831389595,0.8585410447290791,0.6223625129155451,,,0.9150906404943269,,4.773295236963276,2.891038381444528,4.333403556903493,4.506121740341664
83,2025-03-25,,,,,,0.942469644436297,3.79209631242004,4.641788345968813,2.057623646821558,5.134897088001714,4.786636947358584
84,2025-03-26,0.9181153633810005,0.7053353047263655,0.5563261220832222,,0.5973241408101152,1.0,3.061699423158918,3.9328446625358606,1.4829498465355875,5.4599390051279375,4.711761671030316
85,2025-03-27,0.9429333029599495,0.6342212114575585,0.5470076262978082,,0.7160593936418006,1.0,4.20142659350686,,,6.845279451151731,5.283061768314641
86,2025-03-28,1.0,0.7275080123667528,0.4810146013778605,0.2906595240273717,0.7251093561011472,1.0,3.924496787141896,4.564360613931013,1.4444013659489467,6.183493132429805,5.812181635671623
87,2025-03-29,1.0,0.8941781859429361,0.44447994596671736,0.17328686449716837,0.6834608620796832,0.9790094328806661,4.4940950838946545,4.5337662297119,2.2794541820429868,7.385970304170158,4.961314173915208
88,2025-03-30,1.0,0.8197979289418739,0.3755309843746014,0.20067366640432327,0.7420731890439051,0.777261953316452,4.70699320097785,4.938632169919278,3.099945029397805,6.596439057151114,4.996278081037529
89,2025-03-31,,0.8497027829399422,0.4737891539804683,0.3562866426307057,0.8324537230942524,,4.854920322634834,5.020436973631234,2.588710540206685,5.983704310939369,5.003374874681901
90,2025-04-01,0.7994193360347195,0.5737301254281872,0.633329724916116,0.38000865126336514,0.8024474409691111,0.9171610112117281,5.282824213475359,5.7960767880987065,,6.020121759469014,5.567930112458158
91,2025-04-02,0.8502172165206023,,0.808859767150598,0.26043871523800066,0.8828199775327914,,5.465542252514914,5.074675995930782,2.718285321983822,5.5213429970362355,5.45774009894301
92,2025-04-03,0.17137122435276317,0.5488860365163978,0.9046367388820615,0.4687818238352264,0.7844783366687117,0.7321754200039545,4.786204008848157,4.005826176418366,2.7208255391890153,4.639175259466911,4.528707854689557
93,2025-04-04,0.22564121900490994,0.1767801027132644,0.9288411711267295,0.48832633996605307,0.7222579233338441,0.5567272601203008,,2.497520205193373,,4.917012461809127,3.1478688444812635
94,2025-04-05,,0.1547544139938634,0.8569780791491528,0.5660741834275553,0.632562990435674,0.6054332227248557,5.0833101518112835,1.9224255263564198,2.121111822804416,4.635228937312583,3.836008143018451
95,2025-04-06,0.8608476666579659,0.18641985722871557,0.8965912615726888,0.5690250659157008,,0.6849689845903977,5.965473913272227,0.0,1.8215859331902184,4.806196811182198,
96,2025-04-07,0.7938597995067704,0.1942511460186141,0.8588805062454267,0.5836719884358375,0.5591960130381423,0.7735577843718153,,1.8432445415932452,1.853934506501479,,3.238541723316088
97,2025-04-08,0.7231586531204405,0.1616889290809975,0.7618712794851248,0.6492667265141961,0.5525116213910689,0.6753153579496016,6.034803186277125,,1.2446201158102117,4.917752609435562,3.2576830144917146
98,2025-04-09,0.7151552623672531,0.14621531463239906,,0.6627617223525154,0.631636374030064,0.8059979704500773,5.550547149088916,2.211555328811903,1.038395893693195,4.026410214508188,3.3225292393625954
99,2025-04-10,0.8295420537686662,0.6689087852158992,0.7465681210179254,0.5587001919217988,0.8413823484356246,,,2.9531240644751735,1.4136856686081283,,4.712395222178943
100,2025-04-11,0.9939912698818066,0.5668530897905522,0.5642557858077326,0.5664276400375502,,1.0,4.512787627724741,2.8551329253494435,0.0,,4.897375607085681
101,2025-04-12,1.0,0.9553945373157162,,0.5040717144702804,,,4.564435978589343,2.3513423917282883,0.7277111159065321,3.4149214307722495,4.0480850074937536
102,2025-04-13,,0.7739002109999593,0.8325705554021972,0.39865428379151147,0.631345918693262,1.0,5.529631018670822,3.0425661379362317,1.514021243169521,3.78117733324112,2.914285477858633
103,2025-04-14,0.9630971659579973,0.8109449215056651,0.6166816812460847,0.5048386566638823,0.40182527075816976,,5.881883246001894,2.9860124977652074,0.9274334811200121,4.178843288512907,3.1194646977501606
104,2025-04-15,0.8793849405231549,0.5797558462037413,0.6814520872737676,,0.37251727764837517,0.7984592047319959,,2.9277481670555696,1.3318076967744643,4.098581206175908,
105,2025-04-16,0.8427849411086846,0.3488660564312993,0.778871198955662,0.4700067254779472,0.38037077442448763,0.9186982746344458,5.6846676382793415,,1.625276635429636,3.3782638179555335,3.2537634740265413
106,2025-04-17,0.8315431245375287,0.5342877154371668,0.7059327181508165,0.39535753391877243,0.4921524019137089,0.8306471381460789,5.6877358908933955,,,4.1437120767940065,2.890208185445513
107,2025-04-18,,0.6053970569430341,0.9626144950466267,0.4611498623626673,0.5952412099501438,0.6247784651974231,5.717686679067661,1.7910694698048362,1.6460743745833888,,2.9612617450204493
108,2025-04-19,,0.6539271643876698,0.9949613342445636,0.3585789652225937,0.7493521036573021,,5.872782793105348,1.6891547622045342,,3.7466254553384486,3.7089196698285782
109,2025-04-20,1.0,0.7458878083568489,,0.4002996732054231,0.7417496095316813,1.0,4.725309711310136,2.9162190243428134,3.213299928276399,4.16097638274726,
110,2025-04-21,,0.5417521640364056,1.0,0.24954780883685673,0.659948081852804,,4.000535122867041,,,3.5733119042858066,
111,2025-04-22,1.0,0.7057414967349676,1.0,0.25050676354140144,0.7787863094217709,,4.723056858298687,2.657220306073071,,,
112,2025-04-23,0.8530874091104521,0.7104931591208966,0.771367383306147,0.3466824854653289,0.8310664230948035,1.0,4.004607489580417,2.590959241719671,2.991454657789316,3.9491608850387037,5.910128376160736
113,2025-04-24,0.8178777176435899,0.8716708880545673,0.746179878535941,0.24678929355255252,0.7036467578933899,1.0,,,1.8081009042876006,,6.840029010632277
114,2025-04-25,,1.0,0.8207178559593706,0.3488902303642119,,1.0,1.9499343097576443,1.514534558671187,1.0252739858730668,4.950795109229713,5.427992760055032
115,2025-04-26,1.0,0.9132409370628425,0.9140079240058017,0.44943377723635336,,1.0,2.20338570687633,2.4714405777357986,0.965098230362379,6.233787006579094,6.010600852749737
116,2025-04-27,1.0,0.8503715149743263,1.0,0.5875483122705962,1.0,1.0,5.286821106181052,3.182491839396182,0.8583302227824152,5.705574419050214,4.8992385304824255
117,2025-04-28,0.9563788408691094,0.7638888183102206,,0.47630952033478124,0.9696134376041974,0.9226170734097041,,,1.631936708440771,3.7526618752096983,5.107531252632253
118,2025-04-29,0.5503661008101104,0.5252130045259855,0.9241648511273707,0.08072151386413051,0.905672969424391,0.9981201121204077,5.04852634331099,4.430654727243246,2.3326625429642895,,4.786406302256759
119,2025-04-30,0.40053436677973,0.48568803008531614,1.0,0.06048328750328485,0.9097483583418595,0.9270726461629507,,4.782556090525672,,,5.411581402619066
