t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05,C06
11,2025-01-12,0.4001267767659033,0.3046913534780538,0.5028660764141715,0.36057931616372324,0.348693907921336,0.0007051786406839303,0.3292395825301673,2.0320330186458864,4.128230503610119,3.5123307760777056,3.56969353144991,,3.591453837226022
12,2025-01-13,0.34900590192772213,0.27037431577145665,0.5734058252615586,0.4145053124510609,0.46477959037282535,0.017455001825274322,0.5015970806113107,2.84599384122791,3.9490208802412647,3.8400826566966506,3.0226112297940895,3.083085742990621,
13,2025-01-14,0.32599179118733757,0.30670331800436146,0.5365057963498479,0.3596033615568667,,0.0,0.33755476969881126,3.2599948923103974,3.2362773891378946,3.85181140010225,3.3729857069754607,,4.261917046248255
14,2025-01-15,0.20275566818854387,,0.48676984691238745,,0.45164983989626256,0.0,0.33972395843550435,3.8213799760482186,3.6882150106398908,3.6732753269700593,3.2263053595990008,,4.7287760630256495
15,2025-01-16,,0.2870298839424068,0.38232615603829617,0.1601638832865371,0.44054879573680944,,0.3166677528912241,3.4531743127360035,3.8065262240174307,,3.8242539593321565,3.854946892268279,4.412961682916847
16,2025-01-17,0.22128729873726102,0.32187235443004103,0.41856307720894476,0.23233975813817148,0.3140594457802063,0.25864031025013856,0.28323339954441074,,3.7364732721459593,3.1592838207360874,3.228819834438128,3.164164878808509,
17,2025-01-18,0.11406378590885138,,0.5703063444380985,0.33760238053485814,0.3615493517675329,0.16736665091110825,0.3683499631865316,2.508703232133217,3.829849245972316,2.543951970507674,2.857230422708213,2.8443461682822653,
18,2025-01-19,0.12470999822026985,,0.5364198827063386,0.29194280234367465,0.48090055140988197,0.09998261696383536,0.4177049319321485,3.022663823560597,4.272997391138478,2.9083911917734566,2.8536149724919047,2.0933346580808974,4.247759896516164
19,2025-01-20,0.15128388335747972,0.29549387301334806,0.548477726755271,0.17952452591508247,0.33661446725125993,0.08531772239416725,0.356661237977195,2.927375440898082,4.523117055283757,3.474859923640197,2.6811227550653363,,4.494106790794556
20,2025-01-21,0.1987455269220494,0.23881918405789754,0.532066981754606,0.08727492502190848,0.39085762269102986,0.012275751927848702,0.30041179708471843,4.475047537056289,4.993306006554854,,3.1650963056346284,3.1138968058020584,4.899445452378281
21,2025-01-22,0.0,0.1713765589756129,,0.0,0.21789226287562433,0.15184465967845995,0.22808502421614268,,,2.5628493129613306,3.6576206232666704,,
22,2025-01-23,0.11359607769351046,0.23072498685773785,0.48543923652813775,0.041408525663309326,0.15542410893882214,0.18152174921267808,,4.237752067743403,4.78186994610971,3.1776762398901637,5.315650034476822,4.727642408001898,
23,2025-01-24,0.1377088125651871,,,0.3462017139646063,0.10734051034773633,0.08832942174769808,0.2876266566622663,5.386651388055222,5.259386145332456,3.135977851062571,,5.219252770856877,
24,2025-01-25,0.29330270760354604,0.26922040694312827,0.44383516731538936,0.42036655840871,0.30139605718355117,,0.36467551132608134,,5.736697994473908,3.283844601774583,3.5306149125334554,4.677322263225754,2.797057435176316
25,2025-01-26,0.35738746221973255,0.4137760362102913,0.4517704308310105,0.5850521424944188,0.1527799893420023,0.13505590441054993,0.2663521637715776,4.067582577776069,5.079137100630982,4.075332035007315,2.6704075536519016,6.489470893470381,2.444354269339128
26,2025-01-27,0.3673242666192817,0.35847876537346357,0.4929779372810872,0.5107120606822056,0.29770249509477864,0.09218062101293373,,4.944998974768195,5.616236614749055,3.9994770241107105,3.4375206263297287,,
27,2025-01-28,0.3010476592144917,0.3714243463734483,0.42183240212482964,,0.14087783649903804,0.1693704949096797,,4.594196617843027,5.764484337056535,4.384104196607032,3.9280056455029517,3.433668249915277,3.3193927667279786
28,2025-01-29,0.2662516740327329,0.17179457851880614,0.2860590398859646,0.3634652537445686,0.24725752329730719,0.24086600713709522,,4.9789137402439625,5.04061475428343,3.9790857753309563,4.3415175782168625,4.098628777222384,3.5471184189595317
29,2025-01-30,,0.27172401484780473,0.3273219776893474,0.26481990591676335,0.29855145153934337,0.3187307869431263,,4.7084834392234844,5.581621172409715,4.183609529168647,5.241526226941632,4.383808740460857,3.8522470250729253
30,2025-01-31,0.3026244560739159,0.4005668999930713,0.4033806092278799,0.1589409325735684,0.49496038096065753,0.34537559735821716,,3.888800269864153,4.469885581461487,2.465614153017536,5.542860729035419,3.8811943964659736,3.9548470449353745
31,2025-02-01,0.28584565355477204,0.4571450286413519,0.26822424676598466,0.19089557191984244,0.5308443146556467,0.1869646526233495,,4.342787713379365,4.173558413785222,2.1292097137111075,,4.216198881824582,
32,2025-02-02,0.19575730470191657,0.3700887010299326,0.24102807291429473,0.19774012496746537,0.4583621940207035,0.17604632307137824,,,3.686644396087102,2.2231105374915954,3.94638300761547,,3.1500489658367887
33,2025-02-03,0.15780795105700648,0.4920263911559005,0.22550375603496342,0.18905431220633687,0.4403847068420671,0.04257754104652052,,3.9559189118601754,,2.8888457031794834,4.280875626699316,4.655876103872536,3.5527525179806863
34,2025-02-04,0.22911240763679225,0.4690530003429643,0.24705294215085005,0.2327128774074843,0.4382007445206227,0.20001793367482246,,4.844885146572548,5.251012568861535,3.2052136386425456,5.095993262675011,4.415997759501286,3.29239597350571
35,2025-02-05,0.37604423830377154,0.3687640032292373,0.30359980900652117,,0.5508804841614172,0.17260225333969312,0.0,4.351305848264527,4.359599145242989,,5.103776628839221,4.07332079564152,3.804806072334083
36,2025-02-06,0.2665963071235102,0.49772853166689457,,0.5365776989498612,,0.191212196518081,0.0,4.461912065284579,,3.0081419501987887,4.71434340830292,3.7696454372056634,5.228100031795044
37,2025-02-07,0.33995673474139476,0.6347703027473806,0.3033189085364865,0.3885018163383639,0.542152973206575,,0.0,4.440485317266271,4.489442958303231,2.161419966534753,2.7548567466860656,,4.5527433706566125
38,2025-02-08,,0.7626881091835138,0.5211707911037388,0.5736849231069887,0.26543911412940135,,0.0,,,4.570437200400988,2.4488682915507933,,4.085011738926063
39,2025-02-09,0.2302361459549765,0.7369249164236497,0.4353038437190329,0.4397566553416629,0.22442572384272025,0.4981608966317107,0.0,2.8156799517788045,4.292808066523797,2.4375367712990417,3.3527709256154896,3.695891029552757,
40,2025-02-10,0.16862356556880537,0.7368970215473905,0.34948918657457434,0.49099083836738594,0.30419462781061674,0.25398125864053206,0.041327403768294343,3.163559216919447,4.985595002506867,3.5969330121822174,4.1454384956284605,3.6577367283436577,
41,2025-02-11,0.2496718311074006,0.6673208056997387,,0.2750965100417775,0.0,0.0581040311581818,0.0,3.6035479574814073,5.2366826361821905,3.825053309202828,3.8321803547361686,,5.093687013973489
42,2025-02-12,0.3261081563461577,0.5864369640799934,0.22833411602180537,0.11813616520735556,0.05667873389306117,0.0,0.1442362223487455,4.033559891887872,4.89590027336991,3.626490878460408,4.345325649103111,,6.844896820400536
43,2025-02-13,0.2988404667027792,0.3341334778938667,0.4329323613673417,0.05835304235993294,0.0,0.0551784579877216,0.27532580400182755,4.433290837077558,4.61511108598355,,5.081471332259718,,7.714030596204701
44,2025-02-14,0.15052523118143254,0.36475480511080155,,0.1924217652297407,0.0,,,,4.27333807597559,,5.232746447804074,,6.631959052017589
45,2025-02-15,,0.2559139401639622,0.5080511436478773,0.2564664461566769,0.0,0.234132481269954,0.1096549334864809,4.320642762746935,3.7462458184659044,,5.01947379759555,,6.251305018837616
46,2025-02-16,0.06776679386877524,0.3580856478524941,0.3588981015337583,0.3720311565662845,0.0,0.018697260836412294,0.17392265878369778,4.300660592393348,3.8353730647600024,,6.1023113061786365,,
47,2025-02-17,0.16468061907672243,0.35870700374865194,0.37125485478417336,0.329267129248763,0.09099128697401726,0.0,0.004240804701040879,4.484238236630629,,,5.222901486131353,,5.736454854939489
48,2025-02-18,0.1379186803318153,0.43873707236856985,0.16299755689743825,,0.24112136124406053,0.06562142359952094,0.0,,4.199904145593951,,4.941097983165636,,6.305740599945299
49,2025-02-19,0.14079998018299747,0.5521819671763326,0.16129006948294217,0.2799035477669435,0.11715316258418411,0.0,0.07257634732949904,,4.770783159652671,,3.998840307343659,3.774777829637354,6.110349578473499
50,2025-02-20,0.23365123145841155,0.5128133950851793,,0.22490877903975565,0.2203280015293412,,0.17222324047251675,,,2.420597487443352,3.296299097842992,2.7622084956284456,
51,2025-02-21,0.1670747812800491,0.4952760332508285,,0.036173042402021766,0.36196733810766696,0.014226182212192767,0.12978972905339864,,3.715189595690144,,,2.060563908398159,4.814056261226222
52,2025-02-22,0.167395145771339,0.5181339688590021,,,,0.06437654919747766,0.22168895593139254,2.9014143292559793,3.1948734879506904,3.316306472950097,3.066214189122158,2.840117497061133,
53,2025-02-23,0.09577808065974594,0.5969356346120473,,0.20634341901229486,0.2880919279149263,0.06695434710954479,0.14384692680257105,,2.9335985179246813,3.2626541143011254,3.763781404669789,3.439278710878511,
54,2025-02-24,0.26463912501165154,0.44241663596023895,,,0.3302084972489031,0.0,0.22450565693096364,4.035123298526078,2.9492388027440652,3.6177361171385787,4.531759814454687,3.427300634074614,
55,2025-02-25,0.2649600430706593,0.4932707957332806,,0.002430969840235775,0.4119338482724889,0.03576926739646788,0.1636890551685377,3.861027153231983,2.6623918554359123,4.005995336701172,5.688368003796354,,7.321013040948858
56,2025-02-26,0.23019649225611571,0.5509294541704856,0.06802626317759057,0.08750248403853396,0.449956987083081,0.10790858297718828,0.20736634943938437,3.7302704918411234,3.081536905427218,3.9015209104191486,5.1057589923827384,3.541654581385413,7.5492328926735315
57,2025-02-27,0.20194969485700773,0.40405667851262533,0.20462582827005876,0.08053142919735472,0.45918647311630006,0.0,0.13050210911284832,3.427020511290678,2.628481977199088,3.5504540497501766,5.076725842266259,,6.765135342845415
58,2025-02-28,0.3597974529132101,0.4640391887584207,,0.13662653379031198,0.3853713315498855,0.0,0.07799439054089306,3.2536219818040877,,3.116075160197405,4.468664942974602,4.023229354666511,
59,2025-03-01,0.315064888610489,0.48223137570655145,0.576438265252634,0.10088993379252115,0.18477459415635394,0.0,0.013550007432903383,2.1799987041151763,3.098842247448729,2.129304922302844,3.1471107357323715,,6.773067226161311
60,2025-03-02,0.2531890593057159,0.3936753427695814,0.5692730795449374,,0.010235828530184954,0.0159390973176046,0.10942465912084587,1.207355130566252,2.309580344231102,2.5983927835298832,3.674080873692551,,5.981922243928331
61,2025-03-03,0.16609426752147016,0.4002565526872463,0.3662558979014018,0.13200996317754554,0.0,0.026504290303585976,0.3216715665396176,3.0036488784108872,2.2118873323033394,3.114992200409745,3.8731539517584364,4.8272602067134,
62,2025-03-04,0.24597923766127947,0.43082006788825034,0.3874186186734214,0.10980221043901112,0.0,0.05933287919378752,0.4468194048412313,,,3.8972843832396347,3.8920926331826795,4.825184386434293,5.761959856191999
63,2025-03-05,0.25589854115412936,,0.6235523130211658,0.05816729718701236,0.04520123580855302,0.13328539964504627,0.46553019623135417,,2.6613549286519667,4.2011482159817755,,4.9825623270310935,4.661228293883849
64,2025-03-06,0.27330219792865174,0.42937178266242093,0.7244413167610325,0.01068839073942561,0.10838416132227562,0.25744320156080114,0.3317321613098543,2.9130613612951857,2.161544212567584,,2.9683992189875017,,
65,2025-03-07,0.2516351156309357,0.36185730802652943,0.5328206263387314,0.0,0.0038327738268790768,0.2674559859365738,0.31421284191936244,3.1296362727959397,2.6222503410578306,3.57809751813781,2.060769662986629,,4.494033167764953
66,2025-03-08,0.2855511796515377,0.5211746432981892,0.4093622832585535,0.08829825998957926,0.0,0.17061819234336636,0.2425907814652674,4.077088169072914,2.8333142911850224,2.923120669090281,3.506267994188359,3.280797300526114,4.782310621342981
67,2025-03-09,0.18714418769846944,,0.44255112231604593,0.07010674689411248,0.0,,0.42717539363778606,4.404955650976128,1.9653284485718125,2.5353664554195405,3.1902096614124655,3.599809379561689,5.887021293155508
68,2025-03-10,0.11514835349259336,0.5614118354780111,0.4115769617427076,0.11597022892174152,0.03002943944921184,0.06339727270826749,0.5064970567338513,4.91215976140529,1.9671591093046847,3.1695190445772816,,3.508525004466831,5.289660248021863
69,2025-03-11,0.14407446060915646,0.6324669229394639,0.3592750479112868,0.0,0.09460896053500598,0.1490730711059513,0.5184953974767275,5.5770101888007675,2.091458697441863,4.418823917408004,3.359153660599356,,4.543485426955562
70,2025-03-12,0.0,0.6707935070598197,0.510750221743739,0.08595857626873138,0.19717297161726027,0.16036540477522776,0.4684552073251382,5.213428345808707,,5.199544627827239,3.3522362831201935,4.590981908985835,4.3971285780713325
71,2025-03-13,0.0,0.5983912481309819,0.6447557654688734,0.06970014062341254,0.48457864772875336,0.24679083371519173,0.3961538657483186,5.264245999956467,,5.374596243273852,3.257206874873685,3.905082176983941,5.331001666528131
72,2025-03-14,0.0,0.6825173019915359,0.47182783070183376,0.0,0.3936525184484274,0.1647813399153729,0.22277921731012398,4.90215055501306,2.1310369871467496,4.619352366683037,3.822843442101873,,4.3919672074362195
73,2025-03-15,0.019448177989193835,0.6575006520097626,0.4581053841447593,0.0,0.37806919395168714,0.13953683338304065,0.42340736734794504,5.154683753280448,1.9350127823032492,5.110994347078447,4.649467405467254,4.741843291033622,4.620843570945238
74,2025-03-16,0.013709994418657796,,0.5291265494059315,0.02921106358909957,0.43495675939504413,0.14156806392178758,0.2665418753958433,4.945646550153775,2.601818836304712,5.2479806453603315,4.726861235079061,4.796762761987242,3.6604123455721345
75,2025-03-17,,0.47226641858714635,0.3793789414143403,,0.3545521892068498,0.14198153275166986,0.24415764867394263,5.5281112964679044,2.176150499194597,4.857384797095148,5.081053070267634,4.585913474097064,3.2121713050852296
76,2025-03-18,0.0240389914227924,0.5635637563104424,0.4462678731076276,0.07550733786866737,0.09441964181487647,0.0,0.3058781478348231,5.278216163392321,3.2121404724330214,5.214131481646078,4.491494814685534,3.936613956671465,3.3044848270350364
77,2025-03-19,0.19645465482070407,0.506701895626663,0.4027776014582157,0.18588344843575852,0.17348267153851282,,0.2720214025951478,5.723734085915572,3.4363611324721854,5.19565529660873,4.465245617362915,3.783587206160146,3.8517955110134583
78,2025-03-20,0.27282761305424424,0.4510441185791572,0.35501801726632864,0.30952742752751167,0.17205198684517878,,,5.094789462015033,4.426824868987715,4.649426462001215,,3.667845005781204,4.031301396640593
79,2025-03-21,0.40707095623223966,0.39727439020840516,0.3050745546506488,0.28863619930663426,0.10636058183797086,,0.3544735518359659,5.498496433555231,3.795786838349199,4.709172122471792,4.129611292894787,3.7389583208208323,3.871311444288613
80,2025-03-22,0.3824448515359625,,0.4288023310387274,0.20442907050534848,0.3387955819578288,,0.38185353727763277,5.404092687213905,3.322779608238263,4.27534353320262,3.6721270858128685,3.626822846691527,4.537068945452679
81,2025-03-23,0.4171699596432944,0.23975209863350233,0.37071356855631105,0.127997108493492,0.35600720465978286,0.28356063263600495,0.40341683198722955,5.05511212907395,3.4919601283347945,,,3.7607759587312812,4.771410644841037
82,2025-03-24,0.5840635649168348,0.35433404684017356,,0.01922948817041402,0.31674648893918905,0.2370374145637234,0.45170279594562857,5.236131300655441,2.9094478124642977,4.112546091513705,4.510410805041291,3.1296060768080327,5.38570599357977
83,2025-03-25,0.5430690050461979,0.39400982827722286,0.5161211880371694,0.0,0.2042428566771405,0.32686501679367275,0.3265989632720748,4.906601407391896,2.838104425489152,3.3197476527746645,4.402389695265862,3.0536472281455582,4.356719510473353
84,2025-03-26,0.39911135901366784,0.3453977077132831,0.414071400607235,0.0,0.33069296645650936,0.07105079590806995,0.15112634576319622,4.816470429339699,3.2447384082827164,2.4325246068174398,4.176287475556546,2.8965749494449766,4.143053793572594
85,2025-03-27,0.5859048903416985,0.39857708997152413,0.3908826647129986,0.0,0.32649576275760156,0.11066186816096221,0.2326977148951627,4.61992974764398,2.7156474519486733,2.2335072322342504,3.5566801494258224,3.8595163865656676,
86,2025-03-28,0.5433218229196936,,0.4209843210881322,,0.4753891751726971,0.0736733310890256,0.28802987238548916,3.983185177942536,3.074606501430971,3.1400234416622723,3.1513597947903684,3.6104419193424913,2.770962963225703
87,2025-03-29,0.47749175372538216,0.38978795219153334,0.42744514882826606,,0.38567808551385874,0.0,0.2700701460065748,3.6001272934265236,3.2674380846320905,3.905478979411591,4.139434755685841,3.803391498754189,1.7644928309713002
88,2025-03-30,0.4695540852895206,0.43198451250031444,0.4145013227679167,,0.48609494867616077,0.004436662293833816,0.16869581445365528,3.1256439101420654,,4.415958980683901,4.819644487150448,4.108970385049449,1.3202172578998241
89,2025-03-31,0.41651089006344433,0.4696566677178466,0.3033265534019939,,0.40924542592944335,0.0,0.21614946691833012,3.2854767670654597,2.9411450624928106,4.368225727254283,4.969583696395725,5.2618492663573475,
90,2025-04-01,0.4285569003293193,0.45385757856870873,0.2870063024939138,,0.3931422276011264,0.0,0.22494149050414525,4.667641370321878,3.773687957787356,4.253522499606316,,4.906169561991926,2.1213828358713123
91,2025-04-02,0.3135626987443194,0.5031409184792868,,,0.45357685997689995,0.034036711932386166,0.1524811058759957,4.622666260965437,,,,4.778738179361661,2.543698823983334
92,2025-04-03,0.12653457177824715,0.4073009750427227,0.3501155866121271,,0.3455556544531328,0.08993759621832362,0.21141117577919782,5.1603342634776395,4.046761080778905,3.5780056414595074,,4.520987523767857,
93,2025-04-04,0.2366681722101407,,0.16789861264623662,0.0,0.37021901843011745,0.23800579769074875,0.20453175254404302,5.001051124839927,,3.2230929336005776,,4.607850792929751,2.3962195733943816
94,2025-04-05,0.17634266670619203,0.18623756837485433,0.23900597035078622,0.0,0.33086772045109925,0.24619733661490933,0.22233345575307953,4.560546985865238,3.4424549809308327,3.8959969869866966,,5.1176937804407086,2.0332564309959738
95,2025-04-06,0.1850069581518322,0.19670912112272504,0.3043655850961918,0.0,0.27713593849216667,0.09408171730699302,0.21180277877680845,4.855930138362796,3.5044165535583915,2.8503189754767484,,6.0636661966212975,1.9505394019377358
96,2025-04-07,0.33487004022099365,0.14845989177439178,0.37342540698090976,0.0,0.3387996831218868,0.045749082937081305,0.26615672036979465,4.44263112406562,3.1026060276872904,3.590606003052443,,5.449857161645302,2.723915315624882
97,2025-04-08,0.4209186012551056,0.2571112474366324,0.46126580124023103,0.0,0.3847663890614248,0.12629854373439245,0.24311538766951976,5.375956017157927,2.8217296751383887,3.573118623859911,,5.39201682234348,2.229670327590046
98,2025-04-09,0.39965155838842326,0.1472144589550348,0.3401105273757309,0.0,0.44340244362683434,0.1883335884900443,0.2752183699872053,6.023547184930572,3.2917035225809625,,,5.248731194581684,2.672257227323498
99,2025-04-10,0.40101966171841147,0.2760278607744584,0.46997467489894035,,0.3937890762948455,,0.30251106246254356,5.811406802209518,2.469262747038828,3.081597089193818,,4.443312744156362,2.929874753520979
100,2025-04-11,0.21351476578952427,0.33363111054835015,0.47479917682701195,0.0,0.35168581320829884,0.07819094555545192,0.31094918264759713,6.0102993179138595,2.251638515057984,4.069732659306903,4.7474094107787765,4.363235544038594,2.1766038622355817
101,2025-04-12,0.16638057625852026,0.44992870166094,0.47332724595803355,0.0,0.015055395291128038,,0.38888673165101995,4.972253937848288,1.9110858869271181,4.4478884323728085,4.0162401246474495,,2.1440764610606027
102,2025-04-13,,0.3577292709167912,,0.0,0.12018119738764546,0.23479477215749436,0.4319847844765107,4.673599128066274,2.927544692969753,4.581568637341855,4.063751366547176,3.1659892526522677,1.448683186809514
103,2025-04-14,0.11736924688711976,,0.467367932941634,0.0,0.07122545189993568,0.22289647005902308,0.432706890931962,4.03757322243592,2.6200601912832346,4.746548589409151,4.678299124924064,3.453361230091012,
104,2025-04-15,0.08231127455011612,,0.4330445347270911,0.0,0.08704066135693905,0.25248433963613715,0.5236562032281917,4.092727486292981,2.2918195273038355,5.290631654407388,4.433699057031951,3.1172326841722287,3.1821350566159343
105,2025-04-16,0.12423806474069791,0.4577037791584867,0.5442485264864417,0.0,0.07290705541952333,0.13394868423806422,0.532803483381503,,2.74475218274075,4.693277954616469,4.303422668044289,3.5969806502698454,3.6090889366376744
106,2025-04-17,0.2214877762701216,0.5185950582820337,0.6485056812163583,0.0,0.021439977385053183,0.29293187894404893,0.6124405191185255,4.418491767614658,2.5904052471859447,4.712878368796409,4.552036367935534,3.459939548464864,3.93208084878689
107,2025-04-18,0.2168200151193232,0.613290189913809,0.5433210145561284,0.0,0.05960935403118708,0.42613414449532094,0.5327636883703788,4.50528000321454,2.6089599772157013,4.52393006721387,4.334914097020735,3.1605480063907923,3.60557796045396
108,2025-04-19,0.30012021511547626,,0.668994083771509,0.0,0.2171261558067327,0.4566923220430937,0.7671727578879113,4.675048557115596,,4.348543311061795,3.905530253524727,3.7525119645344924,3.731322847968982
109,2025-04-20,0.4309124214754629,,0.6505383945329449,0.0,,0.4795596667719845,0.7913312634683326,5.618956703267433,,4.48037604248392,4.597288832907434,3.9411788206182976,3.7337523225517097
110,2025-04-21,0.3097876731163292,,0.7579904546766911,0.0,0.14998800827211162,,0.6328394891567741,5.453157798881804,,5.998724290001887,,3.7989716979782067,2.8797032314756423
111,2025-04-22,0.38576234013763655,0.5704124143468265,0.6707071533684077,0.22206020866422763,0.11011313648312891,0.5101470370442953,0.6434777464067574,5.699610700254448,,,,5.321422263506786,
112,2025-04-23,0.3692842760883895,0.5578857573808527,0.7537433542099607,0.28730183978473767,0.34609623062774325,0.5522221513911617,,,3.4621505932464913,4.94729924225716,6.380788628874446,5.963406233869483,3.2964552901799093
113,2025-04-24,0.702792696529708,,0.649502533517371,0.3694491841546855,0.5490069062935378,0.3862121906262661,0.997669678338666,6.755190883181267,2.9756807845468307,3.637957669031417,,5.437111099670892,
114,2025-04-25,0.5643310305432038,0.6150718803011413,0.6080515203908616,0.2888219921818331,0.5202792783822741,0.16162781357468042,0.9587467975287239,,2.2608493039056348,3.6766890966954118,4.95864111490697,,3.4461357029838005
115,2025-04-26,0.5465514506506418,,0.6368598381927587,0.29683834493966604,0.5064152738740305,0.16514204514283481,0.831380006892666,5.258733795560871,2.0262691226819496,4.1420904369084575,5.446917496499411,,3.6302193648932994
116,2025-04-27,0.675405096463402,0.7489868138729554,0.7445967481659929,0.34191870623859444,0.5952398841167749,0.5478264683176883,0.69943878917322,4.9387312944153035,1.908426502122381,,4.857181822104172,2.996352702193863,3.0146312413895946
117,2025-04-28,0.5929421535646054,0.7200977765666048,,0.4411862176149143,0.5600337499281819,,0.9054470412177821,4.291885965565501,1.7643864140439256,4.866825851395171,4.981209529782284,,3.9339858936006236
118,2025-04-29,,0.6756472024960667,0.8172874575822369,0.14752954800140838,0.5341972586531173,0.3404514789959637,0.7759493100244569,4.315264839246333,0.0,4.899337772140165,5.453195929011452,3.1719754602908607,3.716545536072699
119,2025-04-30,0.6483119511647364,0.6122345095754028,0.8653909925676588,0.14687433124744115,0.43559371117502277,,0.7380860855938839,4.331609963157422,1.6262991911485554,3.8008464523910797,5.5941879791158895,2.5545699803330653,2.7598715606241915
120,2025-05-01,0.5904016103333976,0.9672435509669461,0.7795724362422519,0.18128366789255212,0.5089622856582874,0.22749011784535908,0.8539907692535194,3.57183970137537,,3.724484941741398,4.426723016711489,3.220339809303651,3.3117730667682648
121,2025-05-02,,0.9587651707751084,,0.15652744143354622,0.23791769144434294,0.4999250626617502,,2.9174910264543827,3.555372165656509,4.320334225171804,3.437292029448118,,5.359232741227723
122,2025-05-03,,,0.9836445906226332,0.08356325550498676,0.25090231935019613,,0.9218775401256853,3.608934829964348,,4.533743026644526,2.8060940230872657,3.0937689055539135,5.355951388759717
123,2025-05-04,0.4193604797326494,0.9222031560584386,0.7181070719020917,0.30547538530392127,0.09775160501628807,0.49630326373868655,1.0,4.887929354216466,3.7758055102289276,,1.8760249798672775,,5.0923809150343295
124,2025-05-05,0.22199171835404333,1.0,0.6313466150373547,0.28032355643849244,0.43165916389887315,0.34859845442110715,,4.5945570218322676,4.74635693108063,3.7778379403985642,2.9493615191875047,,
125,2025-05-06,0.24914945646480424,0.9592529010750082,0.4012618335270458,0.37202878962593394,,0.5042858989699666,1.0,5.917397368972647,4.024322673532065,,2.8242079572637713,1.3112210828650805,4.803974466423462
126,2025-05-07,0.30391339503026343,,0.31142520798732787,0.2766508324549998,0.8074365021142531,0.592615151288235,0.7541126551927277,5.304099221115581,2.750390954338903,4.791871060940994,,,
127,2025-05-08,0.33317951556607306,0.8263411256361511,0.35316069405706485,0.44448899483960724,0.8861118975724235,0.6729314799806648,0.7578851010184988,4.757913734657651,2.049297653132641,4.4886628630448655,,1.5616436947804577,
128,2025-05-09,0.11932741530791272,0.6295140498786507,0.6055487248861774,0.46424654258043474,0.8299018967743793,0.540658127669607,0.7445604382403083,4.705993160153255,,3.5878448761150254,2.2711867265025063,2.155271126742217,
129,2025-05-10,0.3257616971424946,0.730221659093974,1.0,0.5378232547863372,0.7118947946857617,0.6032429508316011,0.7017294959202826,4.670978834099968,,,1.6621666193314977,3.5221708286848914,5.839105642837172
130,2025-05-11,0.23132470350408835,0.6544506438451999,1.0,0.6029740273247344,0.7291846301148482,,0.6934688487608617,,,2.614575208901194,,3.0245961036457545,5.427716386726581
131,2025-05-12,0.1302020650737768,0.6921685292982934,1.0,0.7024984989748861,0.6567269028684369,0.8094333194057093,,,,,2.9393313028216004,3.1730558534617805,4.936994317390614
132,2025-05-13,0.1551856725940809,0.5911167946514615,0.7727732873593991,0.6767288039935829,0.566966132082834,0.6621878623378674,,4.044114886690905,,1.125048802538153,1.3173500498226287,,4.433579458070092
