t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05,C06,C07,C08
11,2025-01-12,0.3964492191343503,0.0,,0.19748626794759472,0.21384973139983748,0.26909587381098143,0.10360348792425006,2.0854978024491726,4.02582886353497,1.9873680484935186,2.4567773741118746,,4.8431467361742495,4.609776687950615,3.3746880190719923
12,2025-01-13,0.3877568760039083,0.0,0.0683266161328264,0.26305508365576635,0.11104849651254053,0.2794819089561943,0.023093599746409274,2.977941263169834,3.8471153072840694,2.8387577441111853,2.2510072930446925,,3.8376963990582063,4.659270940087509,4.177422822673049
13,2025-01-14,0.5275083127389693,0.0,0.0,,0.07325034272813324,0.2122061780678351,0.0031646134178965717,3.8909926993418944,,3.069716208081841,2.540616954515296,,4.079260925405356,4.724392600167624,3.504589490750295
14,2025-01-15,,0.0,0.0,0.3712764290744854,0.031920637283639496,0.25887106521036274,0.09170494310248611,3.321297485944648,4.798644169750923,2.403102402241778,3.0263490079953215,,3.7174443514511903,5.00875657074111,2.7428546726591048
15,2025-01-16,0.5682790381939199,0.037208597093846794,,,0.11464006358833777,0.42230090441722223,0.08037686442155169,2.8527829717435353,4.370809481742898,2.4976570428698457,2.3558699158949072,6.351544900928744,,4.541807992027898,3.0664204157514154
16,2025-01-17,0.5612832641678619,0.05188461433012093,0.0,0.38641675216082105,0.1148564393406605,0.3551079860577081,0.24491654990301437,3.135750261876231,4.649246487786089,2.800768332310671,1.796795214909428,7.200683305384353,2.8446049211842146,4.189749928280899,3.4181803280687957
17,2025-01-18,0.539011274293616,0.22492300573244756,0.0,,0.10825870933994622,0.4008650360434697,0.29570570997370116,,,3.5903407987196485,1.6179187174811838,6.4432819507179016,2.913569716918423,3.498969653613236,3.725152784771251
18,2025-01-19,,0.22069230535939455,0.0,0.43801059330136577,0.04394145108235772,0.20461020328029683,0.22298803257896316,3.5375080813007194,4.764783736315486,3.9018399924749385,1.5271861556042692,,2.732670485157518,3.1454555732049605,4.132703139636302
19,2025-01-20,0.5120585036908489,0.20888695405944335,0.0,0.5438500183768599,0.06723378785252523,0.19615891259459536,0.3827084493770326,3.4314110612361417,5.4388726402692456,4.309896218631408,1.8488452906901958,,2.701000968279676,2.751119633259375,
20,2025-01-21,0.4767528810698097,0.09062825851979936,0.004937242796503108,0.5251999587203218,0.0,0.11446650714233454,0.29053447733784254,3.1933763598337985,,4.6243286487815265,1.5029023584846075,6.611820616281773,2.541211044124351,2.1560194049982204,4.204521466286894
21,2025-01-22,0.3884753300483441,0.09677454762652796,0.046633523554041,0.5372121568945829,0.0,0.13896944593973762,0.3421600756634562,3.8164045496179573,6.2947939210897355,4.506266364359605,1.5082355836053623,7.179374570516016,,2.0205313411604133,
22,2025-01-23,0.3677779812382057,0.17053226643079467,0.12487336610128602,0.5250367265515158,0.0,0.2476702673279338,0.19275999842341446,3.789892743363897,,4.392954035139002,2.452033558984867,,3.179511366013513,,3.357952616757305
23,2025-01-24,0.24048492440886535,0.106744080473594,0.11468734687522783,0.5126495552766825,0.0,0.1754327033927464,0.2566510033468194,,,3.9172033723402127,,6.397517454200142,2.3500165271821234,2.9089349072622674,
24,2025-01-25,0.19085433295306894,0.0,0.05889902579822434,0.5037319809997157,0.0,0.14418787566848434,0.26217397103199985,1.7551947813355926,,3.879574415156889,,6.223914471106497,,2.2161654818099126,1.82192949179366
25,2025-01-26,0.23451057148420107,0.05111657337231208,0.0988814328640178,0.465504024239408,0.06651420003263024,0.04131271379604859,0.19943924876346994,2.491300868789722,,3.3411825491311964,2.0862145019462357,6.509662224174407,2.230816471486219,1.9366970286054372,2.535843199538391
26,2025-01-27,0.3665389111738058,,0.00117781018613837,0.3710747695510947,0.04134080089665112,0.19078232027728678,0.23433330607765007,2.249102225441529,,4.714370192778478,,6.641748318072097,1.9645774327457755,1.1705396802247616,2.9005879755340187
27,2025-01-28,0.28823101448957733,0.0,0.04237009841099758,0.40923242705159407,0.08934275115084789,0.1482243590614283,0.2380783408107443,,,4.057016094246683,2.140033951668569,6.931161621312651,2.077018820298234,1.4081425787543567,3.1136940139120663
28,2025-01-29,0.3161510950103068,0.0,0.0,0.41925123530255465,,0.16845352582333786,0.22754421209070977,2.707202998900104,,4.737090986606158,,,1.992580375997195,1.7339206377731708,3.1609232837505346
29,2025-01-30,,0.0,0.006941740739766847,0.5554253622897017,0.00970736759485543,0.027503944639809624,0.18930688234329376,3.1341017995195806,,4.366646772780115,2.496890707840165,,1.8427297160197103,1.7178919261066246,3.5410333383084636
30,2025-01-31,0.3986304646136535,0.0,0.05039934913363964,0.49734251608372937,0.11242754775677759,0.1898915099345193,0.0,4.3699463757133845,,4.974400426462074,1.7777509096399216,6.121253579505742,,,2.42560996734454
31,2025-02-01,0.33687820928619294,0.0,0.0,0.5493620665328908,0.11327767223601938,0.333400163253794,0.0,4.578189982070461,,4.489685304683672,3.2505464388371874,,,3.7230657635238953,2.4709043025826283
32,2025-02-02,0.21239745072437777,0.0,0.0,,,0.2925796748357336,,5.728657940682086,,4.462691321392542,4.041296903855843,5.482466246712285,,4.023694855060292,2.961363266939173
33,2025-02-03,0.0,0.0,0.0,0.321306752486189,0.0,,0.08019256689223034,5.677764093682193,3.499195209836406,5.249513718236594,3.718948682222431,4.388013099785744,,3.874579507846835,
34,2025-02-04,,0.0,0.0,0.3002623086835813,0.07308700174082235,0.08023775219407436,0.021999961574488476,5.525105807911108,2.5851801605991813,5.9443378424297,2.9612837833470866,3.734510683429603,,3.992351314634588,4.113931187765586
35,2025-02-05,0.03484401248557206,0.018977536325102753,0.007648895387984057,0.4158803972618024,,0.11953866005119212,0.0,4.638354071781627,2.1938956632619773,6.193675040908142,2.79270899463098,4.903461657407582,,4.143289440762075,
36,2025-02-06,0.0,0.0,0.034910026621053275,0.3282422482693861,0.13240287826254354,0.1679322214764507,0.12052668009553925,,,7.222690456676844,3.133868221974194,,,4.303744870067394,3.6087430766070954
37,2025-02-07,,0.0,0.3607230148738329,0.33782324296707,0.004393136424267391,0.22000814164933233,0.09712105810214296,,2.0909312735608307,7.230271862859144,,,,4.478839255700626,
38,2025-02-08,0.0,0.0,0.40982755914708185,0.23252460360001764,0.18206516308742532,0.2869371220582114,,3.455976396340855,1.405317146851067,6.112839974091997,3.3820459204521867,4.191456777594651,,5.983082970399883,4.894840932574114
39,2025-02-09,,0.0,0.49603978878826926,,0.2981543091264992,0.19733540812686942,0.20122913313281493,,1.0745763789997032,5.766147445590558,,,2.43396609831705,6.185318944542608,4.749872425437487
40,2025-02-10,0.0,0.0,0.5048605274922756,0.25203708021867083,0.2809573985598548,0.004570711703681757,0.2066167582448617,,,5.045832786174445,3.5667575529502855,3.9036665320372177,2.4671394503370685,5.292314451763979,4.935566692907187
41,2025-02-11,0.0,0.04167865600767426,0.3634568196708605,0.19349464696420676,0.2074113743551988,0.0038921866684229513,0.2840541268773151,4.2883616805031535,0.94719454572609,4.94478875373357,,,2.712479873361013,4.870874717796967,4.3238393916278515
42,2025-02-12,,0.038711954075014515,0.3758611246063099,0.19169419217573666,,0.04907180131020762,0.18362294895965695,4.3181641027555555,0.41481271309488266,4.608489518848147,,4.1939206338070525,2.3469042686121524,,4.359276159603568
43,2025-02-13,,0.0,0.3289039741922879,0.09667487626981455,0.30732259162242914,0.0,0.25039596751650456,3.890317988865253,,4.179827696548839,,,3.2073794038080377,4.332802813272186,3.1823146907734357
44,2025-02-14,,0.05248748095962976,0.4264578736801507,0.24948154265422365,0.19301880668282514,0.0,0.2425109466482846,3.4581419748518223,0.8738692704251564,4.18612036240714,,,,4.455617305957702,3.0538760987175
45,2025-02-15,,0.0,0.2991568919089678,0.055083524702052716,0.06104000717821932,0.0,0.22971957799844905,3.551534687081445,0.8628657898262775,,,5.128358305086952,,,2.39100448372284
46,2025-02-16,,0.07506436423439544,0.15971303156538724,,0.03308931230759275,0.0,0.183539461566802,3.540684318959436,1.7872391813436312,3.5845620627356207,,4.85600583086276,3.7739703537594353,,2.2713942069759456
47,2025-02-17,,0.0,0.28901123059035805,0.0,0.031669412299480025,0.015460536702392218,0.2210915459989417,3.75988667639175,2.0426941034393833,3.1971836796975492,,3.9534791050731073,4.284776015425398,,2.726325509435377
48,2025-02-18,,0.005349420015259874,0.26201906572311423,0.0,0.0,0.0047917578057178715,0.17109810869639747,3.8733294923474086,1.5607101950126832,3.770112553477837,,4.377108074121977,,4.095644518381346,2.384276951457321
49,2025-02-19,,0.0,0.4861523701425428,0.0,,0.0,0.3090371033893438,3.8760196100229676,,2.9260668444250726,,,2.91076377052449,5.131356352505021,
50,2025-02-20,,,0.4108634115191821,,0.0,0.05230235141455751,,,,2.752000510717602,1.7585431369526225,3.4198234787390773,2.7075206867797053,4.801919253982714,3.817662844165151
51,2025-02-21,,0.058415729395262246,0.3067504320224959,0.10717745124075287,,0.19028008316116615,,,0.818961676562899,3.5640139404401916,,,3.4040492844516557,5.128110090949422,3.881880665357009
52,2025-02-22,0.0,0.05441444884020781,0.3215663608394645,0.19457911216807666,,0.21290027887776675,0.21217519171251276,3.966539690363925,0.8453197950602883,3.935521535840207,2.38666711350126,3.5320880135004944,3.1037124991526888,5.000523671806507,5.180054743631411
53,2025-02-23,0.0,0.029510406489258168,0.25928291757248384,,0.0,0.1480732592134994,,,0.5701104669353936,4.395270693947806,2.659410631825092,2.8682995030006566,,4.820024277746749,5.256305544782973
54,2025-02-24,0.04159103529083899,0.04804664971054662,0.13176710738186848,0.48551547330773104,,0.23745814575238566,0.1772166905527517,,0.0,5.2963872812640505,,,4.1757166064505,,5.530910728778435
55,2025-02-25,,0.0,0.00827953829312221,0.5456736256951238,,0.3834269540833011,0.06453423884910466,4.3440960687389225,0.0,5.631717470036172,2.392569460896845,,5.056556944948589,,6.638093399360774
56,2025-02-26,0.0,0.09923663436077086,0.13041751917121508,0.40510022152497505,0.0,,0.22010773737599382,,0.23213883356884357,5.523355675417385,2.363905246179373,,3.3076759585172146,,
57,2025-02-27,,0.10830216561640807,,,0.0,0.2829266839086164,0.45618856563102445,,0.6033579666384902,4.839929498492416,2.2468701386394394,1.7918798922591987,4.367932148323118,,
58,2025-02-28,0.40744946169121765,,,0.20722325276524872,0.0,0.1810905140404658,0.3097791820686189,,0.0,4.583106804941551,1.8478586316147703,,4.895871493918273,,6.287684548677323
59,2025-03-01,0.4026033630242125,0.0,0.372113353456927,0.029225816006136635,,0.09082599643079502,0.37113767523691743,5.277901001783233,0.0,,0.5669439683744781,3.2833028087804683,,4.883180458683885,6.657552165275822
60,2025-03-02,0.5363521812365925,0.09272049766043076,0.3622291457114064,0.0,0.0,0.2661416370362234,0.35443166986795777,,0.0,3.9727885540962995,1.1498420242029823,2.9750332821328653,4.818341910380305,,5.051346413236901
61,2025-03-03,0.34541465871561106,0.10648099687476438,0.3800747337914373,0.0,0.07385063006519496,0.2923680166808543,0.4168719671650414,1.2895305764259741,,3.8210362439995014,0.9933575667905555,2.795504262263147,4.759202199273079,4.775047893200522,4.691975435166081
62,2025-03-04,0.3031689371245774,0.07243380550723581,0.31691124282696803,0.037247230658087535,0.08963879808840386,0.3532797072608251,0.33378432347213066,,0.2967655564555156,4.003815548188352,2.2688740490647867,2.974978975153832,4.423775730676367,5.518319222050377,
63,2025-03-05,0.4679798567554341,0.07593205288564309,0.45551123986872244,,0.0,0.23042815546522663,,4.551739472223623,0.8673269286856304,,,,,4.687655999173313,
64,2025-03-06,0.4737661509494058,0.10603095430269398,0.3155417002144423,0.2873357945123637,0.0,0.23191259068425057,0.25655164371827427,3.5233782775350795,1.504436543082405,4.409078199238216,1.3871065780248752,,5.2575402696108755,4.815906645161623,3.808803118632473
65,2025-03-07,,0.11880651061283781,0.381366281812581,0.3842083809949453,0.06543393346173426,0.29059236172008696,0.21086088270390468,2.841185433179279,1.5758671592814304,3.5829758007976724,,3.764441237291345,,5.208910675733331,2.9870419943560984
66,2025-03-08,0.3463071355978994,0.19053146670181864,,0.3105444990770085,,0.10988469282251648,0.29830644504256576,3.1047884134300956,0.8898541900345988,3.3909346578911808,2.1038155702360046,3.690366323052208,,4.855238397495688,
67,2025-03-09,0.14276936494075756,0.13275508594689708,0.5267094441084025,0.4492296276520242,0.11001627807056531,0.14372580129303314,0.26961063614558556,3.9857488560151846,1.9160068173122329,,,4.145709809103679,5.331401903064871,3.2472075384071477,2.1484150563926367
68,2025-03-10,0.15001865411103918,,0.5000838843724472,0.2827263361339872,,0.1605716689610096,0.14899167613201755,3.7717953085805154,1.2043392770704224,2.9001524753658465,2.2233425347378772,,,5.096943651684234,2.455258232477428
69,2025-03-11,0.061571928159273925,0.07574559063992568,0.47997264629168246,0.19394165163749438,0.3236519309058073,0.0,0.0,3.9803564775342752,1.424237330394226,3.966274405303897,1.8786103375936687,3.8027700518195626,,5.307084410729946,2.4303850349337797
70,2025-03-12,0.09624795320653054,0.16997203689447957,0.379701966176403,0.19528487349914236,0.17923242343158896,0.20739788524496908,0.035345140752474344,,2.482635933241214,4.800666273612059,,3.3968171868160315,5.161280960987855,5.126217467201511,2.8475585331529647
71,2025-03-13,0.1442262566373709,0.04427458641010286,0.3141361689918055,0.05298075110964731,,0.16242904128326544,0.07101358056643153,4.798182525500473,,3.9688910287240686,3.16316597386262,3.691391029075833,5.694803770415529,5.507098443228646,
72,2025-03-14,0.2727954570521426,0.24428241352873736,0.3759399297195377,0.16408447699414092,0.33453398879642393,0.2142971458393566,0.19848345612028642,4.146073351043759,2.573586921509608,4.0409904517936885,3.1218904798391534,4.3346379773118,6.139073702363082,,3.0263300413835585
73,2025-03-15,0.15587475065963508,0.29548258486173495,0.13143346380424534,0.20302747415116595,0.3868160284654297,0.20764828213427805,0.2163358292705375,4.244190397245348,2.2954886065473668,4.414335501744464,3.2859225564265766,3.8109514631211034,5.9182309043859345,5.571297829383714,3.3202433617123646
74,2025-03-16,0.1398485938976582,,0.11141686352325439,0.20152407846346676,0.3873939721328356,0.18896299270583133,0.24042280443176467,5.022460792198274,2.8121803571651993,5.4961615211060675,,3.7706486223249907,5.880359774313433,,3.335615118578792
75,2025-03-17,0.10083769291624489,0.31172967623282927,0.10261880013916552,0.3053206747095766,0.28485605806913905,0.05981329953920565,0.24729267153577372,,3.547706473761621,5.212992342749557,3.6653277027120557,,4.177930354146598,4.405102875553413,4.235392384485224
76,2025-03-18,0.10955805274364283,0.40836695387115235,0.08608899913770217,,0.2919179851886313,0.25054934502500664,0.13919875680347382,6.55538190271875,3.2549307462570076,5.861811369648433,4.5736284529778555,,4.0243487136447476,5.251082921752243,4.724500558312771
77,2025-03-19,0.22280319688604266,0.3230494106074569,0.1310066348331701,0.38315131825853366,0.18900751908268673,0.2028363555699157,0.08376266636416076,,3.1424858655700567,6.036467560956283,5.493087726966015,5.021757070198197,3.967503560413633,4.999128761430902,3.8822687095425708
78,2025-03-20,0.4737731549900635,0.24213059242630114,0.050364721662855806,0.6170436464231812,0.2527081887809331,0.19829564565726962,0.09617001528318228,4.67988466414135,,5.500278546405347,6.355934756627253,4.644540572432729,,5.330571359197529,
79,2025-03-21,0.4960488328240113,0.34416523599647164,0.262489310186328,0.5858873168796773,0.24422394761244398,0.15704473029630894,0.16034829914790874,5.104117566004746,3.097790105408126,4.934465935625854,6.891415990160198,,4.046720433688331,3.9386308449402168,
80,2025-03-22,0.3604461450077191,0.3342545681099604,0.1616124923114879,0.529308163248644,0.15557389765993204,0.11700314592966507,0.2166845151069187,,,5.013563951660029,7.044413919250854,4.290730526333135,3.8485472149366404,3.14533125033529,5.639435101375856
81,2025-03-23,0.35307782153784417,0.17112267333012593,0.08467645046179774,0.5161429026243421,0.004300512025183639,0.19754059039930713,0.1897622647564069,6.20316480151345,3.931388793348839,4.9649823726845534,6.517830967026835,3.970091351584212,3.7572748585512175,4.455354161576056,5.480341923272692
82,2025-03-24,0.259366336731298,0.13230322678412876,0.11551424295295815,0.4885683173527729,0.0,0.08054108606918567,0.15061943619284898,6.360933385355162,3.467432915402875,4.385123438121892,,4.083011296080829,3.4142938825474713,,5.656578541387602
83,2025-03-25,,0.12085898219452375,0.04684358332532784,0.49329773333455096,,0.09954786385939751,0.11954488663527546,5.931156593010559,2.7130112172732623,4.906360866542424,6.651657804662099,4.644896607273431,3.681695026464719,5.4201528886413035,5.2083802396201095
84,2025-03-26,0.49776388483148243,0.23617146948668444,0.057112481247054064,0.5007380778202684,0.0,0.1764273288367056,0.13226589890378876,5.5500468432251315,2.548961242570834,3.992707942331323,7.212212441571249,4.690748090378415,3.8301608299497545,5.278238770890374,5.437636639655327
85,2025-03-27,0.47317496606017595,0.24539986395486196,0.08707437066571974,,0.0,,,6.343199715809054,2.4878992233417963,4.192596144424827,6.256287541927622,4.802722354159996,3.3792887221062466,5.545189324606391,5.856569149010647
86,2025-03-28,0.4403183812699243,0.22405921954658106,0.021728481188542578,,0.0,0.28737974039253816,0.17875421668013147,5.811639993221774,2.7878876838346853,3.993546767038072,5.144631778337114,4.152284296314181,4.1893596470113845,5.782607527765008,5.4464253196751935
87,2025-03-29,0.42230002540582584,0.1627662464844749,0.0008244464019608183,,,0.3342034198935586,0.24239309592278468,4.6331203032504975,3.0382656170384585,4.066321352676829,4.7571325077675715,3.874106534857212,,,4.616111459290713
88,2025-03-30,0.3966306387888354,,0.0,,0.16947649213565433,0.42878446207072607,0.12627703205724927,,3.005214002558577,,4.951165628606566,4.069195667206424,,,4.743208731150096
89,2025-03-31,0.41576792010021363,0.191418219744394,0.0,,0.21422804556954714,0.4547718651272153,0.12442109284108417,4.145047311244602,3.4828630643677934,3.7195849642208865,5.811131838314827,4.678692597709496,3.0321243027773495,,3.988463423415789
90,2025-04-01,0.42663622675799634,0.19983206129429104,0.0,,,0.3248533074423319,0.0751479598760417,4.144871133969338,2.3968889336983095,,,,2.7791033668343847,,3.4177718834886934
91,2025-04-02,0.44277827695646793,0.2941594624639379,0.17119378019871853,,,0.21484908364570063,0.0,,2.258623366740524,3.6161784525075076,5.428627549669627,4.9543284268235785,3.228334925320653,,3.834714827608802
92,2025-04-03,0.6613033138037243,,0.09460602171549082,,0.24189781101415403,0.1713662878674069,,4.306070346350353,,4.0882463485262885,5.627248067438281,,,,
93,2025-04-04,0.5604312106173905,0.47756631784490805,0.11816142167735559,,0.04257616181354697,0.37061510979138756,0.2790861163102422,,,3.5699561068713312,,,,,3.818630859788378
94,2025-04-05,,0.33623225528455375,0.3212286942287288,,0.10296092986128953,,0.393149214329121,4.424237257223597,2.9291895083939323,4.671271726879436,6.234830809188707,,3.5127183625561895,2.447393676943565,3.3279358273378516
95,2025-04-06,0.3736367096146665,0.37586245887383063,0.15490818055400124,,0.36541715977599387,0.07563206537207301,0.3394595656538057,4.6964585533432,,4.861438912962257,6.628700016823047,2.744138338338717,2.8831768177047508,2.785429192793749,
96,2025-04-07,0.1793952568676843,0.2177084856252245,0.132395361503373,0.3880707630112617,0.47971037357430646,0.0,0.34359636520141484,,4.0637033032667444,5.790942825047868,6.757100206955563,3.719566431345859,,,3.6638718269634842
97,2025-04-08,0.3208366526546703,0.24034356957121622,0.37673031152256464,0.5606973781282736,0.36212713320760404,,0.34424040842621795,5.8927618185522235,,5.470151250004206,6.1335109624685025,,4.563374484307256,4.619249976711089,4.804887629504878
98,2025-04-09,0.23175940913948498,0.20530399994858145,0.20809948310679371,,0.42629426385656183,0.0,0.46578293803964865,6.400820379452076,,4.991935932275007,5.2854115783766025,4.025689772430474,3.561457278834858,4.496756500731171,
99,2025-04-10,0.3137910380733989,0.202120807180796,0.27253214712228063,0.7100902813737063,,0.22609995891067874,0.5048933225722205,,4.381893848475612,5.734365878245619,5.470919365789531,,3.1139653545631485,4.19573754756236,
100,2025-04-11,0.3050864027082303,0.17315586086115978,,0.555616876556918,,0.17391129020910928,0.4094558790763505,,,4.68034008919742,,,,3.3134577332497326,
101,2025-04-12,0.25973140090735686,0.15638741367536357,0.20503294152177237,0.34053989529664913,,0.2759584428596794,0.3070977515436757,5.074498043024468,4.323763048458103,3.450858558588396,5.375247001478084,3.277344297040364,,,2.979578469890445
102,2025-04-13,0.39020519901408235,0.19367475246284016,0.15315228567368153,0.2956757968784373,,0.33919432734125,0.43211010141033235,4.739403303566655,5.184534073803663,3.5429617216920457,5.78856455395665,3.3008767021114127,3.5490996152248973,4.042324590703764,
103,2025-04-14,0.4835032707430963,,0.2180666343651126,0.36141830046513634,0.507424656294471,0.29101022621131534,0.3251200380346152,,5.897019847072348,3.2604650179078254,,,2.6025837296141088,5.1823430550998,2.540574308789914
104,2025-04-15,0.4383237896527513,0.22690155671678458,0.29093988344895577,0.21036586486899966,,0.4603329458410904,0.4187538056143989,5.229004310970538,,3.8862446375965214,4.807499281533607,2.7652777753788516,3.7507148931523644,3.701452889165882,0.0
105,2025-04-16,,0.02630561097505671,,0.5567319371037603,0.5211209057721635,0.2988033992906023,0.5909835292916066,,4.8630443786613045,,,,,,3.948675963798025
106,2025-04-17,0.4648238916354671,0.036155729929681864,,0.6520910314158428,0.590810677439363,0.20870268921261495,0.6671710375613464,5.881522230891776,4.722356753165526,3.1540039109405753,3.6904017887936407,3.9004374321456776,,,3.7232105187927287
107,2025-04-18,0.4051737647007323,,,0.7226703777986511,0.514855223844276,0.25873719037112086,,,,2.8932820902693717,3.5881839232470414,3.7937441562166807,4.555223629991787,3.1007808861998285,
108,2025-04-19,0.46482454920031624,0.0,,0.731231637684884,0.4509772062055229,0.4005192234229803,0.7619909583132263,,,2.482668253484172,,4.192754319082632,3.547355795078748,,3.284773837865121
109,2025-04-20,0.38012942792952914,0.169539748062702,,0.667868418606769,0.36002380191368394,0.35795688713102486,0.6690003477072823,4.058476321909525,,3.7866059659796028,4.307487116453201,3.796357078728608,,,3.120253463194972
110,2025-04-21,0.4499096806429127,0.20551299581838084,,0.6805280319719761,0.1480380330444803,0.35130518862485544,0.5062822696501,4.002913605146868,4.163595148166981,4.263663639182331,5.242752895649822,,,4.344658886994668,2.9919772616172153
111,2025-04-22,0.46653420410101737,0.3879673274524778,,0.9470109676861401,0.24280086697304104,0.29273937934251765,0.5877670656787118,3.840387216568182,4.077005024152274,,3.718517324240881,,,4.483915864928562,2.9056588004443293
112,2025-04-23,,0.41956642315840253,,0.8873818458602212,0.4912806326283532,0.34123490204624113,0.5115858354288876,3.359182020465206,4.791272728888829,4.3859272360974755,3.4158023110709776,,,,3.5966197077623514
113,2025-04-24,0.4391490487598677,0.6624748427493444,0.4667735346543561,0.8140203870004963,0.4533886716509477,0.3390477994489578,0.6125884447343222,,4.80003746651136,,3.80825946290682,,4.38416367741229,1.9627194581047813,3.686052184775402
114,2025-04-25,0.5132469476164313,0.6816868162546532,0.32245085099843923,0.7779884335364232,,0.41942738687856357,0.6554070093303168,2.32680824802446,6.018911295092511,3.5398846910138078,,,,2.5231892650762275,
115,2025-04-26,0.604887690756803,0.6376736952826431,,0.7327963726941062,0.40361098980421095,0.48590696802835825,0.7018869345602303,,5.982712662195031,1.8571555046826276,,,4.54861084381027,3.07214946622528,
116,2025-04-27,0.5089709143544314,0.43998926350890555,,0.6955767201851455,0.4522605569444163,,0.38728062763076077,1.1749886425232157,,1.7962423200466482,4.2076449038491095,,,2.8248784886716276,
117,2025-04-28,0.7544751968987526,0.32180486475351144,0.40121645090362523,0.5751342296432784,0.6074436483490825,0.5337129242299113,0.23549092891963938,2.658065650209975,6.633825798732776,3.046949680636701,4.767275917190516,3.362811450985019,4.32727808809937,,3.9012639615654
118,2025-04-29,,0.28823564886483355,0.5389782946530648,0.54643736294109,,0.43041704810800785,0.29511827978634103,,5.762571022876586,3.4573302807028226,3.9015194276616527,3.994668680775574,4.084251539107023,3.3119282478431438,
119,2025-04-30,0.5712098944342091,0.32350801173941196,0.33927535735867487,0.688374441852953,,0.5142520781483361,0.3608709271463447,2.9458719109585374,5.884594899767869,,,4.514608249414557,,,4.867095004187437
120,2025-05-01,,0.3219545844143362,0.42658565249633756,0.6277310088712885,,0.5553718797912752,,2.5660454332307507,4.844279961529727,,,,,,5.3064184096946105
121,2025-05-02,,0.47788182493228437,0.4445967782002888,,,0.7331313367016041,,2.791083325018175,4.762789304315946,,3.0632462094574375,,2.1282338025070597,,4.731452676491375
122,2025-05-03,0.2087046645039494,0.6826883444370346,,0.6747379192135763,,0.4289353729907871,0.31067749457275684,2.8593404818698507,5.015117391345582,,2.2433563308529805,5.8666731624355695,2.5721574249505603,4.63478125006104,
123,2025-05-04,0.28685578628938024,0.5294027452682706,0.4348289015689022,0.5624593229136113,0.7184451465044256,0.4143881839146958,0.396820771760365,2.7734766771274315,4.251905349774632,,1.552553359221055,5.79765618868526,,5.533682867801838,4.5273433882624685
124,2025-05-05,,0.44933350332315575,0.36603473980614,0.6663875645815417,,0.5286592910750162,0.14351472527979392,2.458472219266456,,,1.6086981648615726,,,4.628098462727663,4.058147549403936
