t_index,date,P01,P02,P03,P04,P05,P06,P07,C01,C02,C03,C04,C05
18,2025-01-19,0.4015107358001356,0.26853949476029726,,0.2537213695868178,0.7112617113147277,0.3792611437552947,0.43717963585394704,,5.198617313435838,,5.308679928455298,
19,2025-01-20,,0.17205341029882418,0.0,0.0,0.7900064331729761,0.35082876739949054,0.3402867566407655,,5.643160171546389,,6.095968790403883,4.968936668897086
20,2025-01-21,0.10845380057026845,0.25514387108413394,0.0,0.0,0.6856654089339758,0.44595217261639486,0.2405246905339564,,5.344460547365789,7.83988683479153,5.585358544603388,
21,2025-01-22,0.02572549229207044,0.3030934499947984,0.0,0.0,0.6143310841795713,0.5632522485968413,0.23890055965280563,,5.507114420225705,,4.817242630537676,4.876611988154198
22,2025-01-23,0.14046198824962636,0.3895645852006815,0.06375044595392405,0.0,0.576066486432885,0.5371503712073336,0.07828027560870618,,5.665166580719884,,4.407689252048954,4.827953879752117
23,2025-01-24,0.1600879530984678,0.4094811177902668,0.13590895894182523,0.028708631188769557,0.6051008564124614,,0.18055432359755935,3.070374744392969,5.5079643187712195,4.809176662011825,3.3203537569091037,4.066476911755958
24,2025-01-25,0.1653969704236353,0.38592402983609886,0.327868405847563,0.13818279130960587,0.4225779404817691,0.3046313166343936,0.06561554551796031,3.6472249231264575,5.275665696510946,4.697582491258778,2.6962798274759,3.6330210205896067
25,2025-01-26,,0.4032091714590141,0.2972796409895352,0.0,0.35537736019193267,0.2656083834585778,0.06997357299145424,4.189748231639355,4.75955927220047,3.9947198110327835,,4.177347005374513
26,2025-01-27,0.030846317763150943,0.3233486170004007,0.25260258476147474,0.052517470056756575,0.4498357540179751,,0.08972926106284354,,4.945217918277528,4.929213499498899,,
27,2025-01-28,0.01646743962235067,0.42019758327570667,0.31459470437354603,0.013620968317765866,0.41282287980369614,,0.1490988514471524,4.715847148382479,4.678312180664718,4.940673199214053,,
28,2025-01-29,0.0,0.3527414643042801,0.2699589293813118,,0.29047203472711824,,0.18782312489921377,4.962426688039237,,5.039905963598504,4.195318834018897,
29,2025-01-30,0.0,0.46569860114398964,0.38295901153194956,0.15586253953371385,0.2710908249124279,0.003147102326847853,,4.846608849985757,4.855948274696194,5.083960248425444,5.424758050010368,4.235825043776304
30,2025-01-31,,0.20112428174354743,0.41233878053196854,0.264798600560689,0.07476758672827402,0.13882835982964337,0.5036980220838683,4.137137926508941,4.3461881390548935,,5.061575997552819,3.3439503432490927
31,2025-02-01,0.0,0.18369202491167613,0.5600386556224843,0.0,0.020515912754539175,0.22050284812966991,,4.259222055289237,5.154710701926244,,,
32,2025-02-02,0.07314065856306096,,0.551557816767599,0.0,0.0,0.172856276452971,,3.811466560973418,5.467259266080768,,5.057806372083331,4.671815808448462
33,2025-02-03,0.0,0.19423411111558264,0.47923348807936655,0.0,0.00215134663975978,0.10809408800708156,,4.618510029201997,5.433239748662652,5.005525962895843,,
34,2025-02-04,0.0,0.2860525505258961,0.46230626621714865,0.0,0.0904124510279822,0.06747600676924251,,4.692788753342445,4.315022549846333,5.173722785618956,5.9944549758403,
35,2025-02-05,0.0,0.29774303088796344,0.3415907841119642,,,0.0,,4.05039782864403,4.263294683556298,5.102495368755074,6.481252720871875,5.369269641763344
36,2025-02-06,0.029688617931202102,0.40080378190756394,,0.0,0.006391291426372609,,,,3.6134681919963834,5.056045435087035,6.552380787611117,5.237970672255301
37,2025-02-07,0.0,0.40626713759007566,,0.0,0.17053239009672264,0.17595029015348643,,3.40241094002622,3.4366868140581337,,5.440148732674593,
38,2025-02-08,0.0,0.43060815310951495,,0.0,0.15565092920473872,,,,2.4168451218163276,5.966605389847415,6.156303563677245,5.403374558280649
39,2025-02-09,0.10763491228628391,0.3200363551724671,,0.029584309448609635,,0.05801728039571995,,3.544379705248131,,6.022512205671594,6.150396704419849,
40,2025-02-10,0.0360198083515538,,,0.0,0.23944765326590361,0.0,,3.5973042431356177,3.8692394445973184,5.716868649895284,5.568510729775913,4.570389531314303
41,2025-02-11,0.06483677624665,,,0.0,0.13563121199826636,,,3.2767339964247277,4.498005467726137,5.743590765855578,5.8953838855814045,4.619019677182853
42,2025-02-12,,,,0.18925659899622305,,0.17288637246209843,0.4597724171296146,,4.032632464703413,5.190364216293118,5.683251704710216,5.0636403257946165
43,2025-02-13,0.08416595409402669,,,0.028971330271555268,0.2250306378730977,0.2734995318211349,0.24848422808920284,3.9192508808072226,3.3052008506865898,,,
44,2025-02-14,0.04928482236528438,,0.0,,0.2672189742928222,0.16479707625156698,,3.750267618379679,,5.634020493441236,4.335441666778815,
45,2025-02-15,0.20131730051625454,0.29247924257080227,,0.0,0.08263178416752809,0.15971006199700086,0.10458069974445806,2.8941696634622494,3.651778306022161,4.317546477110094,4.57875221188899,3.6771973764634325
46,2025-02-16,0.07959896420025471,0.4547911429522462,0.19140134157748032,0.0,0.0,0.21962216127565784,0.17833463938803362,1.88224137888392,3.851545768887283,4.888498068965791,5.320103748398503,3.600298122696126
47,2025-02-17,0.07368149837768216,0.4041203876396303,0.07728770086876618,,,0.1970469866297354,0.1496724014288407,2.163603848242936,5.4532086813546,5.492883953998566,,4.381987119653045
48,2025-02-18,0.173714257193692,0.2919020942937533,0.07331458568371536,0.0,0.0,0.3174103489676545,,2.010768095073787,4.630232547282671,6.050065924669038,5.931379359139909,5.212174845037435
49,2025-02-19,0.15171173326901277,0.39642544350597053,0.050669285323733854,0.0,0.0,0.21579810254046367,0.0,2.4924790927624505,3.9086076692011247,4.920175971426769,5.5543630363253795,4.757857385489175
50,2025-02-20,0.1970292796849177,0.4197035568817147,0.1693311043827882,0.05828385999334755,0.025669494145560717,0.2194926039410821,0.027630633570924292,2.486540560290488,3.946083352224441,,5.364952127731589,4.6059045590097805
51,2025-02-21,0.10058841839939768,0.4580086194795929,0.18409317048573118,0.02458166875420939,0.0,,0.03508069217902554,2.789621069173233,3.3229569129954273,,4.748283834639859,3.845708398904872
52,2025-02-22,0.03684109647793947,0.4903574401515315,0.28832496742909,,0.04586345616767987,0.2230066682011913,0.07966993235165198,2.6613329549460873,2.753609148965298,3.8198379906932836,4.653948825820809,3.3551765870048382
53,2025-02-23,0.0054488200656447605,0.5400454138932254,,0.09237978185458307,0.20312523323817713,0.21591592660846703,,2.665227375378861,,4.137477646108257,4.6628749397845555,3.4850577209479296
54,2025-02-24,0.04003977388300395,0.4987838555550516,0.2336027791329845,0.2553599249180628,0.2609207470182857,,0.048138711410793664,3.4313410990958992,2.8289646176305294,4.937386561885592,5.204907842247161,4.1319853738529835
55,2025-02-25,0.05701113613963077,0.4939683040398793,0.2516299294937848,0.20088033140112188,0.20936118994640424,0.17383720643291675,0.16057889960693064,2.390449710949399,,5.437874102755371,5.271119952860372,4.473043278126089
56,2025-02-26,0.05326950086092369,0.46302463567210406,0.195143028879988,,0.21376964763986872,0.16785998604696986,0.11776152025038167,,3.2114061341875146,4.57853481785938,4.923738828324231,4.349473205913474
57,2025-02-27,0.10880709569863789,0.36684458621194116,0.21404548761697897,0.28785549622152273,0.21792209575903265,0.21534404581350283,0.32341442883358945,2.641411176885347,,4.760570928334027,5.009393950479378,4.060804083037902
58,2025-02-28,0.12219181865584959,0.2824757094473474,0.2749690086019453,0.2376667560643962,0.27175620257342176,0.25155538528183286,0.26095909456452565,,3.771187897150302,3.7422670500234396,4.441262223412391,3.633310880554653
59,2025-03-01,0.17362954821226634,0.24090108392760218,0.2646214676875261,0.16798859414706538,0.30225943628715923,0.24281982762542767,0.1120991695173301,2.5422900843737546,2.428619448173405,3.915807342618606,4.1456802254203735,3.35481240740357
60,2025-03-02,0.21090390013819996,0.3200500231817723,0.23083355731667102,0.18757914912916832,0.26625783462622077,0.24455103408408488,0.07548599140701806,,2.798873564581763,2.776272870556978,4.424548233260311,3.7175003226299292
61,2025-03-03,,0.2866695715085867,0.3028362848855138,0.09255148464347972,0.2723527107518045,0.11315574704057765,0.21554673534492882,3.7844908789507086,3.397162966451866,2.637486740721118,3.843360144722745,3.073198077423159
62,2025-03-04,0.3015384184152229,0.3573933326999695,0.1982040880300076,0.06949320107766721,0.14130807350021413,0.01336236395668021,0.2547354753221327,3.7270912146824866,3.3086248567594865,,3.8494891276519505,3.4656336376339016
63,2025-03-05,0.4342510055444827,0.27526784896756706,0.19079871807380747,0.00028753488179357467,,0.0792471966625887,0.09363438936809595,3.878227104512228,3.858052661080918,3.711207504259563,3.5172586139601485,3.5726241991169267
64,2025-03-06,0.3905524415656754,0.3448120761384074,0.2936196128416284,,0.19123268048410028,0.12000002600898074,0.09772433511981021,,3.3192176107064997,4.0129878803438075,3.840192389046077,3.026223372923202
65,2025-03-07,0.4010168469617984,0.4343238158678202,0.28749177825358735,,0.2559019877450432,0.2726075279985797,0.03569707708966369,3.832156534253141,2.8669408526028874,4.07595903363466,3.0376704820339397,2.5554020449253985
66,2025-03-08,0.2950908743823607,0.39828790101416145,0.19983012293963853,0.09415679604618024,0.2723376455975245,0.2027429946510935,0.042198783723275485,,,4.033684858065897,2.9973887144265263,1.955338952297494
67,2025-03-09,0.25785552151182056,0.3976421473132024,0.27561693939047327,0.013101150885815094,0.2261897119996225,0.10639847498919223,0.0,2.6449392988248057,2.984502135210973,3.9783181566014547,3.049483693134906,2.5856079123388014
68,2025-03-10,0.29307940221819817,,0.34985652470759815,,0.15917243425601024,0.11037439242223693,0.1699836480349261,2.8645525708522097,2.9000639481028494,4.127212924627723,2.5177953454651822,3.0338106993672778
69,2025-03-11,0.31526023610689047,0.22192854108181884,0.1946252025203818,,0.23399824351970544,0.010676807339224284,0.24404051179590208,3.0063844015094627,3.806999649318147,4.913857342836546,3.3749489613622643,3.563417558868834
70,2025-03-12,0.37273563982464886,0.1696906439279552,0.25494086522405296,,0.24715306175446733,0.11994333691122669,0.26403654636977025,2.382645547981458,3.275258730962422,4.418674977076812,3.4615885332399965,3.322624007358898
71,2025-03-13,0.3071017011038735,0.25267682306674355,0.20591569087932798,0.09540743424529045,0.15424061717179371,0.012146508557574598,0.2384096446396679,2.6605175081394474,3.3850456203916854,4.348591458273431,2.6937319821145165,3.618232131857412
72,2025-03-14,0.2638351484868824,0.2583109783625873,0.2688700491057069,0.13486837098731663,0.17633466164114,0.07118036567832178,0.2650032773924068,2.5391783395466274,3.838759768741845,4.280028269397671,3.412164543736819,3.4296081508481095
73,2025-03-15,,,0.3050359145327514,,0.26708706046604824,0.05777314885768809,0.226523498423732,3.7889902792636674,,3.8294821720595222,3.6211597211162485,
74,2025-03-16,0.4079491182601415,0.3569311526277221,0.370980417622937,0.23216497843540632,0.2593840428531939,0.029668067742549528,0.054777101627025926,3.5871745630197953,,4.079105590793464,3.501857507282049,3.9451122468935917
75,2025-03-17,0.2983503201728168,0.29814899200929734,0.34812276407289033,0.15320226355127403,,0.0,0.1873902736194466,3.0835865213049143,2.814853503435109,4.369524049559258,4.02892896650369,4.3051979315927875
76,2025-03-18,,0.38017595923772696,0.30120592961954473,0.1890820973315946,,0.0,0.20913731987771253,3.42214944775019,2.806009708513961,4.275183851781126,4.385550232328079,4.060946922554225
77,2025-03-19,,,0.3132604706664515,0.33925004829914274,0.17962275398195207,0.0,0.21503584904457015,2.829883409242209,2.7545929288641307,4.466785891313274,,3.2010826704440754
78,2025-03-20,0.2172470028326452,0.2432631523557989,0.3788462428849282,0.3583772471474813,,0.0,0.21777081634044568,2.8021532757093137,3.1672602155308835,3.5353531856426645,3.426224837914234,2.8107328697144727
79,2025-03-21,0.07785075874964106,0.2932360095002543,0.5283207074320692,0.2782420859361162,,0.05600960572810989,0.17298690652251641,3.906668614572185,3.039754836393253,3.010936635615817,2.6510450029979182,
80,2025-03-22,,0.3733246335916394,0.5620271490307464,0.23231951005513798,,0.07789806734220601,0.1502579260189146,3.64240278281217,2.9844590745733584,2.9144558975448693,3.4354581805479407,2.8820632277624334
81,2025-03-23,0.14475052804913804,0.1648508307586641,,0.29039305422270123,0.150943763266288,0.0,0.09838102572538648,,,3.3436132958089337,3.3435110517378246,3.4535866036438057
82,2025-03-24,0.021968837323754556,0.11251990785891619,0.419075811026204,0.24668684809333577,0.1263382340195945,0.024769980653811613,0.2117181911772214,3.329696141087787,2.6607338771117077,4.505879095860607,3.651224098544259,3.547857114738298
83,2025-03-25,0.0,0.10304123518221961,0.4584250387459354,0.24966722605310493,0.12510301566397874,,0.1704529000112364,3.743219653019764,3.4047055740752112,3.81486449724653,3.806436945180369,
84,2025-03-26,0.0,0.12198751057163262,0.3079020222690727,0.4449853937868891,0.13580637853271468,0.0,0.1392262426657838,,2.9275374298562475,4.303408339139737,4.003429848320233,3.83461870763653
85,2025-03-27,0.0,0.11069498462767798,0.2820276409242434,,0.1623393764350862,0.0,,3.451138255900992,3.150266798962695,,3.587379173429029,3.0995050519226637
86,2025-03-28,0.0,0.3515761686108231,0.3065546268871363,0.38967792635041243,0.1962061042344969,0.0,,3.1728689609829637,3.2586752394422147,5.584686310058217,3.784738539115984,2.8834432451390613
87,2025-03-29,0.0,0.2053643812510336,0.38960010379811943,0.3400940939278469,0.3134875978464613,0.12700739119136517,0.33768987233042314,4.22437301712298,,5.908608965283891,,3.8430248651696086
88,2025-03-30,0.020334640480796543,0.2880244520961059,0.2264992261158683,,0.264821324369139,0.15344246367710332,0.3189799255206252,5.2638964691883245,,6.41170887985281,2.83050121271071,3.9475280016285845
89,2025-03-31,0.0,0.15651104262324964,0.2795479800405793,0.5094471208711964,0.2589214648797796,0.16180256328885534,,5.4276008884959115,,6.422652059406191,,4.222642513568083
90,2025-04-01,0.03527637028105109,0.2745807738135096,0.2554247496903305,0.48621217191175764,0.17551771026319607,0.09354661957339046,0.1919952553076759,5.3828931967915805,,6.676085405666539,2.78262863039847,4.504491475616351
91,2025-04-02,0.025121231442416653,0.25237529232902833,0.3304241514250036,0.4787554996325225,0.1894457339960378,0.27547993853205544,0.24597720439341367,4.446859768520659,,5.175557813080829,2.6517194976294647,4.215290452815839
92,2025-04-03,0.0,0.30950190259316335,0.3010092859216179,0.603530334908325,0.1381984651714314,0.1979853343351081,0.2240221178255016,4.894712854270072,5.378328852841826,,,
93,2025-04-04,0.0,0.3512034629298638,0.39323440287405453,0.6867343693892384,0.18702215760399837,0.39709837791810765,0.30739674614463686,,5.102191818521777,4.838136442272981,3.231640449929175,3.424991434261497
94,2025-04-05,0.0,,0.26801071647510033,0.6406821996955415,0.241475606756143,0.4774653004143753,0.15565279957929803,4.295818033269027,5.208517354150951,5.127797606356301,4.0093486992630964,3.543083584195111
95,2025-04-06,0.0,0.4385034079079884,0.381822328631098,0.7337667610356159,0.23972387933829398,0.4090145715571056,0.18912389604328572,4.411934841279089,5.439778614547116,4.846169604493041,3.934023862033517,
96,2025-04-07,0.0,,0.3645274726306274,0.5713642497795209,0.2771044143728641,0.4795240122877226,0.18009257737544845,4.713614401430829,5.688144031966922,4.886396125525711,4.659650191426037,3.6097530441436705
97,2025-04-08,0.01914178074644471,,0.3744282937107455,0.416378124946678,0.16798128797047907,0.561081976531992,0.3610345605170101,4.0951582362891275,,,5.465270528596714,4.177625491007141
98,2025-04-09,0.0,,0.4123247287265369,0.4005809836743709,0.2120067413693484,0.5688461304889537,0.3050138355833653,3.985164070228648,5.951761494136257,,,4.5562581433485985
99,2025-04-10,0.0,,,0.15642721113058433,0.2344660304435604,0.7164343411466161,0.38444119217342615,3.439028575522595,5.954920614221489,5.994780138087761,6.1559803098612695,4.283209735528689
100,2025-04-11,0.0,,0.5691972202764095,0.1956106302376834,0.31798494434370755,0.7918771376160599,0.3798162388956555,2.832671337585801,6.4319422881660095,,6.434029125787546,4.047674215683066
101,2025-04-12,0.045319969382348196,,,,0.2860609957387284,,0.32815584117883,2.58319341082359,6.19739192818022,5.047791992817959,6.380978704789418,3.6473777832644156
102,2025-04-13,0.14774481064426775,,0.7487591159150717,0.2426941495427309,0.19409382172945594,0.8976745943116302,0.32418602142192504,2.8905884838556446,6.441634300892696,4.865641319315523,4.826302152169056,4.192318540065382
103,2025-04-14,0.15667091051339269,,0.7921722336650179,0.36960287135771847,,0.7413447517205332,0.3328736236035476,2.8110147998130497,,4.952924302124355,,4.788092568928084
104,2025-04-15,0.12046586394441722,0.5446540958879066,,,0.10997985776883723,0.8274375268998503,0.2573809658085797,2.969036545796141,,5.14892758927735,6.627520950814492,3.957480829924024
105,2025-04-16,0.0,0.4443744972433409,0.6165800445709861,0.4889480168596392,0.26324067446701566,0.7114083285117813,0.2688044511735382,3.5885605055985987,4.896646437163835,4.243450943606386,6.585796579163439,4.7029171684695
106,2025-04-17,0.0,0.3967289798843748,0.49062751089406553,0.45816363660945875,0.3956910918313059,0.8331405078220416,0.27408953076715864,,,3.9105467328972505,,
107,2025-04-18,0.03881482185798963,0.28248670230281625,0.5632009384668027,0.5828291741638557,0.34913104571087394,0.6524369157977015,,2.3351056662544325,,4.001021568857891,5.941437310277976,3.4948422724449033
108,2025-04-19,0.06883175249037593,0.38335831605748,0.4529744398442571,0.6034485001169775,,0.7234648989479222,0.3138112935737537,2.46727372592314,,3.54212917608137,5.123442178902214,2.8272485112408714
109,2025-04-20,0.09611496005049025,0.32623761082633906,0.44851405561734714,0.6324900818746663,0.2147799306680785,0.6952520278805573,0.41903658023762325,2.4378854524792692,3.801651433077528,3.2207028687354873,4.687920023348943,2.7451239889768724
110,2025-04-21,,0.340957063003268,,0.59240760254449,0.2853121475641168,0.6970588162418138,0.44224061625532607,2.4083368509841896,2.6335893527882774,3.0336792680070284,3.473953211023141,2.6311355305979367
111,2025-04-22,,0.2577340463067017,0.41403153462056036,0.6692515987929516,0.28583907179736473,0.7832724318823692,0.5573137595045986,0.7814922568209974,2.231668369162264,3.798833635041898,3.2378592237489197,
112,2025-04-23,,0.38890246577278637,0.33994150203286805,,0.1408934617247209,,0.48356563451540335,,2.6729109490167735,3.535099613896545,,
113,2025-04-24,,0.5719272016400843,0.47155990387885416,,0.24728732629259986,0.5807433426876479,0.5196720628201185,0.0,2.4026962335717106,,2.731419200682313,
114,2025-04-25,,0.4352314546052576,,0.9071383983878352,0.3928109662815905,0.6104666170968385,0.4678002089808551,0.0,3.572486697373987,,2.520411753169886,0.8358565314967545
115,2025-04-26,,0.48669359602519,0.5998756156716772,1.0,0.5330003076749461,0.688316306811625,0.3036849026469615,0.0,3.603513095931466,,1.706880695667395,
116,2025-04-27,,0.36800681734357743,,,0.2787766295252655,0.887027629957828,,1.2227248064816978,,3.7684261300124016,1.7206509590022183,2.048371416790456
117,2025-04-28,0.38575613586427293,0.29296812678055684,0.6025495167909813,0.9803068612274174,0.3343729458216151,0.8640576376222594,,0.6268612572982946,,4.3844245294494,,2.484041399690204
118,2025-04-29,0.4290748110768694,0.3445163940663627,0.5429047177086084,1.0,0.498060358659237,0.9897714566944338,0.24893986168650276,1.400665381875002,2.589834470249416,3.4156601030115272,1.3745944353474058,1.7174961727030524
119,2025-04-30,0.6139063309930323,0.4591117591844315,0.3945103318149723,1.0,0.5071751670803243,1.0,,2.028065346823234,,4.427231913615811,0.1137801741502178,
120,2025-05-01,0.6188959458340546,0.5908809506377799,0.3830901466044486,,0.7095998534803687,1.0,0.5409941558447435,1.7728615424793635,1.8615870451622871,,0.0,1.8922754861247497
121,2025-05-02,0.6411118242490654,0.5566549470845078,0.3265460505347995,1.0,0.5687185897742418,0.8228513012521507,0.4939329121946931,1.4471476785625619,,,0.0,3.2756863393163504
122,2025-05-03,,0.49206543661184865,,,0.3826703245740964,0.8550105721451547,0.444895727480065,1.2079773648196817,2.580349123189399,4.098033123838573,0.007631192115828633,
123,2025-05-04,0.5570119541747381,0.5307177440806452,0.6842923431575576,0.8933398492752466,0.4681622451302405,,0.417796339375723,,,,0.0,1.810137562100306
124,2025-05-05,0.6006241365096961,0.36479393439762076,0.574573928552904,0.7270269545350713,0.4525846555199483,0.8443030662453199,,3.3945721932250725,3.761779129492697,,0.0,1.7140558487775621
125,2025-05-06,,,0.6887352622652881,0.6556857307169554,0.40522846786094957,0.8687680167189864,0.5728422302023026,,3.51777488955036,,,
126,2025-05-07,0.6115746352566145,0.6684194220540592,0.763463795140251,0.7238241716438925,0.3504168598755559,0.9387055369210224,0.4601842204554255,3.8331964417974596,3.2138342408448346,,0.0,2.881912042041124
127,2025-05-08,0.5028655450436174,0.7552629724599469,0.7234001078652854,0.6367572703294266,,0.9888041895573997,,,3.316425902472919,,,3.132754045341919
128,2025-05-09,,0.7184831444614477,0.5444025638662675,,,1.0,0.44091708469991087,2.873998311579119,4.242715594447867,,0.0,1.5914683274298937
129,2025-05-10,0.6701651296050221,0.7208143398046678,0.6122870379623793,0.7564329534369324,,1.0,,2.2830184640302575,3.1539801311429314,,,2.292741455826492
130,2025-05-11,0.5530716873706468,0.6831727574806212,0.7037082145707396,0.6890800487830702,0.5098213394845775,1.0,0.5440196297629233,1.7209022168782542,2.0035790334890735,2.034353263100222,0.0,2.406269013197887
131,2025-05-12,0.47191521094229827,0.5231518977318329,0.6963922153689761,0.4047045988795819,,1.0,0.48583550610042603,2.7964880291385263,2.0330312576995904,1.6613545223297643,,1.7563100782915873
132,2025-05-13,,0.4766424994851714,0.49330211760341935,0.5011756090905158,0.31379358183691985,1.0,,3.246258602701149,2.789215305394125,,0.0,2.370994232064192
133,2025-05-14,0.5448673286244256,0.4327606317128698,0.366913038146374,,0.3374073944696275,1.0,,3.161313801465409,,,0.0,2.0058910892077897
134,2025-05-15,0.6002800325019467,0.4747757520439381,0.42785046395159,0.562494677148955,0.3045147698550827,,,2.7628330051999015,,3.2768807981502315,0.0,2.5582182497828514
135,2025-05-16,0.4736637406264589,0.7171878734896227,0.553396382974537,0.5407759547165669,0.501790409718883,0.7423295137135806,0.6086326828620422,2.4541822199585557,4.788473594951857,2.8125463668075805,0.21950646206338048,2.76311889166304
136,2025-05-17,0.7773908487391498,0.6653276354339865,0.46438109574729464,0.5403061882493406,,0.5920008014844111,,2.807927987396166,,4.108153903329431,0.0,2.1023030871467583
137,2025-05-18,0.8828282451220865,0.698070481279965,0.5675062566578283,0.7018217324256208,0.5227095171809044,0.5205321866978658,,,,,0.0,2.7305722373727934
138,2025-05-19,0.7061191140709286,0.9103911349549285,0.691130709871747,0.7382183441345114,0.49656983713859215,0.4126080548019603,0.40728914428445717,3.2064595033978645,5.49042566692717,3.479947941350213,0.0,
139,2025-05-20,,0.970820848016118,0.6461138131220838,0.6279829223477351,0.48547632938863156,0.4380229658407501,0.4381144165004971,,,3.8506993520667505,0.3957948655910469,4.0605642894762735
140,2025-05-21,0.6885476008999611,0.8969756221689016,0.40005175319061825,0.5438026664652147,0.280088955602893,,,,4.554266374062991,,0.5232187634348415,4.052808285038157
141,2025-05-22,0.6534120962100043,0.7760052399074353,,0.2911118773460615,0.3152175296862465,0.7595980268494775,0.26424711345839097,,3.871331398608909,,,
142,2025-05-23,0.6941626378398686,1.0,,0.40235009277076283,0.28874512067321423,0.6741271619162884,0.3151521379732452,3.0564117599454566,3.3188285793102943,4.38118387704406,0.02634141052818406,3.931322280872045
143,2025-05-24,0.8060683440976976,0.9964204545733731,0.5805735286082073,0.47340934189901585,0.25865216407584435,0.7125542804565779,0.3657529353788085,3.3338510803271486,,3.9236355137599537,1.0692508329310229,3.130150454487601
144,2025-05-25,0.8777367612049554,0.6291047997638188,0.5220471563241582,0.5687665560607201,0.36094315851222397,0.6197348681012954,0.3942189102273905,2.8976246899888736,,4.231983589733176,1.571001369521307,3.036690963890009
145,2025-05-26,0.9527634232473781,0.6299705920904348,0.6450157468443243,0.37522282693198306,0.35364060189003393,0.6251775274193601,0.6389700111081378,2.7623204063229694,,4.4704555006739275,,3.3614994964471623
146,2025-05-27,0.9118480655494223,0.5112617777525739,0.7248725651646921,0.386562514589384,0.34318632050723846,0.5044698901452171,0.45916148830903003,,3.801465771034065,5.430567366821838,,3.9563307960975957
147,2025-05-28,0.5467921065352683,0.34770565604411496,0.47232581453238587,,0.3032868100736228,,0.4010366752474659,2.5177402157038147,2.8433205865236095,,,
148,2025-05-29,0.4840724459119874,0.5835344484662293,,,0.3015596355205611,,,,,,2.497595035036951,3.5970279656991573
149,2025-05-30,0.40022809361611217,,,0.3334279761279077,0.26870705365744124,0.6733453869334364,,2.69743962495493,3.7303456613086885,5.328086931929758,,3.674400941920498
