t_index,date,P01,P02,P03,P04,C01,C02,C03,C04,C05,C06
31,2025-02-01,0.4371440429447693,,0.20901988458900517,,3.01978803412734,4.199131827826521,3.1059295906677145,3.5830079477657333,4.4739790647537125,3.525286529781543
32,2025-02-02,0.046400083372645395,0.0,0.1417677327736494,0.22113624879127763,4.157351684570189,3.7590863228186375,3.4307776842276017,4.128310267047826,3.9652057378512975,4.581032050765582
33,2025-02-03,0.24936834815626546,0.0,0.17629981816754342,0.16614995572322758,,4.54327801494035,4.015158656720003,3.8260052270120766,3.2752952991963467,4.180173560188851
34,2025-02-04,0.19050526817833904,0.0,0.0,0.2671662836840744,,4.560687406399011,4.214887293831202,4.0857613535047275,4.123349201688818,3.623403300982784
35,2025-02-05,0.18630281115090314,0.0,0.0,0.23146713564813617,,4.215637819223866,5.5030240447125855,4.307317041459231,3.4323472222602174,
36,2025-02-06,0.1325085637271203,0.0,0.0,,,6.373974789142969,6.139652953532927,5.312178201683683,3.0124329168653263,6.2893824888887035
37,2025-02-07,0.17102456656659204,0.028185556572176168,,0.3117723763054069,,5.520363355548065,6.396406307654281,5.4295405603108975,,
38,2025-02-08,0.15086735706084603,0.013297358901008634,0.0,0.2712310228558645,,,5.771035648658219,4.931746672477896,3.2033853592883093,5.940082011967277
39,2025-02-09,0.2903826114114818,0.0,0.0,0.31207106310928334,,5.471403463131767,5.778393263945125,,3.413325671339418,6.807910004162662
40,2025-02-10,0.29382274481021176,0.10696015817481151,0.0,0.08884257730187567,3.890362784049973,5.7360250690900605,5.274046184717078,5.859960350709864,3.7590770135639135,6.4681583379439465
41,2025-02-11,0.18072882147499375,0.06299627388946841,0.3643699534154021,0.10484454660162834,4.441277864118272,6.251190664305069,,6.285694619643096,3.661931484081915,6.809969201076852
42,2025-02-12,0.1668389622580464,0.0590978330702314,0.3335760613190402,0.0,4.651003237677008,5.8014236811296405,,,4.105534220643521,6.153908666491014
43,2025-02-13,0.2309316194491716,0.055628239273416674,0.4525460603799779,0.0,5.012491937640121,5.6943482508826,4.825933260178394,5.840250732593044,4.771927971816187,5.357007343131725
44,2025-02-14,0.22590815618665933,0.07615453735591438,0.37083162128219965,0.0,3.566272776406232,4.857867101836412,4.339682779565972,5.712097362980551,,4.678655980966216
45,2025-02-15,0.3342585366435169,0.06727644317106964,0.25323890257804116,0.07752041856956338,3.7268990990419053,5.034037476941601,4.43785655503397,6.3630135309342215,4.701992127195125,3.477558592806578
46,2025-02-16,0.3261609335855318,0.034541692104195915,,0.0,3.363555834537198,5.305383623515998,4.548531030542033,6.416427303937394,3.7352441168741985,3.8748548720028704
47,2025-02-17,0.33268266172358757,0.0,0.16357126877128053,0.0,,,5.812934565533019,6.184521295050166,3.5822161316320065,
48,2025-02-18,0.28130245131452136,0.0,0.04517891025843314,,4.079355130929387,6.641094120408868,5.244919641731143,5.829503881783945,3.9087364640227396,
49,2025-02-19,0.39917015713492326,0.0,0.1178836920516855,0.0,,5.7795923132672185,,6.39583458167889,3.7451507318050505,5.014284979224519
50,2025-02-20,0.5621242930926732,0.0,,0.0,3.9085782742910453,5.985621412847556,5.322856962225632,7.855257306053154,3.9791140295342835,4.848643424195739
51,2025-02-21,0.5131189792887303,0.0,0.08245208818538016,0.0,3.177610527990237,,4.353488891578576,7.434600910583745,3.1358133662687324,4.926991318634792
52,2025-02-22,0.5375622304310506,0.0,0.021034600567245418,0.11981049050021574,3.799238850686721,4.8500199461547355,4.935638052821116,7.162487109437547,,4.1655333340975105
53,2025-02-23,0.4851270282658875,0.0,0.025037809316343935,0.2402184646514106,4.650319426842744,4.824187886031607,5.165705186144397,7.614397030687953,,4.0165949496716955
54,2025-02-24,0.2787215230761404,0.0,,0.09303247739579944,4.888021283048559,4.612193596380804,5.051280321142668,7.739476209426117,3.7932477715481054,3.920845899487981
55,2025-02-25,,0.0,0.10402200301925302,0.18087255020007428,4.4110277639911075,4.265142381801384,4.099532702883357,7.428104415160543,4.335516618857019,4.51890284254145
56,2025-02-26,0.2195337115835451,0.0,0.1580444872868732,,4.089693309499434,,3.150189251773895,7.453184974332293,3.908113579935981,3.4797003415643872
57,2025-02-27,0.23844728643752752,0.0,0.14823875785672144,0.20365972590665857,3.7160023208261515,3.360474437279015,2.1604098649186967,7.147652225957755,3.6825048625661965,3.6182214990335755
58,2025-02-28,0.31660202805765214,0.0,0.15153940486689482,0.2737524841312634,3.4946251985081904,2.8617196463277494,1.4277722353805693,6.796522515097399,3.453548353258477,3.146782512891172
59,2025-03-01,0.29032229417734706,0.0,0.13600388749722198,0.2060475461820259,3.208517075264147,3.3615741282283826,1.6108598904596168,7.5151737479588645,,2.3273488748778797
60,2025-03-02,0.3256573844330647,0.0,0.08786497625998069,0.1139516187198803,3.1676816589279615,4.095482749792456,2.0579985639601093,8.01251729582295,3.6829810951254633,2.303249712680136
61,2025-03-03,0.3564353780938873,0.0,0.2306515940308874,0.12077188945581054,2.9749533080837005,,2.314099185779942,8.466614820862727,4.0877935319861844,2.398686125445417
62,2025-03-04,0.4829045952231918,0.0,0.21914859813670987,,2.7263663585251114,,2.6386953444931764,7.838938005641694,,2.398790676687478
63,2025-03-05,0.4424265395681051,0.0,0.18746401324283737,,3.295675693942816,4.2968232745346135,3.3118863780046324,6.671511997265124,4.309296881501507,2.5593782379607086
64,2025-03-06,,0.0,0.1660366445573671,,2.866459147408185,3.7833039576051384,,,,2.407405321235324
65,2025-03-07,0.13990755747113368,0.07624935276461878,,,2.6242946103520115,3.470728837398697,3.7151091213255136,,,2.451898901705185
66,2025-03-08,0.16234207723694827,0.0,0.3993653706445923,,2.8926506184232603,3.2957261559072064,3.0305292169223494,7.399063180337328,,2.800013262051885
67,2025-03-09,0.1812533481859572,0.09437453131779078,0.3962124899144631,0.11267174849567813,2.2159206940174276,4.098558734726178,3.290134399113895,5.07211427960974,,3.595518676794256
68,2025-03-10,,0.13742521575472155,,0.07774233798892927,3.7136411099253674,4.462915398605124,,7.372721833222558,,3.6468075212584603
69,2025-03-11,0.4077097545957383,0.12253464353014945,0.19154872344539514,0.1267631213693256,3.874475503540042,4.815124341639902,4.616340929402217,6.945945574957035,,3.502657370032382
70,2025-03-12,0.40829435982845624,0.060359284733809984,0.3330017103204871,0.17158757610043063,3.8842345182105795,5.6688263161939805,4.658014858902467,6.608570372065769,,3.572266841558874
71,2025-03-13,0.35214739113319027,0.0,0.296048916067135,0.0,3.629503664947262,5.413821578737659,4.643473481476347,6.981526872105159,,3.8043214121707414
72,2025-03-14,,0.0,0.4221080436385522,0.08301632500868666,4.104688339892556,5.775670930782418,,6.6229745933471404,4.314166256055099,3.736616177263891
73,2025-03-15,0.22411415881760904,0.0,0.19785770890236087,0.09746075593907175,3.8032275425535533,6.263748899426423,3.847105301622363,6.614275262855845,,3.291760567954708
74,2025-03-16,0.22031492251561843,0.0,0.25148758455815423,0.08602187774510743,3.5524723572181838,,4.066692180413284,5.860599273068636,5.1510552222992345,3.0838641287459527
75,2025-03-17,,0.0,0.08259754777045589,0.11343727980126286,,4.298320695063599,4.189480791664287,5.778731309393818,,3.9469529634817397
76,2025-03-18,,0.0,0.17198203217736174,0.3432508265722538,4.136774373540192,4.693583407733587,3.856725254730109,6.191438928022729,,
77,2025-03-19,0.010267792770365568,0.0,0.22780463657866346,0.3642366154834231,,4.7962770997942314,4.545985677550046,7.1986706403320015,5.536350935795777,3.2582780422246556
78,2025-03-20,0.0,,0.26635659404835565,0.36870375757047125,,4.344524771469204,3.7406919173412447,7.585051221126442,5.715439160952366,2.2738281880716045
79,2025-03-21,0.0,0.0,0.3153007487637342,0.20081313252828548,5.250197076096143,,4.0371839632270765,7.805228637925953,5.543523328208085,2.91704087586681
80,2025-03-22,0.0,0.0,0.2976704119729757,0.05295794811299556,9.359533509877602,4.141721888206869,,7.46505729614351,5.162172328419765,3.71682942270439
81,2025-03-23,0.0,0.0,0.10729623660042048,,5.778979517216046,3.7592737306065107,,7.400499522343819,,
82,2025-03-24,0.0,0.0,0.1323340651362737,0.0,6.459720555135791,3.445767786141038,,7.316365591077124,4.17648746623579,3.5075587718599257
83,2025-03-25,0.0,0.0,0.2937465819980329,,5.672364709533854,4.085364911759159,,7.392100120948632,,3.4092233944598562
84,2025-03-26,0.0438899935997596,0.0,0.43212623190221006,0.15651876917025237,6.351061134590766,4.751805591300829,,6.6891056392505135,4.871595140775863,4.533216113892009
85,2025-03-27,,0.0,0.4138344607650915,,4.6742047049081,3.9388441091708617,,,5.429642613326024,4.23138279895866
86,2025-03-28,0.0,0.0,0.20856556541774476,0.0754081134873352,4.136370412668453,,,5.198390780501291,4.909227421973477,4.22465733392117
87,2025-03-29,,0.0,0.11399418786670529,,4.196733755660889,5.442537622317645,3.6876614935734233,5.606465215457979,4.66557762531783,3.0867584350541977
88,2025-03-30,0.1362178368491776,0.0,0.2681777396479972,0.09169080363442572,4.479989320510129,4.821582282065623,,5.111628358511694,4.600354835092017,2.2238847751417516
89,2025-03-31,,0.0,0.3332311280208169,0.10060872096863273,4.565691277885407,5.106969653197493,,5.136997867409369,,
90,2025-04-01,,0.0,0.3355062512417447,0.09660677408608685,5.324415265064552,5.3913405254052185,4.515559786825657,5.088790885380353,,3.3824367652525593
91,2025-04-02,0.37660723477394675,0.0,0.6601076683714727,0.05785384776413846,4.7713808188860884,6.20968319410198,,6.610522375595581,4.9720992804277815,2.9156941614409155
92,2025-04-03,,,0.6483004966908279,0.04218649779556325,,,4.635934037971107,6.788477696919018,,3.5734265138845673
93,2025-04-04,0.47260780387129675,0.0,,,2.4945968506414538,,,6.55979828815179,4.638959772667817,4.431996845735545
94,2025-04-05,0.30224552920322456,0.0,0.28535328774354946,0.04830387556066304,3.809140975442356,5.3251972560074305,4.826360622418049,7.494825092341385,,2.9942621387086543
95,2025-04-06,0.21866639586743525,0.0,0.21093998263855218,,4.309269135656339,5.468361992834624,4.053032548685796,,,3.4224988980244277
96,2025-04-07,0.0,0.0,0.19340270385517414,,4.327945796595366,6.001706096597587,,6.79448615571891,4.361383999380333,
97,2025-04-08,0.0,0.0,,,,,4.554016056416694,7.764529031968548,4.1568178152068125,
98,2025-04-09,0.0,0.0,0.11565684819433351,,5.076491975046855,6.180805868520066,,6.610739582297208,3.602087750785091,3.443641602508955
99,2025-04-10,0.3157942163654174,0.0,0.1354675056532597,,4.34557609135196,5.848308406169323,5.279921062229956,6.007751973194828,3.9582798395536125,3.6823773710054954
100,2025-04-11,0.3747140653062093,0.0,0.05450007279205982,,4.598143493689298,,,5.2068858336449475,3.9637675534010213,3.4185901032603656
101,2025-04-12,0.5537628044883467,0.0,0.2789550494741304,,3.364359765172857,,5.735012277000034,4.012566595771514,,4.2304718314629035
102,2025-04-13,0.46389217640800345,0.0,0.2682113252702954,0.23000617831229492,3.741823732382733,4.202894501837759,5.486481348794586,4.1630776557797455,4.537511285432596,3.942765038554816
103,2025-04-14,0.41302742395853115,0.0,0.1237674941074498,0.2605438588520954,,4.245737175850989,5.095890582264875,5.154010483288714,3.9807170174495954,
104,2025-04-15,0.5355283037996196,0.0,0.10251604429525674,0.23124436372567073,4.194497890043094,3.5813773044200827,4.6594835555462,4.8572666914438445,4.292866197929423,3.9165062532867054
105,2025-04-16,0.38777025476470106,0.022416951469894586,0.21259476725211424,0.33195444101860766,,,3.79641873791015,4.43968572152601,,3.726908802222929
106,2025-04-17,0.35379328926168896,0.0,0.3152150466061366,0.29148158735713803,2.729230946314199,3.5513760490204747,,3.640032450247282,3.6275733274149546,3.4871459958099096
107,2025-04-18,0.3782916940742224,0.0,0.3630479470573078,0.19690764358916746,2.715670129979776,,3.4765635107661255,3.53261024150684,,2.953455323638153
108,2025-04-19,0.31213612844487626,0.04623468501007988,0.41112072784380677,,2.9130778175761702,2.899118161311367,4.203278656575792,3.668707691472159,2.323737535317065,2.3099671824006145
109,2025-04-20,0.23143326500402112,,0.39710039988461854,0.37073724033423483,2.9790589085671484,3.223627089056477,3.503701874213222,3.9815653344069464,2.7640762772420704,2.4268483002186207
110,2025-04-21,0.3901371850611072,0.0,0.3510389530774409,0.3030608935658381,3.831140605229491,3.1000467901048006,3.74206481575067,4.836776661693208,2.489359975663006,3.0344225905083726
111,2025-04-22,,0.0,0.24487640173854747,0.4408317386102348,3.9243734635272913,4.139927677087309,4.1340729436579124,,2.543808689575002,2.378227870955871
112,2025-04-23,0.4983947772290746,0.024813851173271416,0.040956973821630605,0.6825474401971491,3.5522761625514514,4.061691564585058,3.8958935813215936,4.5899782550501635,3.1615556906615,
113,2025-04-24,,0.01834517799714397,0.15491252104055897,0.5287463784439193,4.142352988203841,3.177467598315193,3.926494856184094,5.3668622672283295,2.8243010513902562,2.245594908658154
114,2025-04-25,0.4541571934484578,0.05517533973914305,0.2647165584661368,,3.5794453877145394,2.889636780406661,3.009604983277289,5.760386848904664,6.682655294484122,3.296765896866063
115,2025-04-26,0.6333176966334351,0.1338610857278668,,0.22635638251189336,3.0144168995454597,4.19977815470137,3.2183458836422107,6.264608875119262,2.268662863929042,
116,2025-04-27,0.6149727355019882,0.020494136146332664,,,3.1978941677632537,4.198876294360476,3.4656050465530743,5.948609104206479,2.313566028073277,3.774571394061868
117,2025-04-28,0.549706979317379,0.06998980839533833,,0.18236214353728278,3.680002027905707,4.724118354217242,3.1390626654399547,5.8432517432372615,,
118,2025-04-29,0.5888241170046182,0.04636937245275089,,0.25794634929375043,4.119974441289625,5.9384883941228805,3.156528600278701,5.95128271696828,2.9834465159238635,2.926616914104019
119,2025-04-30,0.6167927123312573,0.0,0.5007048692882471,,4.406326002867276,4.755087567735134,3.2959336752618094,5.290369240778397,4.427588150171808,3.3185004913135607
120,2025-05-01,,0.0,0.6589214724690358,,3.7754133506540475,,3.313248528693195,5.035141523393693,2.3537610628445447,3.4223047272436644
121,2025-05-02,0.3722629855727485,0.0,0.717316741644248,0.348950408275556,3.3881698981303696,3.421296104610851,,5.516521226440725,2.9711115841890585,2.8494604339909904
122,2025-05-03,0.5194234648266141,0.0,0.6811222332926223,0.09625632739304862,3.6318138520460517,2.4755573112010967,2.2021627542109394,4.541613019358498,2.6893305309324935,2.8263697897717375
123,2025-05-04,0.46785992726155007,0.0,0.6975804111359283,0.42160820995922793,3.6467277581348703,1.874421551559342,2.543968394744983,4.176070258901896,2.8413972733752604,2.8557151934380474
124,2025-05-05,0.4304913391675758,0.0,0.5026596966171037,0.36439518499336004,4.142946363982792,3.263909096861656,1.8695877321208187,,,3.324517903572783
125,2025-05-06,0.3785797244606775,0.0,0.44477276857361747,0.23062689493758304,3.733357567044746,3.83242988395843,1.439852027907401,4.464117021376473,,2.470769969210912
126,2025-05-07,,0.0,0.4460465879541984,0.2813953414442375,3.2028445423576097,3.4716156207769417,1.682398317244742,,,
127,2025-05-08,0.23411563290673182,0.0,0.6203787119167105,0.35568719546648664,2.1144408710215066,2.998293898051069,1.113890207928434,3.531062227376842,4.608378519459736,
128,2025-05-09,0.4453735065236717,0.0,0.5630558096320855,0.39009253897109636,2.5953293034533136,1.8852073569172372,,4.021982252202825,4.538254306068242,
129,2025-05-10,,0.0,0.6986235758762253,0.5065838211150746,2.6194417710419864,2.3819929279740797,,3.907879296897303,3.504639991858131,1.0819921693880326
130,2025-05-11,0.39988901999035836,0.0,,0.4553853874089625,2.9544184151943416,1.5092249299885785,,4.4473732893278255,,0.7448709529807518
131,2025-05-12,0.4588588650794647,0.0,0.8817929099284225,0.37980254788898016,,,,3.8212184730910543,2.931417839838894,0.37058507715212985
132,2025-05-13,,0.0,,0.4068379578732975,2.460267934675149,3.4801376396144135,,3.5107618932819324,3.5028179485699837,1.4186351183846444
133,2025-05-14,0.6111550351387689,0.0,,,,2.4816003910870226,,2.4073490247870586,3.491130206293434,
134,2025-05-15,0.5244856684854035,0.0,0.9084692364080438,0.5242820764423068,1.9576351208006253,,,2.8180851345471023,3.6611860545338115,
135,2025-05-16,0.2678320931303968,0.0,0.9688872875723208,,2.7011112083010502,3.529917325262166,,4.188594313540193,3.1397323576954834,1.2457661498273016
136,2025-05-17,0.33822646790635025,0.0,0.7118263418295581,0.3877317920318872,2.042883095058878,3.4596442656600166,,3.505562374196914,,0.3822842279536999
137,2025-05-18,0.30039005271374125,0.0,0.8430563017125121,,1.967692680722932,3.732018499659633,4.808960618598926,4.152681419543702,,0.46571358649648537
138,2025-05-19,0.3062919100441848,0.0,1.0,,2.7926124306353484,,5.016013246049176,4.590229527293815,4.226698652361214,1.1457703432472908
139,2025-05-20,0.2867127039419515,0.0,,0.4817140609545325,2.7367377099829575,2.993203504126466,5.073372365710131,4.399587275690732,4.56639322873986,1.0826527609047996
140,2025-05-21,0.3528692704785501,0.0,0.9478144296471539,,3.5909139328828084,,,4.030231169177239,,0.6502062696565898
141,2025-05-22,0.4148898347753897,0.0,1.0,,3.1206545751428454,2.516094589729491,3.738552234739338,3.87785762704936,4.96396763314304,
142,2025-05-23,0.35937792302408295,0.020745805000703492,0.47941271218468684,0.28223660825574126,4.772167922838076,1.9369741480989942,2.98381828965329,4.005762195124031,4.653722086098616,1.5960210510074724
143,2025-05-24,0.0,0.0,0.4285964411167129,0.18258275873068572,4.994467074510354,0.511705659268598,3.7352155157989673,3.4971579630700207,,1.4762909981306782
144,2025-05-25,0.19673445215473373,0.0,0.4511198722069943,0.07597746379419229,5.102576032077157,2.9945436938687515,,4.025126184101192,4.912781860187301,1.36631247918763
145,2025-05-26,0.14815117162987312,0.1255121575913238,1.0,0.10289227895163966,5.4545685787709655,,,2.6048922024700296,5.431190780280445,1.5288325942990384
146,2025-05-27,0.23732028766150182,0.4503949645141846,0.9967123028129335,0.0843013778318141,5.780601075169285,4.510350571634579,2.9278623136316235,3.638079672502891,5.499073919766596,
147,2025-05-28,0.3052941477433908,0.2748378495340261,0.9066163349534238,0.0,6.067032213509232,4.4053043803869265,2.1733490761609247,4.721205620238743,6.033327959831146,1.6479108789033496
148,2025-05-29,0.48472715043437115,0.34843135522293167,0.9156065768446401,,,5.481019334190358,2.6427737897549504,3.653254546668802,6.291538449781951,
149,2025-05-30,0.6059042912986637,0.5032313039091237,1.0,0.03341341392886778,4.226474885503766,4.0509576970311265,2.791100137532602,2.9873214226098077,5.996313395207047,2.5770623374259234
150,2025-05-31,0.4192724492241948,0.35054214835490116,1.0,,3.820881304904651,,2.421805721360288,,,2.3566582946210204
151,2025-06-01,,0.2069492547365376,0.9392908660488333,,4.147526671940439,3.8765143653869107,,2.1807997458438804,4.632284211779657,2.1763642852989498
152,2025-06-02,0.39133747114029127,0.4088069495828708,0.7696691346124834,0.4147009995345736,3.5779981697671244,3.849659127802617,4.454052637889089,1.4007104694487387,,1.7836948139636635
153,2025-06-03,0.11705482496105679,0.37730515735001524,0.8464375916362815,0.3318456090480088,4.608681584651631,4.161441013460834,2.844699152258996,0.0,,2.389971070696555
154,2025-06-04,0.147180525187381,0.12192641406120394,0.7982768512661883,0.49168507176457277,3.5945697413714806,,4.160832929587862,0.0,3.372702585176892,2.4803695886512616
155,2025-06-05,0.31851331532010796,,0.704662982843481,0.3485180522978786,4.669342101005417,5.066634741415362,4.777508127680905,1.236431282964978,,3.1939829837285507
156,2025-06-06,0.0,0.18076323390293203,0.7849913527292063,,3.9066671031097266,4.5962496511914885,3.9625786932666722,,4.324230262467227,
157,2025-06-07,0.005052384766205738,0.23476761485083372,0.7428056976421562,0.39240138563991095,3.2754367311749673,,,1.2626739798917046,3.983776943009386,2.5686367314121212
158,2025-06-08,0.0,0.35313711031474426,0.5087998807911268,0.3643146126308413,3.9006051004694746,5.540098740160865,3.4665028731053114,1.6307690320532322,,1.779059405414291
159,2025-06-09,0.0,0.5212821850777665,0.5886616233453312,0.2588171759544562,,,3.2971651862988614,1.67243984386399,4.371154870573251,1.8019212319967501
160,2025-06-10,0.0,0.6270732931946961,0.6009155078312929,0.2595011700148902,3.627172715441452,,3.774533800952146,2.186292959169914,4.342131207589627,0.878432211828382
161,2025-06-11,0.0,0.5216336397248412,0.5000097947632518,,3.3556815315657316,,3.347884819050047,3.5561367789720926,4.594065517706652,1.524919221163447
162,2025-06-12,0.02259614744169098,0.6019534864848459,0.6052292736446465,,3.1030546307596705,,4.01560303463408,3.417493307606277,4.38215441096867,2.321902186707458
163,2025-06-13,0.16051777900396874,0.7187560623662222,0.5980473555105152,0.5418463601859449,2.9196559474651984,5.638232502539472,3.769153815035814,1.910673407803158,4.822164620810733,
164,2025-06-14,,0.5430775154532984,0.6195875998704486,0.5944523409960315,2.858890990162178,,,1.8532085165814978,4.36630085809817,1.724380876356313
165,2025-06-15,0.30979305737010837,,0.7208165142251787,0.7698342915593462,2.652314071455833,,3.68426278554396,1.8019238096443368,,2.178238083932586
166,2025-06-16,0.30214130027339753,0.44719603699893784,0.9369920350290479,0.8342210726199536,3.6161324319174746,3.778944385520223,,2.000298226943257,,2.4906558575309585
167,2025-06-17,,0.49109775539909084,1.0,0.6253763296545886,3.6734269643037702,,4.323767402405478,,4.799827803027025,
168,2025-06-18,,,1.0,0.8010077350448148,,4.56722926238615,4.2149510629809726,3.224801654807671,,
169,2025-06-19,0.28645635213400167,0.19848437531395,,0.6512178478494624,3.8253510737307357,,3.4521771592883166,4.233647728623771,5.531723214854388,3.449319803076523
170,2025-06-20,0.34107931882613635,0.0,,,,3.863019976341656,3.320083132631034,4.59472966834852,6.289904751235239,
171,2025-06-21,0.4204463790639147,0.0,,0.730916597065602,1.866236851314724,2.990302990741726,3.6181220288338474,5.1921412187602485,,2.2494354256097084
172,2025-06-22,0.5172334012921173,0.0,,0.5871499655832688,,3.434445973159434,,4.912017106769693,,
173,2025-06-23,0.5585392249843144,0.0,,0.6222577228581212,,,3.2925424413755175,5.166076896570371,5.724949116997636,1.7990361557209322
174,2025-06-24,0.524708477467886,0.08742075831879906,,0.5646424373379326,4.558082381585519,,,5.182434777005875,6.351442077269211,2.1529377424070772
175,2025-06-25,,0.22731923405974752,,0.41851752914580326,6.866789932395141,,2.205511948373254,3.380758526414754,5.244741529227545,
176,2025-06-26,0.45042450771443043,0.13475788761435992,1.0,0.24746623421820582,4.505205466163243,,3.305918541092218,,5.551745935995905,
177,2025-06-27,0.5020875984224448,0.09117215125974049,0.7976274180561622,0.4529524409794421,4.488083006330567,4.064025895701383,3.535166738216527,4.854606730504666,5.664405764317021,1.3444057535161391
178,2025-06-28,,0.11976287811655334,0.6885014936807583,0.3261853311394743,3.9501865475222875,4.3725335609248255,,4.868022292367748,6.012727469003367,0.9989461222444223
179,2025-06-29,,0.1547274998869921,0.7973369567764789,0.16940221749944442,2.976325694887161,6.465371036074588,3.9942506476913664,3.6466593385907924,6.20918596031627,2.386362835636628
