t_index,date,P01,P02,P03,P04,P05,C01,C02,C03,C04,C05,C06,C07
31,2025-02-01,0.20675020974967895,0.22672613736144737,0.5220344320366253,0.0,0.08454043713533396,,3.692569082068695,3.6055140702342583,2.7609433258579372,4.812003771307862,3.505411025771573,4.690555020755103
32,2025-02-02,0.04861602862112219,0.3068133332591543,0.3863026891115617,0.095647109502424,0.07593801946348876,,4.058205491954613,4.181761929172278,3.1077065066293628,5.668870006166737,,5.001878925568572
33,2025-02-03,0.0,0.302886613694209,0.4143657773104883,0.04506516946280362,0.051382310621945815,,3.0853048275153308,3.050345453991688,2.3841789095454,5.242872222977574,4.387615888643263,4.894930941361588
34,2025-02-04,0.06661662561549245,,0.4522177894703162,0.004782768891453751,0.23758999544352188,4.49045873901361,3.3525965989327977,3.3867891636248815,4.194216569323864,,4.353511930916906,
35,2025-02-05,0.24131399368179632,0.4490198236213603,0.28531311852486735,0.1583493211831809,0.3527626001330492,3.7586553702583534,3.7803074187390155,3.4986129982685163,,4.719298908846529,,5.065282277749883
36,2025-02-06,0.31769994121390166,0.4517065155583421,0.3254444102652825,0.24554698613556417,0.3038037279469821,4.466796467582368,4.440684974746453,4.409419470839087,3.7385440922677016,4.350735470825556,5.207778363868366,5.835592702699149
37,2025-02-07,0.16453688708211497,0.3802669296045853,0.23851102127322432,0.3780009473168733,0.5163603115450379,4.353473113928312,4.366370508443761,,5.626423595454217,4.919413547147,4.657187435600185,5.176272938354984
38,2025-02-08,0.1866661666664901,0.29720368751999837,0.05255886904821874,0.1705799446787125,0.6636112873488653,3.0656145988140837,4.383566735434138,,3.1805320040756078,4.280902492022056,4.762476659029162,
39,2025-02-09,0.0,0.24692258039165998,0.06988767735813274,0.20020841116707028,0.49570521096337367,3.7020837225856713,4.240200787219584,,3.228817411745458,4.223165838684876,4.529228847222206,4.46839555053016
40,2025-02-10,0.13277094898824976,0.21580962186978858,0.0,0.11436893329022846,0.48357231348757895,4.890693493913614,4.219985091462698,,,,,
41,2025-02-11,0.012715075516305643,0.342327935188777,0.12308619538706146,0.2654707144472377,0.4523112916370291,5.69102814035037,4.211464847042043,,,3.3935876743280864,4.296082197566953,
42,2025-02-12,,0.2411761638260761,0.17430247420956718,0.32195738360350556,0.4849129380080716,6.090496502574112,,,,4.026452182591251,4.25188483341751,6.883120698865817
43,2025-02-13,,0.31518238207111204,0.18856698058925156,0.09961021096256949,0.3183073504746019,5.4875098834212785,5.453015304097523,,,,,8.343339141218205
44,2025-02-14,0.15526041165333043,0.3371196256942745,0.28861209831071777,0.08416939661747948,0.2809367569122005,,5.158146581117709,,,4.250129126826002,4.442911128283409,6.221455243907488
45,2025-02-15,0.22104889285836293,0.2164467169684816,0.2065618870438619,0.13872340241236286,0.2861942312665861,4.392400592912626,5.354779813625883,,,4.302130421669516,5.260696023940783,5.998398892664548
46,2025-02-16,0.2600516413682733,0.24647696941001057,0.021178469278749418,0.11440503472965136,0.1702104555812744,4.112616832850869,4.334974871612361,,,4.122315202012584,5.026583112731674,4.9045871577024265
47,2025-02-17,,0.15670938450746205,0.14918114183647582,0.10335141042144892,0.18727793988754352,4.158455696413043,4.089472035838671,4.214495163633316,,3.4399248824624844,5.2522807748185505,5.407168269199891
48,2025-02-18,0.20596958472582272,0.23582616874235612,0.20368542598301181,0.09074884309566295,0.16619698214059242,4.102684883394462,4.477714054925088,4.82961744861875,,3.643817937295762,5.821025682058253,6.074942322347021
49,2025-02-19,0.17218482810704402,0.2690063613844733,0.2846307733370731,0.3423861867585825,0.1536660631658055,3.864025032259014,4.368819179929582,4.898154246447859,,2.8590344116749526,5.607229883557359,
50,2025-02-20,0.19113231411888643,0.32667032868131984,0.3048767399081697,0.28225669667633024,0.09951001825236024,3.7168229454726105,4.892008770381859,,,3.251877206849905,5.606459649695534,
51,2025-02-21,0.26712737994591174,0.3275205724758454,0.2417508125579823,0.24823493914883515,0.2931569541251317,3.2912673679405016,4.584099812821519,5.587026079445054,3.380395966674689,3.497818806879055,5.65887820958473,
52,2025-02-22,0.32049138015746365,0.2777364851382635,0.2004900315019916,0.19412568320342344,0.24009717411453296,3.5842441932790323,4.46894867150195,5.497810350836799,4.015257424593897,2.8700440934146996,5.210561249906547,3.820694658018625
53,2025-02-23,0.2779706285163642,0.37824452254005114,0.18064279023717228,0.26647877555029575,0.29160946490552575,,4.497865978584074,4.774371400672526,4.033180686632096,,,
54,2025-02-24,0.35958677852848375,0.49436896408314446,0.23091927703220996,0.30919673712656087,0.33036101387446637,3.8981617677244027,4.806603220551927,4.910765109299059,4.034019365715905,3.345666538498279,4.511737717202282,4.368920955374759
55,2025-02-25,0.45271366034706406,0.4846472148851182,0.2755202359133776,0.3949027914330379,0.31306021691782504,4.499997691630138,4.816541898558696,5.19200857262177,4.63074459949051,,,
56,2025-02-26,0.30169211463531764,0.5059911473056402,0.3151973993000508,0.21058764945734001,0.3300055370331117,,3.6540344174414354,4.895633058927983,4.499425721634722,3.6168788559691967,4.5181491933825635,5.001303102391364
57,2025-02-27,0.40653862473427527,0.5506627804852097,0.3346747321291591,0.17779858308139623,0.33501663232990186,4.190802883329703,3.9942858650625794,4.887795468184595,4.296653400867408,3.444739921812663,4.370499935850407,3.662576120293437
58,2025-02-28,0.31596238597178133,0.4825530518985432,0.2152466548878597,0.08331230047778718,0.1313404801490699,4.187346150870151,3.3262850145830276,4.034657941665429,,,3.7643973364236922,2.5693873615339307
59,2025-03-01,0.28081387932067503,0.6295630298681639,0.22385610977354994,0.24926609090718604,0.0,,3.1253772137895632,4.022247707396177,,,,3.2904724639103673
60,2025-03-02,0.3342326944295534,0.6411649657738634,0.2902000532304061,0.23766229956244903,0.0,3.931018009384638,3.5096182920542827,4.665363796591159,5.9049859546726795,,3.7782031744154954,3.6358042763633738
61,2025-03-03,0.3703926006653001,0.6327874647280504,0.3249416123813941,0.2369191402112377,0.15854613050548994,,3.8258319124621254,5.574138003859341,6.647699580674226,4.352241059670749,4.418405863046226,5.978028366278208
62,2025-03-04,0.314157057012293,0.5258254768207508,,0.2630130041238463,0.00507410591973978,,4.58283235741048,5.507061629476399,6.486188459755005,,4.301659731754848,4.892928704538085
63,2025-03-05,0.34233177148247057,0.45879707769697986,0.26622435407135314,0.1960525201453575,0.011273997003030497,,5.546453305668335,5.138128292730879,5.562085379689406,3.4587773997388265,4.6530479843110095,5.2140730587103965
64,2025-03-06,0.2598895133667329,0.32039794059685317,0.23982512000200137,0.24139194250498447,0.028867375604864087,3.630300164478479,5.09570181775657,4.120016658634528,4.772923873074611,3.174124113280293,4.727794852036695,4.550341155060007
65,2025-03-07,0.42487054376506816,0.3178628462075735,0.20392422336049867,0.3543401696041809,0.06998069526951908,3.005624523491801,4.394587742651757,4.060473728357269,4.2474524507021325,2.732162923074405,4.033366212986639,2.9159105010151096
66,2025-03-08,0.27546636593149976,,0.10712365763715237,0.27007785683467156,0.026014634645087256,2.8940854500784416,3.972700487889019,4.166864631917337,4.569720539792633,2.97841122855872,4.248931678250474,3.539395569425076
67,2025-03-09,0.3997064110174445,0.3639768708141672,0.13822356171043876,0.24077443502190035,0.0,2.6545451870551924,4.115212548951011,3.5038508479859374,4.604402324893674,3.6734030897284127,4.406209650450706,3.8820685394347225
68,2025-03-10,,0.41030712243445183,0.13025273295218112,,0.0,,4.5316995072658415,3.905452891542914,4.682092355332919,4.21866127755975,4.5071851918418036,4.491763772814295
69,2025-03-11,0.17827028684692556,,0.0,,0.0,4.085551034304073,5.260361096980937,4.338154104734989,5.800057951867998,4.004895972595257,4.811995502675957,
70,2025-03-12,0.002807522217129127,,0.04087513183258836,,,,6.271600585007867,5.123584179181862,7.426421117107308,4.940720551590061,5.6739412844023045,4.4730488223099165
71,2025-03-13,,0.5010274214171863,0.1868686525175167,,0.0,,7.220920255260572,,,4.3435908368824085,,4.10927257441179
72,2025-03-14,0.06133632121277249,0.657062608311087,0.22310117997609524,,0.0,,8.780254416174293,5.343289421694408,7.107647598344334,4.612566825940573,,5.071316827638081
73,2025-03-15,0.0,0.6697826027783843,,,0.0,6.326354538272952,9.284804890394176,4.6147687690921675,6.710022031433452,4.0458619995161005,7.080044417271445,5.8910997785250405
74,2025-03-16,0.0,0.3914618768402408,,,0.0,,8.203261197380757,3.81851618794039,6.891173812072083,4.257623152361276,5.255716859073209,5.436847869095637
75,2025-03-17,,0.26224523400780725,,0.2223882439164686,0.0,4.939558695516583,7.331206727151711,4.543385275831849,,3.875501419709633,4.714989002064467,5.255162878806645
76,2025-03-18,0.0,0.3424110421550867,,0.18915470565783027,,4.619504808753151,,5.324162183849021,,,4.478298928984478,
77,2025-03-19,0.008534316350021207,0.26978379248851514,,0.1583559331389806,0.0,4.0183969188503035,,,5.920864140017972,3.5611167516871833,3.959411187542188,5.079618974191305
78,2025-03-20,0.009468715705959627,0.39301646854986544,,0.27576196515629275,0.0,4.150465892772582,,4.809158155398271,,3.0884125459717757,3.558155368210008,4.393527776938652
79,2025-03-21,0.0,0.30638459433837556,,0.1825304342120715,0.0,4.341973327472527,3.5922650417996205,4.111457036889461,4.24797898875569,2.5841191241667407,,4.048360089279091
80,2025-03-22,0.10270694262398458,0.3378232856766732,0.16100378143437527,0.32384830497847183,0.0,,,3.320045038974475,,2.2349174836535504,2.9682390896551794,2.814260366645674
81,2025-03-23,0.16531196428559047,0.306262604775557,0.31568777941266307,,0.0,3.6348093091802096,3.574800750977497,3.0102109829593444,,,1.9276655299875003,2.458048765466343
82,2025-03-24,,0.16800629084010543,0.16432467500419026,0.22354027981713248,0.0,3.237424150543442,3.2748102423228245,3.570739153680255,,2.3948382557655714,2.4366043752380575,2.6827803055132455
83,2025-03-25,0.19510608384060224,0.19696489301366876,0.19979601745611023,0.27275129783042984,0.0,2.754022849754987,3.0354749173688917,2.9403198982550762,,2.7656172856631955,,3.2411843296600398
84,2025-03-26,0.15449030445444226,,0.10366327700180683,0.2739651465708487,0.0,2.7334445807320233,3.055365399913949,,3.3710735871013844,2.339358617370581,2.7135563917150174,2.652674836589481
85,2025-03-27,,0.1397363766396737,0.13823160524494874,0.4135054284201384,0.055486727114195805,,2.3471092918428376,3.314052157002049,3.964485605830774,2.852476072761699,2.4790133756319017,2.417229373726987
86,2025-03-28,0.36804818659673644,0.14940855201554243,0.0554098634172516,0.46366034973316517,0.01691598255590593,2.2779518889467587,2.577138276667181,4.085183085189398,3.8228878527059784,2.3754770260913367,2.609800329458307,
87,2025-03-29,0.3724405364697816,0.2650570171208287,0.01170006047310769,0.2526864496649195,0.18364703338325294,2.2860214700997132,2.1946818211038988,,3.6766355009874676,2.4264128664248195,2.8370329331196107,2.7902727391670497
88,2025-03-30,0.23807653624591557,0.29160442690267946,0.06111266994724413,,,2.329519794939104,2.2337495213625536,3.843324997198769,3.382180659502897,1.6377887669955649,3.8582411656066364,3.75827447277014
89,2025-03-31,0.1831011835752937,0.3185695316955928,0.2128190614587116,0.08734116209895545,0.13409596806638147,2.731916968401175,,4.150729462825611,3.9133472965708935,2.247262642687134,,4.57716603791598
90,2025-04-01,0.11664690427301755,0.31166673933549194,0.23642531530504393,,0.07547798663290556,3.429835335264852,3.0788645329885296,4.362674172650149,3.4201417907680867,,4.2398608785085665,5.027604209926496
91,2025-04-02,0.058865651405296524,0.35011320837825466,0.18310946208863452,0.06311508335276253,0.16142892167601774,2.939870364838573,3.325837227052221,3.369040036027254,3.9721892279774846,1.8883940089142779,4.541611642783082,4.716446569908804
92,2025-04-03,0.14790988616450923,0.3639212397984109,0.15988329485936498,0.1613882689732376,0.24105213797030295,,3.310647489655372,4.896375391483265,3.296613448314708,1.5755561379513652,4.690258126383584,4.055857205949555
93,2025-04-04,0.26182850735132457,0.3336595549688041,0.3056247784160595,,0.12557993209320123,3.1924696327135322,4.616222099005835,4.240177291919143,3.177726051003825,1.4877463027109874,4.470993322686862,3.462077369353807
94,2025-04-05,0.3713431056587624,0.3985548731470512,,0.2614077995272326,0.08875163996016794,3.16995709111494,4.677367588666323,3.23853423862077,2.898362221841308,1.787091538628827,3.4232581455597906,2.5310178529663423
95,2025-04-06,,0.42410506739758763,0.21227089180928488,0.31830387406762123,0.0,,4.282255241642733,4.4077958374234925,3.2462513261239807,,3.5176861336770884,2.4633789540823403
96,2025-04-07,0.44994774795672976,0.39501322887477797,0.25381947732445675,0.21666330642843773,0.0,2.7786886571380807,4.188959521702751,,3.699356480051003,4.532110442585645,4.180761088974377,
97,2025-04-08,0.5018796897819758,0.4570886768763699,0.05215370837737754,0.09599801994904515,0.0,,4.497735608605474,3.372770810208125,3.8676255870351044,2.4131375414987666,,3.335847772038066
98,2025-04-09,0.3519479206429638,0.41642973700242614,0.08036599340115866,0.13116785552346472,0.0,4.248925959492774,4.152832472193719,3.2992086925283592,4.042512369457356,2.679417982610145,3.8929096709782165,3.0444921957865345
99,2025-04-10,0.19708561996796234,0.4177835440675538,0.23410921813410895,0.1253559511573043,0.11446941784025891,5.668808358320283,4.108845388052867,3.4153804771157334,,2.5747901841639793,5.072938382989302,3.6585007635176177
100,2025-04-11,0.0,0.40608991483730167,0.26058774582661154,,0.19229648212693096,4.982088638178712,3.3699526619796565,3.8109675500835616,,3.3438547287633464,3.7866354849726545,
101,2025-04-12,0.09359408090032235,0.42653956891661154,0.2384301070566649,0.3248695471524183,0.26366483326745216,4.265597257875838,3.4076591494218995,,3.933700050539127,3.147247200335632,3.397250138058638,3.743769248838492
102,2025-04-13,0.010402420126640333,0.44561705879032143,0.19877659762954422,0.3671272430790965,0.04667962848421592,,,4.110303388436239,,,3.1176889607687666,4.296470109099484
103,2025-04-14,0.0,,0.37431670954434915,0.2724569418026022,0.0,4.718674590035297,3.3128408662225963,4.797855823064104,4.979651456822217,2.920628511468438,3.6707285585636584,4.308849317351845
104,2025-04-15,0.021287666928630444,0.3077908808594725,0.4971126755983622,0.2455299572455972,0.0,,3.6455922733287447,4.599116103020503,5.319325454288732,2.894138237182791,,
105,2025-04-16,,,0.5109314402212893,,0.0,,4.650145333049117,3.412940924052411,5.855918337724748,3.4144603912741016,3.4068209352172416,3.197864892659357
106,2025-04-17,0.04240496401859242,0.24775525305611032,0.41574004937131603,0.2188736341019939,0.0,,4.70339466021869,3.186910694594965,5.4670751373305135,3.735901353593157,,
107,2025-04-18,0.11038290328163254,,0.2402430882025227,,0.0,4.189100152274481,4.51687808328276,1.8709695778370732,4.716077431852103,,4.345724569187091,3.2249929460014415
108,2025-04-19,0.16663992207744246,0.5098382697229638,0.26091258716839727,0.16494395206004375,0.06009415492011559,,5.163699788389313,1.9135214007821009,5.735927094008709,4.480912834229795,4.338364950415325,
109,2025-04-20,0.0,0.5114824315356887,0.1285310085435302,0.3888818715833239,0.0,3.474818479363936,3.5051103534327126,3.08109137192468,,3.2360788931475515,4.697875246626406,
110,2025-04-21,0.0,0.5347559520737184,0.2395662397786707,0.2714523104966709,0.09093660399079037,3.142536447265757,3.2387900598691854,3.877782981867828,3.5988645868668927,3.336006629580676,,
111,2025-04-22,0.367661974264159,0.48823032756421714,,0.2621697770474369,0.0,3.2244255984487853,3.8266471776544098,,,3.1998807167785506,,4.790335083322035
112,2025-04-23,0.27688535209092574,0.37713075611906705,0.1662086240276096,0.15582405324588133,0.0,3.547578096124411,5.206841814729163,4.8334566073877605,,2.889853040615186,3.4964895327740027,
113,2025-04-24,0.11526040395835704,0.45246499756807806,0.48356387919782556,0.2652896684977502,0.13547393570236974,4.03043751903012,4.385878498644033,4.496934492318596,4.03453090997663,2.300886497361938,,6.331606970134716
114,2025-04-25,0.11123843901484667,0.2758529129294639,0.627483394321376,0.38712460020769124,0.12348432581455776,3.030047694593409,3.7567549351812084,,,,5.998603279361613,5.56020750941555
115,2025-04-26,0.21537143546712212,,0.614074707541538,0.23359142001627392,0.24379114663390497,,2.703576015628067,3.8273615810262505,3.205405311691447,2.16321607694465,6.346451022677721,4.416368246383576
116,2025-04-27,,0.17220515951086596,0.6736235628744984,,0.14660188906774763,3.153856242533906,2.252707813182754,4.575094312902602,2.932530155493587,2.2644974222358645,,3.391519683934721
117,2025-04-28,0.16567471727786498,0.0,0.6376203509345675,0.21223736634437043,0.4471090985501425,3.248324214043046,2.9235062584755753,,3.4338638396859134,3.2951722737320455,6.872161865931279,
118,2025-04-29,0.2503120630460492,0.09167132167652495,0.619963347227476,0.3395076125410629,0.45907791712390295,,2.585415004772652,,,3.7378840706134575,6.9082790366606215,3.5896701576154015
119,2025-04-30,0.3518337185253102,0.14464940949218874,0.4317544149033661,0.419534170376878,0.36327760228445055,3.6675945746606557,2.966672687955418,4.30087211338514,3.62769662853561,3.7263691573832523,6.5694140168469115,
120,2025-05-01,0.2831619213243891,0.1534188580583497,0.49927775524943196,0.6521007934485189,,,3.529247725232355,4.384001692738895,3.052244804629921,,6.718007616618278,
121,2025-05-02,,0.3479511789762423,0.33042348674716626,0.505081691807507,0.12840768306918776,2.0402547573611134,3.8065495681858392,2.476255210884445,4.598362012367279,2.949679071635531,7.316682186799689,4.9018511324204495
122,2025-05-03,0.3858061495081452,0.4086070793315072,0.1811216566816789,0.5541581187097973,0.1298335492038187,1.6704973674482648,3.332878752235393,1.0601474041035384,4.650915653786331,3.8579497081447434,7.360396158061938,3.9916054817547844
123,2025-05-04,0.41217975336870755,0.41526755963958806,0.16075063330818173,0.35947740652106,0.07898078423707296,0.0,3.1618174413064684,,4.6483895068293934,3.9542523035137425,,3.5741606442406435
124,2025-05-05,0.4149018675348425,0.31834101905108203,,,0.08297956577014198,,3.1414174131222303,,5.051376967572129,3.5030531260565887,7.166447280015973,4.090018340381294
125,2025-05-06,0.36581016315773873,0.10091824885414127,0.46128213876202917,0.5028687919019657,0.15482496816378957,3.027640136997226,3.2409367545588124,3.2371795682193945,,3.64886909360138,6.43546604813633,3.864460316724635
126,2025-05-07,0.3872875907043368,0.1713153138913429,0.4941499350646978,0.5350423254293227,0.1250072065450226,3.028602578943482,2.839730672338317,,5.707124486058818,3.6040503713369603,6.74057077082515,3.8529749065063665
127,2025-05-08,,0.08152392367207979,0.5503290294040845,0.6114257356461115,0.21376315783587327,,3.053935257802312,5.019429313664737,4.894840154739512,3.0683777765602085,7.071047288960241,4.362408228950313
128,2025-05-09,0.2951586057462725,0.04426843414120685,0.5378270076779692,0.6991760457009759,0.14487710092164352,3.048200738383555,3.9588478714211854,6.183856703301304,5.182266786738382,3.86482839621827,7.365290026522967,3.3976218343579125
129,2025-05-10,,,0.5671851827208375,0.6184949240895129,0.20171184736194248,3.1479777355898237,4.70116118889753,6.155130780129333,5.4348973781075856,2.9649276946035448,,4.148349229063791
130,2025-05-11,,0.0499032979077903,0.5362642334290008,0.5538453992270702,0.2231763619700899,3.463596679825056,4.912156481404988,5.355007566261873,4.415555340248325,2.37609789723821,,
131,2025-05-12,,0.07143912615277498,0.6916140739991551,0.538982671602448,0.25444533988404594,,4.706386518088664,6.336138319131298,4.549066053766021,,6.996446097504596,3.406892430471345
132,2025-05-13,,0.2531273327114808,0.5926836579639689,0.5242195180610768,0.29114860861852404,,,6.045941862358072,5.331259962342887,3.5818569941388247,8.027503140421619,3.277494616712065
133,2025-05-14,,,0.3926832391841283,0.6155718235828602,0.2863065953734189,2.8195465632069223,4.594040463790213,5.795513050578657,5.968074132806339,4.4322318525433015,7.71011158326805,3.5388881110521324
134,2025-05-15,,0.23976799585448375,0.5692027672535235,0.5565008382265725,,3.337919480237601,,6.650364776649679,6.198901833738219,4.271734749631339,6.6406553062609515,2.9088447482802566
135,2025-05-16,,0.3247831987428641,0.6047128925799796,0.49103070204691907,0.39249459822134664,3.7631233392248435,,5.643037549068161,5.215313513596451,4.183705586240707,5.70811929064667,
136,2025-05-17,,0.15842268943434093,0.6859459214108778,0.5305348353226551,0.3975170053719148,4.7857302236211465,,5.4738493729202995,6.516152261721899,4.482736358099127,5.139667021441495,2.4534861144158526
137,2025-05-18,,0.421261236230995,0.8692353111744092,0.6041299791833187,0.1766875457860627,3.518395395493032,,,,5.217770679163484,5.288897011792745,3.1935661887364004
138,2025-05-19,0.2982639839175418,0.33535807685420654,0.7706581408349723,0.4030407124381148,0.14794913692255038,,3.6059433892135067,5.330674441607888,5.375795025410678,5.504442827903525,6.03752034275425,3.3451837866623357
139,2025-05-20,0.23039089268796398,0.3879510370255469,0.8310023478483357,0.564613333251475,0.2778243625673015,3.0690929137916836,3.7101789576478383,5.5166809262856,5.596567737842012,4.517828629894276,6.59336648761315,3.710139470628811
140,2025-05-21,0.23027156366317897,0.23570677801945608,0.9378067453706326,0.43508076956361375,0.3827355446685784,4.2030850807393625,4.561886577533112,6.811307882840107,,,5.138908487974161,3.581382196584428
141,2025-05-22,,0.3604384013831845,0.8524440616550424,0.6392025412577614,0.4617030109409912,,4.265529470199898,6.589075944297468,4.877358631333076,3.858277364592797,,
142,2025-05-23,0.3072421709294387,0.19646782045119882,0.7700976418861688,,0.20491416396502715,,3.5888016087640784,5.918365085989009,4.582093710569805,4.492202803186509,3.655305962587197,
143,2025-05-24,0.3209733590156179,0.20013323631210322,,0.36673690446635465,0.12414150970883914,4.773333400941246,3.4598734549782795,5.946048404587235,5.795139122790524,5.253209429844433,,
144,2025-05-25,,0.1903372230324557,0.4110908204332189,0.49701917482315083,0.05504245640305702,4.245267702869102,3.2774222348245097,6.885495685827965,5.872832898041383,,3.874428210343527,
145,2025-05-26,0.1908906348606959,0.17282711493809066,0.526011065641329,0.5042258511979835,0.13924564737953088,5.194371524934774,,5.884011348936892,5.155048954339494,6.796627314251911,,
146,2025-05-27,0.0,0.017060864225638295,0.6041442256409552,,0.17307654322878493,5.373382597466434,3.2955687010863697,,5.818362574148219,7.207577769595945,5.917629545932279,
147,2025-05-28,0.0,,,0.5129411280810114,0.1340252925983282,5.083750556999179,2.8219612617747583,5.736288963186174,,6.284876325609844,5.374639778057086,
148,2025-05-29,0.13449340006784588,,0.49031907295841376,,0.14707725267363086,5.705961409168235,2.6911942184373356,,6.582724458342606,5.278011803458559,5.261275706095036,
