pseudoprofile_id,predictor_var_id,criterion_var_id,relevance_score_0_1_comma5,relevance_score_0_1_float
pseudoprofile_FTC_ID017,P02,C03,"0,65000",0.65
pseudoprofile_FTC_ID017,P02,C04,"0,68000",0.68
pseudoprofile_FTC_ID017,P02,C05,"0,88000",0.88
pseudoprofile_FTC_ID017,P02,C06,"0,70000",0.7
pseudoprofile_FTC_ID017,P03,C01,"0,58000",0.58
pseudoprofile_FTC_ID017,P03,C02,"0,72000",0.72
pseudoprofile_FTC_ID017,P03,C03,"0,66000",0.66
pseudoprofile_FTC_ID017,P03,C04,"0,55000",0.55
pseudoprofile_FTC_ID017,P03,C05,"0,66000",0.66
pseudoprofile_FTC_ID017,P03,C06,"0,60000",0.6
pseudoprofile_FTC_ID017,P04,C01,"0,78000",0.78
pseudoprofile_FTC_ID017,P04,C02,"0,62000",0.62
pseudoprofile_FTC_ID017,P04,C03,"0,50000",0.5
pseudoprofile_FTC_ID017,P04,C04,"0,70000",0.7
pseudoprofile_FTC_ID017,P04,C05,"0,48000",0.48
pseudoprofile_FTC_ID017,P04,C06,"0,55000",0.55
pseudoprofile_FTC_ID017,P05,C01,"0,50000",0.5
pseudoprofile_FTC_ID017,P05,C02,"0,65000",0.65
pseudoprofile_FTC_ID017,P05,C03,"0,58000",0.58
pseudoprofile_FTC_ID017,P05,C04,"0,52000",0.52
pseudoprofile_FTC_ID017,P05,C05,"0,60000",0.6
pseudoprofile_FTC_ID017,P05,C06,"0,40000",0.4
pseudoprofile_FTC_ID017,P06,C01,"0,68000",0.68
pseudoprofile_FTC_ID017,P06,C02,"0,60000",0.6
pseudoprofile_FTC_ID017,P06,C03,"0,62000",0.62
pseudoprofile_FTC_ID017,P06,C04,"0,70000",0.7
pseudoprofile_FTC_ID017,P06,C05,"0,76000",0.76
pseudoprofile_FTC_ID017,P06,C06,"0,65000",0.65
pseudoprofile_FTC_ID040,P01,C01,"0,80000",0.8
pseudoprofile_FTC_ID040,P01,C02,"0,75000",0.75
pseudoprofile_FTC_ID040,P01,C03,"0,78000",0.78
pseudoprofile_FTC_ID040,P01,C04,"0,70000",0.7
pseudoprofile_FTC_ID040,P01,C06,"0,65000",0.65
pseudoprofile_FTC_ID040,P02,C01,"0,60000",0.6
pseudoprofile_FTC_ID040,P02,C02,"0,62000",0.62
pseudoprofile_FTC_ID040,P02,C03,"0,70000",0.7
pseudoprofile_FTC_ID040,P02,C04,"0,68000",0.68
pseudoprofile_FTC_ID040,P02,C06,"0,69000",0.69
pseudoprofile_FTC_ID040,P03,C01,"0,50000",0.5
pseudoprofile_FTC_ID040,P03,C02,"0,43000",0.43
pseudoprofile_FTC_ID040,P03,C03,"0,44000",0.44
pseudoprofile_FTC_ID040,P03,C04,"0,46000",0.46
pseudoprofile_FTC_ID040,P03,C06,"0,75000",0.75
pseudoprofile_FTC_ID040,P04,C01,"0,52000",0.52
pseudoprofile_FTC_ID040,P04,C02,"0,54000",0.54
pseudoprofile_FTC_ID040,P04,C03,"0,50000",0.5
pseudoprofile_FTC_ID040,P04,C04,"0,65000",0.65
pseudoprofile_FTC_ID040,P04,C06,"0,58000",0.58
pseudoprofile_FTC_ID040,P05,C01,"0,60000",0.6
pseudoprofile_FTC_ID040,P05,C02,"0,64000",0.64
pseudoprofile_FTC_ID040,P05,C03,"0,52000",0.52
pseudoprofile_FTC_ID040,P05,C04,"0,68000",0.68
pseudoprofile_FTC_ID040,P05,C06,"0,62000",0.62
pseudoprofile_FTC_ID033,P01,C01,"0,85000",0.85
pseudoprofile_FTC_ID033,P01,C02,"0,75000",0.75
pseudoprofile_FTC_ID033,P01,C03,"0,70000",0.7
pseudoprofile_FTC_ID033,P01,C04,"0,50000",0.5
pseudoprofile_FTC_ID033,P01,C05,"0,25000",0.25
pseudoprofile_FTC_ID033,P01,C06,"0,60000",0.6
pseudoprofile_FTC_ID033,P02,C01,"0,60000",0.6
pseudoprofile_FTC_ID033,P02,C02,"0,65000",0.65
pseudoprofile_FTC_ID033,P02,C03,"0,50000",0.5
pseudoprofile_FTC_ID033,P02,C04,"0,70000",0.7
pseudoprofile_FTC_ID033,P02,C05,"0,55000",0.55
pseudoprofile_FTC_ID033,P02,C06,"0,65000",0.65
pseudoprofile_FTC_ID033,P03,C01,"0,55000",0.55
pseudoprofile_FTC_ID033,P03,C02,"0,60000",0.6
pseudoprofile_FTC_ID033,P03,C03,"0,65000",0.65
pseudoprofile_FTC_ID033,P03,C04,"0,40000",0.4
pseudoprofile_FTC_ID033,P03,C05,"0,60000",0.6
pseudoprofile_FTC_ID033,P03,C06,"0,50000",0.5
pseudoprofile_FTC_ID033,P04,C01,"0,40000",0.4
pseudoprofile_FTC_ID033,P04,C02,"0,50000",0.5
pseudoprofile_FTC_ID033,P04,C03,"0,60000",0.6
pseudoprofile_FTC_ID033,P04,C04,"0,50000",0.5
pseudoprofile_FTC_ID033,P04,C05,"0,45000",0.45
pseudoprofile_FTC_ID033,P04,C06,"0,55000",0.55
pseudoprofile_FTC_ID018,P01,C01,"0,85000",0.85
pseudoprofile_FTC_ID018,P01,C02,"0,60000",0.6
pseudoprofile_FTC_ID018,P01,C03,"0,50000",0.5
pseudoprofile_FTC_ID018,P01,C04,"0,60000",0.6
pseudoprofile_FTC_ID018,P01,C05,"0,60000",0.6
pseudoprofile_FTC_ID018,P02,C01,"0,70000",0.7
pseudoprofile_FTC_ID018,P02,C02,"0,50000",0.5
pseudoprofile_FTC_ID018,P02,C03,"0,60000",0.6
pseudoprofile_FTC_ID018,P02,C04,"0,50000",0.5
pseudoprofile_FTC_ID018,P02,C05,"0,65000",0.65
pseudoprofile_FTC_ID018,P03,C01,"0,60000",0.6
pseudoprofile_FTC_ID018,P03,C02,"0,50000",0.5
pseudoprofile_FTC_ID018,P03,C03,"0,40000",0.4
pseudoprofile_FTC_ID018,P03,C04,"0,40000",0.4
pseudoprofile_FTC_ID018,P03,C05,"0,35000",0.35
pseudoprofile_FTC_ID018,P04,C01,"0,70000",0.7
pseudoprofile_FTC_ID018,P04,C02,"0,50000",0.5
pseudoprofile_FTC_ID018,P04,C03,"0,35000",0.35
pseudoprofile_FTC_ID018,P04,C04,"0,75000",0.75
pseudoprofile_FTC_ID018,P04,C05,"0,80000",0.8
pseudoprofile_FTC_ID018,P05,C01,"0,70000",0.7
pseudoprofile_FTC_ID018,P05,C02,"0,30000",0.3
pseudoprofile_FTC_ID018,P05,C03,"0,55000",0.55
pseudoprofile_FTC_ID018,P05,C04,"0,55000",0.55
pseudoprofile_FTC_ID018,P05,C05,"0,70000",0.7
pseudoprofile_FTC_ID013,P01,C01,"0,90000",0.9
pseudoprofile_FTC_ID013,P01,C02,"0,80000",0.8
pseudoprofile_FTC_ID013,P01,C03,"0,80000",0.8
pseudoprofile_FTC_ID013,P01,C04,"0,60000",0.6
pseudoprofile_FTC_ID013,P01,C05,"0,65000",0.65
pseudoprofile_FTC_ID013,P01,C06,"0,70000",0.7
pseudoprofile_FTC_ID013,P02,C01,"0,85000",0.85
pseudoprofile_FTC_ID013,P02,C02,"0,30000",0.3
pseudoprofile_FTC_ID013,P02,C03,"0,40000",0.4
pseudoprofile_FTC_ID013,P02,C04,"0,65000",0.65
pseudoprofile_FTC_ID013,P02,C05,"0,40000",0.4
pseudoprofile_FTC_ID013,P02,C06,"0,50000",0.5
pseudoprofile_FTC_ID013,P03,C01,"0,60000",0.6
pseudoprofile_FTC_ID013,P03,C02,"0,75000",0.75
pseudoprofile_FTC_ID013,P03,C03,"0,80000",0.8
pseudoprofile_FTC_ID013,P03,C04,"0,80000",0.8
pseudoprofile_FTC_ID013,P03,C05,"0,70000",0.7
pseudoprofile_FTC_ID013,P03,C06,"0,60000",0.6
pseudoprofile_FTC_ID013,P04,C01,"0,30000",0.3
pseudoprofile_FTC_ID013,P04,C02,"0,40000",0.4
pseudoprofile_FTC_ID013,P04,C03,"0,50000",0.5
pseudoprofile_FTC_ID013,P04,C04,"0,40000",0.4
pseudoprofile_FTC_ID013,P04,C05,"0,85000",0.85
pseudoprofile_FTC_ID013,P04,C06,"0,60000",0.6
pseudoprofile_FTC_ID013,P05,C01,"0,35000",0.35
pseudoprofile_FTC_ID013,P05,C02,"0,45000",0.45
pseudoprofile_FTC_ID013,P05,C03,"0,60000",0.6
pseudoprofile_FTC_ID013,P05,C04,"0,30000",0.3
pseudoprofile_FTC_ID013,P05,C05,"0,80000",0.8
pseudoprofile_FTC_ID013,P05,C06,"0,65000",0.65
pseudoprofile_FTC_ID013,P01,C01_C02_C03_C04_C05_C06_targets,"0,65000",0.65
pseudoprofile_FTC_ID013,P02,C01_C02_C03_C04_C05_C06_targets,"0,60000",0.6
pseudoprofile_FTC_ID013,P03,C01_C02_C03_C04_C05_C06_targets,"0,70000",0.7
pseudoprofile_FTC_ID013,P04,C01_C02_C03_C04_C05_C06_targets,"0,55000",0.55
pseudoprofile_FTC_ID013,P05,C01_C02_C03_C04_C05_C06_targets,"0,50000",0.5
pseudoprofile_FTC_ID009,P01,C01,"0,70000",0.7
pseudoprofile_FTC_ID009,P01,C02,"0,60000",0.6
pseudoprofile_FTC_ID009,P01,C03,"0,40000",0.4
pseudoprofile_FTC_ID009,P01,C04,"0,50000",0.5
pseudoprofile_FTC_ID009,P01,C05,"0,65000",0.65
pseudoprofile_FTC_ID009,P01,C06,"0,45000",0.45
pseudoprofile_FTC_ID009,P02,C01,"0,60000",0.6
pseudoprofile_FTC_ID009,P02,C02,"0,80000",0.8
pseudoprofile_FTC_ID009,P02,C03,"0,70000",0.7
pseudoprofile_FTC_ID009,P02,C04,"0,50000",0.5
pseudoprofile_FTC_ID009,P02,C05,"0,60000",0.6
pseudoprofile_FTC_ID009,P02,C06,"0,70000",0.7
pseudoprofile_FTC_ID009,P03,C01,"0,75000",0.75
pseudoprofile_FTC_ID009,P03,C02,"0,60000",0.6
pseudoprofile_FTC_ID009,P03,C03,"0,55000",0.55
pseudoprofile_FTC_ID009,P03,C04,"0,65000",0.65
pseudoprofile_FTC_ID009,P03,C05,"0,55000",0.55
pseudoprofile_FTC_ID009,P03,C06,"0,50000",0.5
pseudoprofile_FTC_ID009,P04,C01,"0,30000",0.3
pseudoprofile_FTC_ID009,P04,C02,"0,60000",0.6
pseudoprofile_FTC_ID009,P04,C03,"0,70000",0.7
pseudoprofile_FTC_ID009,P04,C04,"0,25000",0.25
pseudoprofile_FTC_ID009,P04,C05,"0,60000",0.6
pseudoprofile_FTC_ID009,P04,C06,"0,40000",0.4
pseudoprofile_FTC_ID009,P05,C01,"0,50000",0.5
pseudoprofile_FTC_ID009,P05,C02,"0,60000",0.6
pseudoprofile_FTC_ID009,P05,C03,"0,60000",0.6
pseudoprofile_FTC_ID009,P05,C04,"0,50000",0.5
pseudoprofile_FTC_ID009,P05,C05,"0,65000",0.65
pseudoprofile_FTC_ID009,P05,C06,"0,40000",0.4
pseudoprofile_FTC_ID016,P01,C01,"0,45000",0.45
pseudoprofile_FTC_ID016,P01,C02,"0,42000",0.42
pseudoprofile_FTC_ID016,P01,C03,"0,90000",0.9
pseudoprofile_FTC_ID016,P01,C04,"0,36000",0.36
pseudoprofile_FTC_ID016,P01,C05,"0,38000",0.38
pseudoprofile_FTC_ID016,P01,C06,"0,24000",0.24
pseudoprofile_FTC_ID016,P01,C07,"0,41000",0.41
pseudoprofile_FTC_ID016,P02,C01,"0,70000",0.7
pseudoprofile_FTC_ID016,P02,C02,"0,52000",0.52
pseudoprofile_FTC_ID016,P02,C03,"0,55000",0.55
pseudoprofile_FTC_ID016,P02,C04,"0,42000",0.42
pseudoprofile_FTC_ID016,P02,C05,"0,42000",0.42
pseudoprofile_FTC_ID016,P02,C06,"0,52000",0.52
pseudoprofile_FTC_ID016,P02,C07,"0,48000",0.48
pseudoprofile_FTC_ID016,P03,C01,"0,41000",0.41
pseudoprofile_FTC_ID016,P03,C02,"0,52000",0.52
pseudoprofile_FTC_ID016,P03,C03,"0,52000",0.52
pseudoprofile_FTC_ID016,P03,C04,"0,83000",0.83
pseudoprofile_FTC_ID016,P03,C05,"0,42000",0.42
pseudoprofile_FTC_ID016,P03,C06,"0,42000",0.42
pseudoprofile_FTC_ID016,P03,C07,"0,52000",0.52
pseudoprofile_FTC_ID016,P04,C01,"0,36000",0.36
pseudoprofile_FTC_ID016,P04,C02,"0,42000",0.42
pseudoprofile_FTC_ID016,P04,C03,"0,44000",0.44
pseudoprofile_FTC_ID016,P04,C04,"0,42000",0.42
pseudoprofile_FTC_ID016,P04,C05,"0,95000",0.95
pseudoprofile_FTC_ID016,P04,C06,"0,42000",0.42
pseudoprofile_FTC_ID016,P04,C07,"0,42000",0.42
pseudoprofile_FTC_ID016,P05,C01,"0,42000",0.42
pseudoprofile_FTC_ID016,P05,C02,"0,78000",0.78
pseudoprofile_FTC_ID016,P05,C03,"0,52000",0.52
pseudoprofile_FTC_ID016,P05,C04,"0,52000",0.52
pseudoprofile_FTC_ID016,P05,C05,"0,42000",0.42
pseudoprofile_FTC_ID016,P05,C06,"0,54000",0.54
pseudoprofile_FTC_ID016,P05,C07,"0,60000",0.6
pseudoprofile_FTC_ID023,P01,C01,"0,92000",0.92
pseudoprofile_FTC_ID023,P01,C02,"0,88000",0.88
pseudoprofile_FTC_ID023,P01,C03,"0,60000",0.6
pseudoprofile_FTC_ID023,P01,C04,"0,68000",0.68
pseudoprofile_FTC_ID023,P01,C05,"0,72000",0.72
pseudoprofile_FTC_ID023,P01,C06,"0,55000",0.55
pseudoprofile_FTC_ID023,P02,C01,"0,75000",0.75
pseudoprofile_FTC_ID023,P02,C02,"0,70000",0.7
pseudoprofile_FTC_ID023,P02,C03,"0,40000",0.4
pseudoprofile_FTC_ID023,P02,C04,"0,60000",0.6
pseudoprofile_FTC_ID023,P02,C05,"0,50000",0.5
pseudoprofile_FTC_ID023,P02,C06,"0,45000",0.45
pseudoprofile_FTC_ID023,P03,C01,"0,70000",0.7
pseudoprofile_FTC_ID023,P03,C02,"0,55000",0.55
