pseudoprofile_id,from_predictor_var_id,to_criterion_var_id,expected_sign,lag_spec,notes
pseudoprofile_FTC_ID008,P06,C03,-,0-24h,Improved sleep reduces headache susceptibility the following day.
pseudoprofile_FTC_ID008,P01,C05,-,0-6h,PMR can increase relaxation ability on the same day.
pseudoprofile_FTC_ID008,P02,C01,-,0-6h,Improved awareness enables earlier corrective action reducing tension.
pseudoprofile_FTC_ID008,P08,C04,-,6-48h,Supportive contact reduces perceived threat across days.
pseudoprofile_FTC_ID018,P01,C01,-,0-6h,"Behavioral activation expected to reduce immediate evening bleakness; strong, proximal effect."
pseudoprofile_FTC_ID018,P02,C03,+,0-0h,Objective screen_time is the operational signal for prolonged passive phone use; near-immediate association.
pseudoprofile_FTC_ID018,P03,C04,-,12-24h,Prior-night sleep quality/timing strongly affects next-day/evening perceived energy.
pseudoprofile_FTC_ID018,P06,C04,-,0-6h,Perceived initiation self-efficacy strongly inversely related to perceived effort barrier; treat as mediator.
pseudoprofile_FTC_ID018,P05,C05,-,0-6h,Mindfulness/acceptance skills reduce avoidant phone use function in the near term.
pseudoprofile_FTC_ID018,P02,C01,nonlinear,0-6h,Screen-time often increases bleakness but effect can be moderated by content (social contact vs passive doomscrolling).
pseudoprofile_FTC_ID018,P04,C01,-,0-6h,Supportive social contact expected to reduce bleak mood in short term.
pseudoprofile_FTC_ID018,P07,C03,-,0-6h,Viewing feedback and engaging with a plan often reduces screen-time via substitution or limits.
pseudoprofile_FTC_ID018,P01,C03,-,0-6h,Activation is expected to substitute for passive scrolling in the same window.
pseudoprofile_FTC_ID018,P06,C01,-,0-6h,Higher initiation self-efficacy reduces bleak mood via increased action.
pseudoprofile_FTC_ID015,P01,C05,-,0-24h,Better subjective sleep last night expected to reduce next-day overwhelm.
pseudoprofile_FTC_ID015,P03,C04,-,0-6h,Self-compassion practice expected to reduce guilt quickly.
pseudoprofile_FTC_ID015,P05,C03,-,0-24h,Perceived validation/support reduces perceived entrapment.
pseudoprofile_FTC_ID015,P06,C03,-,0-24h,Additional respite hours directly lower entrapment and overwhelm.
pseudoprofile_FTC_ID015,P04,C07,-,0-6h,Cognitive reappraisal reduces immediate self-criticism.
pseudoprofile_FTC_ID015,P07,C06,-,0-6h,Activity bursts may reduce tearfulness within hours.
pseudoprofile_FTC_ID015,P08,C06,nonlinear,0-6h,Screen time may have U-shaped effects on tearfulness (short contact vs prolonged passive browsing).
pseudoprofile_FTC_ID016,P01,C03,-,0-6h,Reappraisal is expected to reduce immediate threat appraisals within hours.
pseudoprofile_FTC_ID016,P02,C06,-,0-24h,Interoceptive exposure should reduce interoceptive hypervigilance over hours to days.
pseudoprofile_FTC_ID016,P04,C05,-,0-24h,Graded exposure increases leaving-home behavior and reduces avoidance over daily lags.
pseudoprofile_FTC_ID016,P07,C01,+,0-6h,HR spike counts likely co-occur with or precede self-reported somatic episode intensity in the same window.
pseudoprofile_FTC_ID016,P05,C01,-,0-24h,Better sleep expected to reduce next-day somatic sensitivity and intensity.
pseudoprofile_FTC_ID016,P03,C02,-,0-6h,Distress-tolerance breathing can rapidly reduce distress about unpredictable symptoms.
pseudoprofile_FTC_ID016,P08,C04,-,24-48h,Psychoeducation can increase acceptance of reassurance over days.
pseudoprofile_FTC_ID016,P02,C01,-,0-24h,Interoceptive exposure is expected to reduce perceived intensity via inhibitory learning.
pseudoprofile_FTC_ID016,P04,C07,-,6-48h,Exposure/activation should decrease functional interference over several days as confidence increases.
pseudoprofile_FTC_ID006,P01,C01,-,24-72h,"Indirect, slower circadian-mediated reduction in night replay expected over days."
pseudoprofile_FTC_ID006,P01,C02,-,24-72h,Phase-stabilization reduces future-oriented worry vulnerability over days.
pseudoprofile_FTC_ID006,P01,C03,-,12-72h,Moderate circadian-driven reduction in global hyperarousal.
pseudoprofile_FTC_ID006,P01,C04,-,24-168h,Strong phase-shifting effect expected over days to weeks.
pseudoprofile_FTC_ID006,P01,C05,-,0-24h,Acute morning light improves next-hour mood.
pseudoprofile_FTC_ID006,P02,C01,+,0-12h,Higher evening screen minutes expected to increase replay that same night.
pseudoprofile_FTC_ID006,P02,C02,+,0-12h,Screen engagement can amplify anticipatory worry in the evening.
pseudoprofile_FTC_ID006,P02,C03,+,0-12h,Direct arousal effect in the same evening.
pseudoprofile_FTC_ID006,P02,C04,+,0-24h,Higher evening screens associated with later sleep onset that night.
pseudoprofile_FTC_ID006,P02,C05,+,8-24h,Indirect via poorer sleep leading to greater next-morning irritability.
pseudoprofile_FTC_ID006,P03,C01,-,0-12h,Wind-down reduces immediate propensity to replay conversations at night.
pseudoprofile_FTC_ID006,P03,C02,-,0-12h,Reduces anticipatory worry that evening.
pseudoprofile_FTC_ID006,P03,C03,-,0-12h,Strong expectation for reduced hyperarousal same night.
pseudoprofile_FTC_ID006,P03,C04,-,0-24h,Improved wind-down can facilitate earlier sleep onset that night.
pseudoprofile_FTC_ID006,P03,C05,-,8-24h,Indirect effect via improved sleep.
pseudoprofile_FTC_ID006,P04,C01,-,0-12h,Expressive writing expected to reduce immediate replay content that night.
pseudoprofile_FTC_ID006,P04,C02,-,0-12h,Strong direct effect on future-oriented worry containment.
pseudoprofile_FTC_ID006,P04,C03,-,0-12h,Should lower cognitive activation for sleep onset.
pseudoprofile_FTC_ID006,P04,C04,-,0-24h,Moderate effect plausible on sleep onset the same night.
pseudoprofile_FTC_ID006,P04,C05,-,8-24h,Indirect improvement in morning irritability via sleep quality.
pseudoprofile_FTC_ID006,P05,C01,-,0-24h,Stimulus control may modestly reduce in-bed replay.
pseudoprofile_FTC_ID006,P05,C02,-,0-24h,May modestly reduce in-bed anticipatory worry.
pseudoprofile_FTC_ID006,P05,C03,-,0-12h,Reduces conditioned arousal in bed.
pseudoprofile_FTC_ID006,P05,C04,-,24-72h,Stimulus control effects accrue over days to improve sleep onset.
pseudoprofile_FTC_ID006,P05,C05,-,8-72h,Indirect via improved sleep; effect size likely small.
pseudoprofile_FTC_ID006,P06,C01,-,0-12h,Worry-time may reduce nightly replay modestly.
pseudoprofile_FTC_ID006,P06,C02,-,0-12h,Direct containment effect on anticipatory worry.
pseudoprofile_FTC_ID006,P06,C03,-,0-12h,Reduces evening cognitive activation.
pseudoprofile_FTC_ID006,P06,C04,-,0-24h,May modestly improve same-night sleep onset.
pseudoprofile_FTC_ID006,P06,C05,-,8-24h,Indirect via sleep improvements.
pseudoprofile_FTC_ID006,P07,C01,-,0-12h,Environment improvements modestly reduce triggers for replay.
pseudoprofile_FTC_ID006,P07,C02,-,0-12h,Better environment reduces disturbances that promote worry.
pseudoprofile_FTC_ID006,P07,C03,-,0-12h,Direct effect on physiological/sensory arousal during night.
pseudoprofile_FTC_ID006,P07,C04,-,0-24h,Strong immediate effect on sleep onset via environment.
pseudoprofile_FTC_ID006,P07,C05,-,8-24h,Environment-driven sleep quality improvements reduce morning irritability.
pseudoprofile_FTC_ID006,P08,C01,-,24-72h,Morning anchor has slow indirect effects on night replay via circadian stabilization.
pseudoprofile_FTC_ID006,P08,C02,-,24-72h,Indirect effect via improved regulation.
pseudoprofile_FTC_ID006,P08,C03,-,12-72h,Circadian alignment reduces hyperarousal over days.
pseudoprofile_FTC_ID006,P08,C04,-,24-168h,Morning routine supports phase advance over days to weeks.
pseudoprofile_FTC_ID006,P08,C05,-,0-6h,Immediate positive impact on morning irritability expected within hours.
pseudoprofile_FTC_ID041,P01,C01,-,0-24h,Imagery rehearsal before bed expected to reduce next-night nightmare awakenings.
pseudoprofile_FTC_ID041,P01,C02,-,0-24h,Direct effect on vividness/realism.
pseudoprofile_FTC_ID041,P01,C03,-,0-24h,May reduce anticipatory fear by increasing perceived control.
pseudoprofile_FTC_ID041,P01,C04,-,0-24h,Indirect reduction in autonomic arousal intensity.
pseudoprofile_FTC_ID041,P01,C05,-,0-24h,May shorten time-to-calm after awakenings.
pseudoprofile_FTC_ID041,P01,C06,-,0-24h,Reduces difficulty resuming sleep via lower intensity imagery.
pseudoprofile_FTC_ID041,P02,C01,-,0-24h,Presleep routine reduces baseline arousal and may reduce awakenings.
pseudoprofile_FTC_ID041,P02,C02,-,0-24h,Modest effect on vividness via lowered presleep activation.
pseudoprofile_FTC_ID041,P02,C03,-,0-12h,Immediate effect on anticipatory fear at bedtime.
pseudoprofile_FTC_ID041,P02,C04,-,0-24h,Reduces likelihood/intensity of autonomic spikes by lowering baseline arousal.
pseudoprofile_FTC_ID041,P02,C05,-,0-24h,Supports faster downregulation after awakenings.
pseudoprofile_FTC_ID041,P02,C06,-,0-24h,Improves sleep maintenance and resumption.
pseudoprofile_FTC_ID041,P03,C01,unknown,0-6h,Immediate grounding likely does not change occurrence of nightmares; uncertain impact on future occurrences.
pseudoprofile_FTC_ID041,P03,C02,unknown,0-6h,Little direct effect on content vividness.
pseudoprofile_FTC_ID041,P03,C03,-,0-24h,May increase perceived coping and reduce anticipatory fear over time.
pseudoprofile_FTC_ID041,P03,C04,-,0-6h,Direct immediate downregulation of autonomic arousal.
pseudoprofile_FTC_ID041,P03,C05,-,0-6h,Shortens time-to-calm after awakening.
pseudoprofile_FTC_ID041,P03,C06,-,0-6h,Facilitates returning to sleep by reducing hyperarousal.
pseudoprofile_FTC_ID041,P04,C01,-,0-24h,Improved environment reduces awakenings due to external triggers.
pseudoprofile_FTC_ID041,P04,C02,unknown,0-24h,Indirect and small relationship to dream vividness.
pseudoprofile_FTC_ID041,P04,C03,-,0-24h,Comfort reduces pre-sleep vigilance.
pseudoprofile_FTC_ID041,P04,C04,-,0-24h,Less external stimulation reduces reflex autonomic responses.
pseudoprofile_FTC_ID041,P04,C05,-,0-24h,Environment supports faster settling.
pseudoprofile_FTC_ID041,P04,C06,-,0-24h,Reduced noise/light aids return to sleep.
pseudoprofile_FTC_ID041,P05,C01,unknown,24-72h,Physiological training effects may be cumulative and only indirectly reduce occurrence.
pseudoprofile_FTC_ID041,P05,C02,unknown,24-72h,Little direct effect on dream content.
pseudoprofile_FTC_ID041,P05,C03,-,0-24h,Improved autonomic control reduces bedtime anticipatory hyperarousal.
pseudoprofile_FTC_ID041,P05,C04,-,0-6h,Direct mapping to autonomic arousal; training/practice can reduce spike magnitude.
pseudoprofile_FTC_ID041,P05,C05,-,0-6h,Parasympathetic activation shortens time-to-calm.
pseudoprofile_FTC_ID041,P05,C06,-,0-24h,Better autonomic tone supports resumption of sleep.
pseudoprofile_FTC_ID041,P06,C01,-,0-24h,Stimulus control reduces conditioned awakenings and secondary awakenings.
pseudoprofile_FTC_ID041,P06,C02,unknown,0-24h,Little direct effect on dream vividness.
pseudoprofile_FTC_ID041,P06,C03,-,0-24h,Reduces bedtime vigilance and threat-checking behaviors.
pseudoprofile_FTC_ID041,P06,C04,-,0-24h,May modestly reduce autonomic arousal triggered by checking behaviors.
pseudoprofile_FTC_ID041,P06,C05,-,0-24h,Supports strategies that facilitate returning to sleep.
pseudoprofile_FTC_ID041,P06,C06,-,0-24h,Strong link to improving resumption of sleep via behavioral rules.
pseudoprofile_FTC_ID041,P07,C01,-,0-24h,Monitoring+feedback can indirectly reduce awakenings via behavior change.
pseudoprofile_FTC_ID041,P07,C02,unknown,0-24h,Wearables do not directly index dream vividness.
pseudoprofile_FTC_ID041,P07,C03,-,0-24h,Objective feedback may reduce catastrophic appraisals at bedtime.
pseudoprofile_FTC_ID041,P07,C04,-,0-6h,Passive detection maps to autonomic arousal and can prompt immediate strategies.
pseudoprofile_FTC_ID041,P07,C05,-,0-24h,"Feedback can prompt quicker regulation strategies, shortening time-to-calm."
pseudoprofile_FTC_ID041,P07,C06,-,0-24h,Monitoring supports behavior changes that can improve resumption of sleep.
pseudoprofile_FTC_ID007,P01,C01,-,0-6h,Implementation intentions should reduce failure to initiate within hours.
pseudoprofile_FTC_ID007,P01,C02,-,0-6h,Planning reduces substitution behavior.
pseudoprofile_FTC_ID007,P01,C03,-,0-6h,Focus from plans reduces distractibility.
pseudoprofile_FTC_ID007,P01,C04,-,0-24h,Better initiation reduces extended off-task time loss.
pseudoprofile_FTC_ID007,P01,C05,-,0-24h,Action reduces later deadline-triggered panic.
pseudoprofile_FTC_ID007,P01,C06,-,0-24h,Produces observable progress that reduces self-blame.
pseudoprofile_FTC_ID007,P02,C01,-,0-6h,Timers encourage prompt starts.
pseudoprofile_FTC_ID007,P02,C02,-,0-6h,Micro-tasks reduce substitution opportunities.
pseudoprofile_FTC_ID007,P02,C03,-,0-6h,Focused blocks reduce distractibility.
pseudoprofile_FTC_ID007,P02,C04,-,0-24h,Reduces large time-loss episodes across the work day.
pseudoprofile_FTC_ID007,P02,C05,-,0-24h,Indirectly lowers panic by enabling progress.
pseudoprofile_FTC_ID007,P02,C06,-,0-24h,Mastery experiences can reduce doubt.
pseudoprofile_FTC_ID007,P03,C01,+,0-6h,Higher recent screen use correlates with more failure to initiate.
pseudoprofile_FTC_ID007,P03,C02,+,0-6h,Objective screen metrics strongly map to substitutive behaviors.
pseudoprofile_FTC_ID007,P03,C03,+,0-6h,Direct index of distractibility.
pseudoprofile_FTC_ID007,P03,C04,+,0-6h,Long screen sessions link to loss of time awareness.
pseudoprofile_FTC_ID007,P03,C05,unknown,0-6h,Indirect link to panic; evidence weaker.
pseudoprofile_FTC_ID007,P03,C06,unknown,0-24h,Digital habits weakly map to self-blame; likely indirect.
pseudoprofile_FTC_ID007,P04,C01,-,0-6h,Time-checks support timely starts.
pseudoprofile_FTC_ID007,P04,C02,-,0-6h,Prompts to check time reduce deep substitute episodes.
pseudoprofile_FTC_ID007,P04,C03,-,0-6h,"Increases meta-awareness, aids reorienting attention."
pseudoprofile_FTC_ID007,P04,C04,-,0-6h,Direct mechanism for reducing time blindness.
pseudoprofile_FTC_ID007,P04,C05,unknown,0-24h,Effect on panic is indirect and weaker.
pseudoprofile_FTC_ID007,P04,C06,-,0-24h,Better time-awareness can modestly reduce uncertainty.
pseudoprofile_FTC_ID007,P05,C01,+,0-24h,Planning may increase perceived ability and upstream initiation (indirect positive on action).
pseudoprofile_FTC_ID007,P05,C02,-,0-6h,Contingency planning reduces substitutive behaviors.
pseudoprofile_FTC_ID007,P05,C03,unknown,0-6h,May reduce distractibility indirectly; sign uncertain.
pseudoprofile_FTC_ID007,P05,C04,-,0-24h,"By reducing delay, reduces time-loss episodes."
pseudoprofile_FTC_ID007,P05,C05,-,0-6h,Directly targets deadline-related panic via reappraisal and planning.
pseudoprofile_FTC_ID007,P05,C06,-,0-24h,Contingency planning reduces uncertainty and self-blame.
pseudoprofile_FTC_ID007,P06,C01,+,0-24h,Self-compassion reduces avoidance and can increase initiation (indirect).
pseudoprofile_FTC_ID007,P06,C02,-,0-24h,Reduces avoidance-driven substitution.
pseudoprofile_FTC_ID007,P06,C03,unknown,0-6h,Effects on distractibility are indirect and modest.
pseudoprofile_FTC_ID007,P06,C04,-,0-24h,May reduce long off-task drifting by reducing rumination that sustains avoidance.
pseudoprofile_FTC_ID007,P06,C05,-,0-24h,"Improves emotion regulation, thus reducing panic intensity."
pseudoprofile_FTC_ID007,P06,C06,-,0-24h,Directly reduces self-blame and uncertainty through practice.
pseudoprofile_FTC_ID007,P07,C01,-,0-6h,Checklists lower activation energy for starting tasks.
pseudoprofile_FTC_ID007,P07,C02,-,0-6h,Structure reduces lure of substitutes.
pseudoprofile_FTC_ID007,P07,C03,unknown,0-6h,May modestly reduce distractibility; effect is indirect.
pseudoprofile_FTC_ID007,P07,C04,-,0-24h,Short-term structure reduces long off-task episodes.
pseudoprofile_FTC_ID007,P07,C05,-,0-24h,Visible progress from checklists can lower panic.
pseudoprofile_FTC_ID007,P07,C06,-,0-24h,External evidence of progress reduces self-blame.
pseudoprofile_FTC_ID007,P08,C01,-,0-6h,Higher momentary energy supports initiation.
pseudoprofile_FTC_ID007,P08,C02,-,0-6h,Low energy biases toward low-effort substitutes.
pseudoprofile_FTC_ID007,P08,C03,-,0-6h,Energy supports attention and reduces distractibility.
pseudoprofile_FTC_ID007,P08,C04,unknown,0-24h,Energy may modestly influence time-awareness indirectly.
pseudoprofile_FTC_ID007,P08,C05,unknown,0-24h,Low energy can increase anxiety in some contexts; relationship modest.
pseudoprofile_FTC_ID007,P08,C06,unknown,0-24h,Direct link to self-blame is weak.
pseudoprofile_FTC_ID007,P09,C01,-,0-24h,Better sleep the prior night reduces next-day initiation problems.
pseudoprofile_FTC_ID007,P09,C02,-,0-24h,Improved sleep increases daytime control against substitutes.
pseudoprofile_FTC_ID007,P09,C03,-,0-24h,Better sleep supports sustained attention.
pseudoprofile_FTC_ID007,P09,C04,unknown,0-24h,"Sleep may reduce extended off-task episodes, evidence moderate."
pseudoprofile_FTC_ID007,P09,C05,-,0-24h,Tiredness can amplify anxiety; better sleep may reduce panic reactivity.
pseudoprofile_FTC_ID007,P09,C06,-,0-24h,Sleep supports cognitive clarity and may reduce uncertainty/self-blame indirectly.
